station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
LAE;21.11.1989 00:00;;18.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAE;22.11.1989 00:00;4.5;10.1;-3.2;;;;77.6;6.5;908.4;;1404;;;5;17.3;18;62.3;;;;;;;;;;;;129;25;;0;270;15.5;7.5
LAE;23.11.1989 00:00;-3.7;-1.7;-5.1;;;;85.4;4;912.5;;1425;;;5.5;11.8;19.8;42.5;;;;;;;;;;;;269;53;;0;24;23.7;15.7
LAE;24.11.1989 00:00;-2.6;-0.3;-5.4;;;;75.9;3.8;910.3;;1408;;;2.9;7.7;10.4;27.7;;;;;;;;;;;;474;93;;0;73;22.6;14.6
LAE;25.11.1989 00:00;-5.1;-1.3;-10.7;;;;79.4;3.3;915.8;;1449;;;5.3;15;19.1;54;;;;;;;;;;;;82;16;;0;10;25.1;17.1
LAE;26.11.1989 00:00;-6.2;-0.8;-11.1;;;;57.7;2;920.2;;1484;;;4.1;9.5;14.8;34.2;;;;;;;;;;;;513;101;;0;41;26.2;18.2
LAE;27.11.1989 00:00;-1.4;0.7;-3.1;;;;46.3;2.6;918.7;;1483;;;3;6.8;10.8;24.5;;;;;;;;;;;;518;102;;0;51;21.4;13.4
LAE;28.11.1989 00:00;-0.9;2;-3.4;;;;85.7;4.9;921.3;;1506;;;6.4;15;23;54;;;;;;;;;;;;338;67;;0;27;20.9;12.9
LAE;29.11.1989 00:00;-3.9;-0.6;-5.4;;;;93.5;4.3;925.7;;1536;;;2.5;12.8;9;46.1;;;;;;;;;;;;0;0;;0;27;23.9;15.9
LAE;30.11.1989 00:00;0;3.7;-5.2;;;;68.8;4.1;928.7;;1572;;;4.2;8.7;15.1;31.3;;;;;;;;;;;;464;94;;0;178;20;12
LAE;01.12.1989 00:00;-3.2;2.6;-5.9;;;;82.7;4;932.6;;1595;;;4.6;10.1;16.6;36.4;;;;;;;75;;;;;273;55;0.6;0;35;23.2;15.2
LAE;02.12.1989 00:00;-5.1;-3;-6.8;;;;88;3.7;936;;1618;;;3;9.2;10.8;33.1;;;;;;;55;;;;;201;41;0.2;0;48;25.1;17.1
LAE;03.12.1989 00:00;-6;-3.7;-7.4;;;;92.3;3.6;932.7;;1588;;;2;9.2;7.2;33.1;;;;;;;51;;;;;146;30;0.2;0;52;26;18
LAE;04.12.1989 00:00;-4.6;1.6;-7.3;;;;88.4;3.8;928.6;;1559;;;1.4;5.6;5;20.2;;;;;;;64;;;;;204;41;0.2;0;204;24.6;16.6
