station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
LAG;01.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
LAG;02.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
LAG;03.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;
LAG;04.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;;;;;
LAG;05.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;
LAG;06.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
LAG;07.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
LAG;08.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;;;;
LAG;09.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
LAG;10.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.1;;;;;;;;;;;;;;
LAG;11.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;;;;
LAG;12.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
LAG;13.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
LAG;14.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
LAG;15.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
LAG;16.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;14.3;;;;;;;;;;;;;;
LAG;17.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;11.9;;;;;;;;;;;;;;
LAG;18.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;
LAG;19.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
LAG;20.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
LAG;21.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
LAG;22.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;6.7;;;;;;;;;;;;;;
