station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
MAG;01.06.1953 00:00;16.2;25;6.3;;;;;;980.2;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;02.06.1953 00:00;12.6;19.4;8.5;;;;;;976.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;03.06.1953 00:00;11.8;21;2;;;;;;980.3;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;04.06.1953 00:00;11.2;19.6;3.8;;;;;;988.2;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;05.06.1953 00:00;13.8;23.5;2.7;;;;;;991.7;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;06.06.1953 00:00;15.5;22.6;4.8;;;;;;992.7;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;07.06.1953 00:00;15.4;17.5;10;;;;;;993.6;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;08.06.1953 00:00;15.7;18.5;7;;;;;;989.4;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;09.06.1953 00:00;16.5;21.5;14;;;;;;983.6;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;10.06.1953 00:00;18.1;20;13.4;;;;;;983.5;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;11.06.1953 00:00;20;26.7;12.5;;;;;;984.5;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;12.06.1953 00:00;18.5;26;12;;;;;;987.9;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;13.06.1953 00:00;17.6;26.4;11;;;;;;988.5;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;14.06.1953 00:00;17.1;24.3;11;;;;;;989.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;15.06.1953 00:00;18.1;26;8.6;;;;;;988;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;16.06.1953 00:00;16.9;21.4;13;;;;;;989.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;17.06.1953 00:00;16.1;18.8;14;;;;;;981.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;18.06.1953 00:00;15.1;16;14.6;;;;;;990;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;19.06.1953 00:00;18.9;26.5;10.1;;;;;;993.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;20.06.1953 00:00;17.1;20.6;12.4;;;;;;996.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;21.06.1953 00:00;16.4;22;10.5;;;;;;996.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;22.06.1953 00:00;18.1;24.3;14.6;;;;;;994.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;23.06.1953 00:00;17.6;20.2;16.5;;;;;;994.9;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;24.06.1953 00:00;16.9;22;15.4;;;;;;992.3;;;;;;;;;;;;;;;;;;;;;;;;;;
MAG;25.06.1953 00:00;16;19.8;13.1;;;;;;990.9;;;;;;;;;;;;;;;;;;;;;;;;;;
