station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
MAH;07.08.1992 00:00;;;;;;;;;970.8;;;;;;;;;;;;;;;;;;;;;;;;;;
MAH;08.08.1992 00:00;;;;;;;;;967.9;;;;;;;;;;;;;;;297;;;;;731;91;;;;;
MAH;09.08.1992 00:00;;;;;;;;;963.7;;;;;;;;;;;;0.6;0;;291;;;;;686;86;;;;;
MAH;10.08.1992 00:00;;;;;;;;;967.7;;;;;;;;;;;;1.8;2.4;;112;;;;;269;34;;;;;
MAH;11.08.1992 00:00;;;;;;;;;970.2;;;;;;;;;;;;0;0;;237;;;;;1160;146;;;;;
MAH;12.08.1992 00:00;;;;;;;;;971.8;;;;;;;;;;;;0;0;;298;;;;;1440;182;;;;;
MAH;13.08.1992 00:00;;;;;;;;;970.2;;;;;;;;;;;;0;0;;279;;;;;1440;182;;;;;
MAH;14.08.1992 00:00;;;;;;;;;965.8;;;;;;;;;;;;5.6;5.6;;80;;;;;1440;183;;;;;
MAH;15.08.1992 00:00;;;;;;;;;967;;;;;;;;;;;;0;0;;293;;;;;1440;183;;;;;
MAH;16.08.1992 00:00;;;;;;;;;969.7;;;;;;;;;;;;0;0;;266;;;;;1440;184;;;;;
MAH;17.08.1992 00:00;;;;;;;;;970;;;;;;;;;;;;0;0;;289;;;;;1440;184;;;;;
MAH;18.08.1992 00:00;;;;;;;;;968.3;;;;;;;;;;;;0;0;;290;;;;;1440;185;;;;;
MAH;19.08.1992 00:00;;;;;;;;;966.4;;;;;;;;;;;;0;0;;245;;;;;1440;186;;;;;
MAH;20.08.1992 00:00;;;;;;;;;964.1;;;;;;;;;;;;0;0;;216;;;;;1098;142;;;;;
MAH;21.08.1992 00:00;;;;;;;;;965.1;;;;;;;;;;;;;;;;;;;;;;;;;;
