station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
MER;01.07.1889 00:00;15.9;;;;;;;;;;;;;;;;;;;;3.8;;;;;;;;;;;;;;
MER;02.07.1889 00:00;17;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;03.07.1889 00:00;17.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;04.07.1889 00:00;18.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;05.07.1889 00:00;16.7;;;;;;;;;;;;;;;;;;;;14.8;;;;;;;;;;;;;;
MER;06.07.1889 00:00;15.4;;;;;;;;;;;;;;;;;;;;4.7;;;;;;;;;;;;;;
MER;07.07.1889 00:00;16.9;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
MER;08.07.1889 00:00;17.8;;;;;;;;;;;;;;;;;;;;9.5;;;;;;;;;;;;;;
MER;09.07.1889 00:00;19.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;10.07.1889 00:00;20.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;11.07.1889 00:00;21.8;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
MER;12.07.1889 00:00;21.7;;;;;;;;;;;;;;;;;;;;18.5;;;;;;;;;;;;;;
MER;13.07.1889 00:00;20.4;;;;;;;;;;;;;;;;;;;;32.2;;;;;;;;;;;;;;
MER;14.07.1889 00:00;15;;;;;;;;;;;;;;;;;;;;14.5;;;;;;;;;;;;;;
MER;15.07.1889 00:00;15.5;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
MER;16.07.1889 00:00;16.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;17.07.1889 00:00;17.5;;;;;;;;;;;;;;;;;;;;14.2;;;;;;;;;;;;;;
MER;18.07.1889 00:00;14.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;19.07.1889 00:00;15.5;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
MER;20.07.1889 00:00;15.7;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
MER;21.07.1889 00:00;17.5;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
MER;22.07.1889 00:00;17.3;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
MER;23.07.1889 00:00;14.6;;;;;;;;;;;;;;;;;;;;16.2;;;;;;;;;;;;;;
MER;24.07.1889 00:00;14.6;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
MER;25.07.1889 00:00;15.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;26.07.1889 00:00;13.8;;;;;;;;;;;;;;;;;;;;9.7;;;;;;;;;;;;;;
MER;27.07.1889 00:00;10.6;;;;;;;;;;;;;;;;;;;;19.8;;;;;;;;;;;;;;
MER;28.07.1889 00:00;10.5;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
MER;29.07.1889 00:00;11.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;30.07.1889 00:00;14.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;31.07.1889 00:00;17.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;01.08.1889 00:00;18.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;02.08.1889 00:00;19.1;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;;;;
MER;03.08.1889 00:00;20;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;04.08.1889 00:00;20.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;05.08.1889 00:00;19.3;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
MER;06.08.1889 00:00;18.8;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
MER;07.08.1889 00:00;17;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;08.08.1889 00:00;17.3;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
MER;09.08.1889 00:00;18.2;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
MER;10.08.1889 00:00;18.1;;;;;;;;;;;;;;;;;;;;6.3;;;;;;;;;;;;;;
MER;11.08.1889 00:00;14.9;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
MER;12.08.1889 00:00;15;;;;;;;;;;;;;;;;;;;;9.6;;;;;;;;;;;;;;
MER;13.08.1889 00:00;12.1;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
MER;14.08.1889 00:00;12.4;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
MER;15.08.1889 00:00;13.6;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
MER;16.08.1889 00:00;16.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;17.08.1889 00:00;16;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
MER;18.08.1889 00:00;17.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
