station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
MVE;01.01.1931 00:00;-1.1;0.2;-6.2;;;;82.3;4.6;836.4;;;;;2.4;;8.6;;;;;10.7;;;;;;;;0;0;;;;;
MVE;02.01.1931 00:00;1.4;2.3;-1.9;;;;86.7;5.8;841.4;;;;;1.4;;5;;;;;1.5;;;;;;;;186;39;;;;;
MVE;03.01.1931 00:00;4.9;8.5;0;;;;75.3;6.4;843.2;;;;;2.4;;8.6;;;;;0;;;;;;;;0;0;;;;;
MVE;04.01.1931 00:00;1.3;6.1;-3.3;;;;78;5.6;843.8;;;;;1.4;;5;;;;;13.6;;;;;;;;0;0;;;;;
MVE;05.01.1931 00:00;-6;3.5;-9.4;;;;75.3;3.2;850.7;;;;;1.4;;5;;;;;0;;;;;;;;414;86;;;;;
MVE;06.01.1931 00:00;-7.2;-2.7;-13;;;;58.3;2.1;852.4;;;;;1.4;;5;;;;;0;;;;;;;;480;99;;;;;
MVE;07.01.1931 00:00;-9.1;-4.7;-13.4;;;;49.7;1.6;852.1;;;;;0;;0;;;;;0;;;;;;;;474;98;;;;;
MVE;08.01.1931 00:00;-9.6;-4.4;-14.5;;;;54;1.7;852.5;;;;;0.4;;1.4;;;;;0;;;;;;;;480;99;;;;;
MVE;09.01.1931 00:00;-9.8;-4.8;-14.4;;;;64.7;1.9;850.1;;;;;0.4;;1.4;;;;;0;;;;;;;;474;96;;;;;
MVE;10.01.1931 00:00;-12.9;-10;-16.3;;;;87;2;850;;;;;0;;0;;;;;0;;;;;;;;198;40;;;;;
MVE;11.01.1931 00:00;-9.3;-4.7;-16.3;;;;48.3;1.5;851.8;;;;;0;;0;;;;;0;;;;;;;;456;93;;;;;
MVE;12.01.1931 00:00;-6;-0.8;-12;;;;43;1.7;849;;;;;0.4;;1.4;;;;;0;;;;;;;;474;95;;;;;
MVE;13.01.1931 00:00;-4.1;-1.2;-9.5;;;;50;2.3;838.1;;;;;2.4;;8.6;;;;;0;;;;;;;;6;1;;;;;
MVE;14.01.1931 00:00;-5.1;-2.4;-8.5;;;;74.3;3.2;841.3;;;;;0;;0;;;;;0.3;;;;;;;;0;0;;;;;
MVE;15.01.1931 00:00;-6.7;-2.4;-11.4;;;;71;2.7;851.7;;;;;0.4;;1.4;;;;;0;;;;;;;;474;94;;;;;
MVE;16.01.1931 00:00;-3;0.5;-11;;;;55.7;2.6;854.2;;;;;0;;0;;;;;1.2;;;;;;;;378;75;;;;;
MVE;17.01.1931 00:00;-2.5;1.6;-7.5;;;;93;4.9;842.4;;;;;5.3;;19.1;;;;;24.8;;;;;;;;0;0;;;;;
MVE;18.01.1931 00:00;-5.3;-3.5;-7.9;;;;94.3;3.9;846.3;;;;;6.7;;24.1;;;;;26.5;;;;;;;;0;0;;;;;
MVE;19.01.1931 00:00;1;2.5;-6.5;;;;86.7;5.5;853.3;;;;;5.3;;19.1;;;;;0.7;;;;;;;;0;0;;;;;
MVE;20.01.1931 00:00;1.9;6.1;-1.5;;;;77.3;5.6;855.4;;;;;0.4;;1.4;;;;;0;;;;;;;;312;61;;;;;
MVE;21.01.1931 00:00;1.1;6;-4.6;;;;54.3;3.6;856.8;;;;;2.4;;8.6;;;;;0;;;;;;;;510;100;;;;;
MVE;22.01.1931 00:00;1.6;6.8;-3.7;;;;38.7;2.7;856.4;;;;;0;;0;;;;;0;;;;;;;;510;99;;;;;
MVE;23.01.1931 00:00;0.8;5.4;-6.1;;;;47;3.1;853.4;;;;;2.4;;8.6;;;;;15.5;;;;;;;;474;92;;;;;
MVE;24.01.1931 00:00;0.6;3.5;-2.8;;;;97.3;6.1;845.6;;;;;3.5;;12.6;;;;;14.9;;;;;;;;0;0;;;;;
MVE;25.01.1931 00:00;-2.8;1.5;-5.5;;;;93.7;4.8;848.4;;;;;2.4;;8.6;;;;;14.7;;;;;;;;0;0;;;;;
MVE;26.01.1931 00:00;-5.6;-2.6;-7.5;;;;100;4.2;848.8;;;;;2.4;;8.6;;;;;29.8;;;;;;;;0;0;;;;;
MVE;27.01.1931 00:00;-7;-2.3;-8.9;;;;90.7;3.3;851.4;;;;;2.4;;8.6;;;;;4.1;;;;;;;;0;0;;;;;
MVE;28.01.1931 00:00;-6.1;-3.6;-14.3;;;;80.3;3;847.9;;;;;2.4;;8.6;;;;;29.1;;;;;;;;30;6;;;;;
MVE;29.01.1931 00:00;-2;0.1;-8.6;;;;88;4.7;844.9;;;;;0;;0;;;;;9.7;;;;;;;;90;17;;;;;
MVE;30.01.1931 00:00;-4.5;-1.6;-7.1;;;;76.7;3.5;843.2;;;;;2.4;;8.6;;;;;1.6;;;;;;;;348;65;;;;;
MVE;31.01.1931 00:00;-7.4;-2.5;-11.8;;;;73.7;2.7;848.4;;;;;1.4;;5;;;;;0;;;;;;;;330;62;;;;;
MVE;01.02.1931 00:00;-4.4;0;-11.8;;;;63;2.8;845.9;;;;;1.4;;5;;;;;0;;;;;;;;246;46;;;;;
MVE;02.02.1931 00:00;-2.2;2.2;-6.5;;;;75.7;3.9;848.4;;;;;0.4;;1.4;;;;;0;;;;;;;;222;41;;;;;
MVE;03.02.1931 00:00;-4.7;1;-8.9;;;;68.3;3;844.4;;;;;1.4;;5;;;;;0;;;;;;;;498;92;;;;;
MVE;04.02.1931 00:00;-4.5;-0.6;-7.1;;;;66.7;3;846.5;;;;;1.4;;5;;;;;3.7;;;;;;;;90;17;;;;;
MVE;05.02.1931 00:00;-8;-1.8;-10.6;;;;90.3;3.4;849.5;;;;;1.4;;5;;;;;0;;;;;;;;0;0;;;;;
MVE;06.02.1931 00:00;-11.9;-2.7;-16;;;;71.7;1.8;845.6;;;;;2.4;;8.6;;;;;0;;;;;;;;438;80;;;;;
MVE;07.02.1931 00:00;-10;-5.5;-14.8;;;;58.7;1.7;842.4;;;;;2.4;;8.6;;;;;0;;;;;;;;534;97;;;;;
MVE;08.02.1931 00:00;-10.1;-6.7;-14.7;;;;73;2.1;848;;;;;2.4;;8.6;;;;;0;;;;;;;;258;46;;;;;
MVE;09.02.1931 00:00;-2.7;2.5;-13;;;;38;1.9;858;;;;;3.5;;12.6;;;;;0;;;;;;;;552;99;;;;;
MVE;10.02.1931 00:00;1.4;6.2;-6;;;;41.7;2.8;857.5;;;;;1.4;;5;;;;;0;;;;;;;;378;68;;;;;
MVE;11.02.1931 00:00;-3;2.8;-7;;;;52.3;2.7;856.1;;;;;2.4;;8.6;;;;;10.2;;;;;;;;402;71;;;;;
MVE;12.02.1931 00:00;-4;-1;-6.7;;;;98;4.5;851.9;;;;;5.3;;19.1;;;;;19.8;;;;;;;;0;0;;;;;
MVE;13.02.1931 00:00;-4.8;-0.9;-7.5;;;;81.7;3.6;832.1;;;;;2.4;;8.6;;;;;0.3;;;;;;;;102;18;;;;;
MVE;14.02.1931 00:00;-7;-4.3;-9.4;;;;81.3;3;834;;;;;3.5;;12.6;;;;;4.7;;;;;;;;0;0;;;;;
MVE;15.02.1931 00:00;-8.3;-5.6;-12.6;;;;75.3;2.4;841.2;;;;;0.4;;1.4;;;;;0;;;;;;;;198;34;;;;;
MVE;16.02.1931 00:00;-4.7;-1.5;-13.9;;;;65.7;2.6;835.9;;;;;1.4;;5;;;;;1.9;;;;;;;;258;44;;;;;
MVE;17.02.1931 00:00;-5.8;-1.9;-7.8;;;;90.3;3.6;830;;;;;1.4;;5;;;;;4.8;;;;;;;;0;0;;;;;
MVE;18.02.1931 00:00;-4.8;-0.5;-11.3;;;;67;2.8;837.5;;;;;2.4;;8.6;;;;;0.1;;;;;;;;414;70;;;;;
MVE;19.02.1931 00:00;-3.4;1.4;-7.4;;;;82.7;4.1;842.1;;;;;2.4;;8.6;;;;;4;;;;;;;;120;20;;;;;
MVE;20.02.1931 00:00;-3.7;0.3;-6.9;;;;86.3;4.1;844.6;;;;;0;;0;;;;;27;;;;;;;;0;0;;;;;
MVE;21.02.1931 00:00;-3.3;-0.7;-7;;;;91.3;4.4;844.5;;;;;0;;0;;;;;2.2;;;;;;;;60;10;;;;;
MVE;22.02.1931 00:00;-4.8;-3.4;-7;;;;75.3;3.3;846.5;;;;;3.5;;12.6;;;;;1.6;;;;;;;;0;0;;;;;
MVE;23.02.1931 00:00;-7.2;-3.5;-10.5;;;;73.3;2.6;850.3;;;;;1.4;;5;;;;;0;;;;;;;;336;55;;;;;
MVE;24.02.1931 00:00;-8.9;-3.5;-13.7;;;;73.7;2.4;853.3;;;;;1.4;;5;;;;;0;;;;;;;;516;85;;;;;
MVE;25.02.1931 00:00;-3.8;1;-13.4;;;;60;2.6;857.8;;;;;0;;0;;;;;0;;;;;;;;306;50;;;;;
MVE;26.02.1931 00:00;0.6;3.5;-4;;;;80.3;5.1;856.1;;;;;0.4;;1.4;;;;;1.6;;;;;;;;96;16;;;;;
MVE;27.02.1931 00:00;2.3;5;-0.5;;;;84.7;6.1;851.5;;;;;0.4;;1.4;;;;;0.6;;;;;;;;36;6;;;;;
MVE;28.02.1931 00:00;1.3;4;-1.5;;;;84.7;5.8;839.4;;;;;2.4;;8.6;;;;;32.4;;;;;;;;0;0;;;;;
MVE;01.03.1931 00:00;-7.6;0.1;-9.5;;;;92;3.2;834.8;;;;;5.3;;19.1;;;;;22.9;;;;;;;;0;0;;;;;
MVE;02.03.1931 00:00;-8.6;-6.1;-10.4;;;;81;2.6;845.4;;;;;2.4;;8.6;;;;;1.6;;;;;;;;0;0;;;;;
MVE;03.03.1931 00:00;-1;2.5;-10.5;;;;73.3;4.2;847.7;;;;;0.4;;1.4;;;;;25.7;;;;;;;;264;42;;;;;
MVE;04.03.1931 00:00;2.3;3.4;-0.4;;;;95.3;6.9;847.2;;;;;5.3;;19.1;;;;;21.9;;;;;;;;0;0;;;;;
MVE;05.03.1931 00:00;1.9;5.5;-1;;;;83;6;847.2;;;;;2.4;;8.6;;;;;0;;;;;;;;228;36;;;;;
MVE;06.03.1931 00:00;1.1;3.3;-2.3;;;;86;5.8;837.4;;;;;1.4;;5;;;;;8.5;;;;;;;;0;0;;;;;
MVE;07.03.1931 00:00;2.7;7.5;-1.4;;;;72.3;5.4;831.2;;;;;2.4;;8.6;;;;;4.2;;;;;;;;48;8;;;;;
MVE;08.03.1931 00:00;1.4;2.7;-1;;;;83.7;5.6;832.2;;;;;0.4;;1.4;;;;;9.5;;;;;;;;6;1;;;;;
MVE;09.03.1931 00:00;0;2;-2;;;;93.7;5.8;830.9;;;;;1.4;;5;;;;;18.2;;;;;;;;0;0;;;;;
MVE;10.03.1931 00:00;-1.1;1.3;-5.2;;;;92;5.5;833;;;;;0;;0;;;;;34.5;;;;;;;;0;0;;;;;
MVE;11.03.1931 00:00;-9.8;-3.4;-13.5;;;;55;1.6;840.9;;;;;1.4;;5;;;;;0;;;;;;;;534;82;;;;;
MVE;12.03.1931 00:00;-4.9;5.4;-15.8;;;;56.7;2.3;843;;;;;2.4;;8.6;;;;;0;;;;;;;;546;84;;;;;
MVE;13.03.1931 00:00;-1.7;4.7;-8;;;;52.3;2.9;839.9;;;;;0.4;;1.4;;;;;0;;;;;;;;6;1;;;;;
MVE;14.03.1931 00:00;0.2;4.1;-4.4;;;;60.3;3.8;842.9;;;;;0.4;;1.4;;;;;0;;;;;;;;126;19;;;;;
MVE;15.03.1931 00:00;3;8.3;-4.4;;;;54;4.1;844.4;;;;;2.4;;8.6;;;;;0;;;;;;;;612;94;;;;;
MVE;16.03.1931 00:00;3.4;9.5;-1.7;;;;52.3;4.1;842.5;;;;;2.4;;8.6;;;;;0;;;;;;;;630;96;;;;;
MVE;17.03.1931 00:00;2.6;8.6;-2.4;;;;54.3;4.1;848;;;;;3.5;;12.6;;;;;0;;;;;;;;600;92;;;;;
MVE;18.03.1931 00:00;2.7;8.1;-2.8;;;;51.7;3.9;853.2;;;;;2.4;;8.6;;;;;0;;;;;;;;552;84;;;;;
MVE;19.03.1931 00:00;3;8.3;-2.3;;;;43.7;3.4;855.2;;;;;2.4;;8.6;;;;;0;;;;;;;;588;89;;;;;
MVE;20.03.1931 00:00;5.8;9.9;0;;;;54.3;5.1;852.9;;;;;2.4;;8.6;;;;;0;;;;;;;;258;39;;;;;
MVE;21.03.1931 00:00;4.9;8.3;2.4;;;;65.7;5.8;851.8;;;;;3.5;;12.6;;;;;0;;;;;;;;42;6;;;;;
MVE;22.03.1931 00:00;2.8;7;-0.8;;;;73;5.7;853.2;;;;;2.4;;8.6;;;;;0;;;;;;;;348;52;;;;;
MVE;23.03.1931 00:00;4.4;8.8;-2.5;;;;53.3;4.5;855.3;;;;;1.4;;5;;;;;0;;;;;;;;516;76;;;;;
MVE;24.03.1931 00:00;3.6;9.2;0;;;;59;4.7;854.4;;;;;0;;0;;;;;0;;;;;;;;624;92;;;;;
MVE;25.03.1931 00:00;3.9;9.6;-1.5;;;;59.3;4.8;857.3;;;;;0;;0;;;;;0;;;;;;;;672;98;;;;;
MVE;26.03.1931 00:00;2;8.1;-2.4;;;;71;5.2;858.6;;;;;0;;0;;;;;0;;;;;;;;666;97;;;;;
MVE;27.03.1931 00:00;2.9;9.1;-3.3;;;;69.7;5.2;857.3;;;;;0.4;;1.4;;;;;0;;;;;;;;660;96;;;;;
MVE;28.03.1931 00:00;3.5;8.5;-2.4;;;;54.3;4.2;854.3;;;;;1.4;;5;;;;;0;;;;;;;;354;52;;;;;
MVE;29.03.1931 00:00;2.1;7.1;-1.4;;;;45.7;3.4;854.1;;;;;2.4;;8.6;;;;;0;;;;;;;;672;97;;;;;
MVE;30.03.1931 00:00;2.2;6.6;-3.8;;;;62;4.4;852.8;;;;;0.4;;1.4;;;;;0;;;;;;;;342;50;;;;;
MVE;31.03.1931 00:00;-0.8;5.5;-4.5;;;;64.3;3.8;849.6;;;;;1.4;;5;;;;;0;;;;;;;;654;95;;;;;
MVE;01.04.1931 00:00;0.3;8.3;-6.7;;;;52.7;3.3;850.6;;;;;1.4;;5;;;;;0;;;;;;;;678;98;;;;;
