station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
NEU;01.01.1864 00:00;0.3;;;;;;;;;;;;;;;;;;;;7.6;;;;;;;;;;;;;;
NEU;02.01.1864 00:00;-8.5;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;
NEU;03.01.1864 00:00;-10.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;04.01.1864 00:00;-10.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;05.01.1864 00:00;-10.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;06.01.1864 00:00;-9.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;07.01.1864 00:00;-7.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;08.01.1864 00:00;-6.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;09.01.1864 00:00;-7.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;10.01.1864 00:00;-8.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;11.01.1864 00:00;-8.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;12.01.1864 00:00;-7.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;13.01.1864 00:00;-7.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;14.01.1864 00:00;-6.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;15.01.1864 00:00;-8.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;16.01.1864 00:00;-10.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;17.01.1864 00:00;-6.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;18.01.1864 00:00;-4.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;19.01.1864 00:00;-4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;20.01.1864 00:00;-5.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;21.01.1864 00:00;-4.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;22.01.1864 00:00;-3.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;23.01.1864 00:00;-0.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;24.01.1864 00:00;4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;25.01.1864 00:00;4.2;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
NEU;26.01.1864 00:00;1.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;27.01.1864 00:00;4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;28.01.1864 00:00;4.5;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
NEU;29.01.1864 00:00;1.4;;;;;;;;;;;;;;;;;;;;8.5;;;;;;;;;;;;;;
NEU;30.01.1864 00:00;-3.5;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
NEU;31.01.1864 00:00;-5.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;01.02.1864 00:00;-4.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;02.02.1864 00:00;-3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
NEU;03.02.1864 00:00;-2.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
