station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
ORO;01.02.1993 00:00;;;;;;;;;;;;;;1.7;4.8;6.1;17.3;;;;;;;;;;;;;;;;38;;
ORO;02.02.1993 00:00;;;;;;;;;;;;;;1.2;5.3;4.3;19.1;;;;;;;;;;;;;;;;22;;
ORO;03.02.1993 00:00;;;;;;;;;;;;;;1.2;5.4;4.3;19.4;;;;;;;;;;;;;;;;297;;
ORO;04.02.1993 00:00;;;;;;;;;;;;;;1.5;5.5;5.4;19.8;;;;;;;;;;;;;;;;135;;
ORO;05.02.1993 00:00;;;;;;;;;;;;;;2.6;9.7;9.4;34.9;;;;;;;;;;;;;;;;61;;
ORO;06.02.1993 00:00;;;;;;;;;;;;;;1.2;4;4.3;14.4;;;;;;;;;;;;;;;;146;;
ORO;07.02.1993 00:00;;;;;;;;;;;;;;1.3;3.9;4.7;14;;;;;;;;;;;;;;;;342;;
ORO;08.02.1993 00:00;;;;;;;;;;;;;;1.4;6;5;21.6;;;;;;;;;;;;;;;;344;;
ORO;09.02.1993 00:00;;;;;;;;;;;;;;0.7;3.9;2.5;14;;;;;;;;;;;;;;;;90;;
ORO;10.02.1993 00:00;;;;;;;;;;;;;;1;3.7;3.6;13.3;;;;;;;;;;;;;;;;326;;
ORO;11.02.1993 00:00;;;;;;;;;;;;;;1;4;3.6;14.4;;;;;;;;;;;;;;;;27;;
ORO;12.02.1993 00:00;;;;;;;;;;;;;;1;4.4;3.6;15.8;;;;;;;;;;;;;;;;153;;
ORO;13.02.1993 00:00;;;;;;;;;;;;;;0.9;3.5;3.2;12.6;;;;;;;;;;;;;;;;162;;
ORO;14.02.1993 00:00;;;;;;;;;;;;;;1.2;4.3;4.3;15.5;;;;;;;;;;;;;;;;135;;
ORO;15.02.1993 00:00;;;;;;;;;;;;;;1.7;6.6;6.1;23.8;;;;;;;;;;;;;;;;332;;
ORO;16.02.1993 00:00;;;;;;;;;;;;;;2.4;12.7;8.6;45.7;;;;;;;;;;;;;;;;31;;
ORO;17.02.1993 00:00;;;;;;;;;;;;;;2.3;9.9;8.3;35.6;;;;;;;;;;;;;;;;36;;
ORO;18.02.1993 00:00;;;;;;;;;;;;;;4.1;16.7;14.8;60.1;;;;;;;;;;;;;;;;35;;
ORO;19.02.1993 00:00;;;;;;;;;;;;;;3.4;13;12.2;46.8;;;;;;;;;;;;;;;;227;;
ORO;20.02.1993 00:00;;;;;;;;;;;;;;2.2;9.8;7.9;35.3;;;;;;;;;;;;;;;;23;;
ORO;21.02.1993 00:00;;;;;;;;;;;;;;4.2;19;15.1;68.4;;;;;;;;;;;;;;;;248;;
ORO;22.02.1993 00:00;;;;;;;;;;;;;;4;11.7;14.4;42.1;;;;;;;;;;;;;;;;19;;
ORO;23.02.1993 00:00;;;;;;;;;;;;;;6.2;17.5;22.3;63;;;;;;;;;;;;;;;;41;;
ORO;24.02.1993 00:00;;;;;;;;;;;;;;7.7;18.5;27.7;66.6;;;;;;;;;;;;;;;;40;;
ORO;25.02.1993 00:00;;;;;;;;;;;;;;4;13.3;14.4;47.9;;;;;;;;;;;;;;;;45;;
ORO;26.02.1993 00:00;;;;;;;;;;;;;;1.3;5.1;4.7;18.4;;;;;;;;;;;;;;;;101;;
ORO;27.02.1993 00:00;;;;;;;;;;;;;;1.8;7.9;6.5;28.4;;;;;;;;;;;;;;;;53;;
ORO;28.02.1993 00:00;;;;;;;;;;;;;;7;15.7;25.2;56.5;;;;;;;;;;;;;;;;37;;
ORO;01.03.1993 00:00;;;;;;;;;;;;;;3.9;10.7;14;38.5;;;;;;;;;;;;;;;;29;;
ORO;02.03.1993 00:00;;;;;;;;;;;;;;1;4.1;3.6;14.8;;;;;;;;;;;;;;;;90;;
ORO;03.03.1993 00:00;;;;;;;;;;;;;;2.3;9.9;8.3;35.6;;;;;;;;;;;;;;;;323;;
ORO;04.03.1993 00:00;;;;;;;;;;;;;;6.9;17.9;24.8;64.4;;;;;;;;;;;;;;;;37;;
ORO;05.03.1993 00:00;;;;;;;;;;;;;;6.2;18.2;22.3;65.5;;;;;;;;;;;;;;;;39;;
ORO;06.03.1993 00:00;;;;;;;;;;;;;;4.6;17.2;16.6;61.9;;;;;;;;;;;;;;;;33;;
ORO;07.03.1993 00:00;;;;;;;;;;;;;;6.4;18.3;23;65.9;;;;;;;;;;;;;;;;37;;
ORO;08.03.1993 00:00;;;;;;;;;;;;;;6.4;18.1;23;65.2;;;;;;;;;;;;;;;;32;;
ORO;09.03.1993 00:00;;;;;;;;;;;;;;1.3;6;4.7;21.6;;;;;;;;;;;;;;;;54;;
ORO;10.03.1993 00:00;;;;;;;;;;;;;;1.7;6.5;6.1;23.4;;;;;;;;;;;;;;;;121;;
ORO;11.03.1993 00:00;;;;;;;;;;;;;;1.7;5.4;6.1;19.4;;;;;;;;;;;;;;;;95;;
ORO;12.03.1993 00:00;;;;;;;;;;;;;;1.7;5.3;6.1;19.1;;;;;;;;;;;;;;;;167;;
ORO;13.03.1993 00:00;;;;;;;;;;;;;;1.9;5.5;6.8;19.8;;;;;;;;;;;;;;;;119;;
ORO;14.03.1993 00:00;;;;;;;;;;;;;;1.6;6.9;5.8;24.8;;;;;;;;;;;;;;;;67;;
ORO;15.03.1993 00:00;;;;;;;;;;;;;;1.7;5.8;6.1;20.9;;;;;;;;;;;;;;;;90;;
ORO;16.03.1993 00:00;;;;;;;;;;;;;;2.1;;7.6;;;;;;;;;;;;;;;;;200;;
ORO;18.03.1993 00:00;;;;;;;;;;;;;;2.2;9;7.9;32.4;;;;;;;;;;;;;;;;90;;
ORO;19.03.1993 00:00;;;;;;;;;;;;;;3.8;9.5;13.7;34.2;;;;;;;;;;;;;;;;30;;
ORO;20.03.1993 00:00;;;;;;;;;;;;;;2.1;6.4;7.6;23;;;;;;;;;;;;;;;;188;;
ORO;21.03.1993 00:00;;;;;;;;;;;;;;2.4;7.9;8.6;28.4;;;;;;;;;;;;;;;;200;;
ORO;22.03.1993 00:00;;;;;;;;;;;;;;3.3;13.5;11.9;48.6;;;;;;;;;;;;;;;;211;;
ORO;23.03.1993 00:00;;;;;;;;;;;;;;3.1;8.1;11.2;29.2;;;;;;;;;;;;;;;;349;;
ORO;24.03.1993 00:00;;;;;;;;;;;;;;6.9;15.5;24.8;55.8;;;;;;;;;;;;;;;;35;;
ORO;25.03.1993 00:00;;;;;;;;;;;;;;7.9;16;28.4;57.6;;;;;;;;;;;;;;;;47;;
ORO;26.03.1993 00:00;;;;;;;;;;;;;;7;18;25.2;64.8;;;;;;;;;;;;;;;;43;;
ORO;27.03.1993 00:00;;;;;;;;;;;;;;5.2;15.5;18.7;55.8;;;;;;;;;;;;;;;;41;;
ORO;28.03.1993 00:00;;;;;;;;;;;;;;5.3;11.6;19.1;41.8;;;;;;;;;;;;;;;;40;;
ORO;29.03.1993 00:00;;;;;;;;;;;;;;1.7;6.5;6.1;23.4;;;;;;;;;;;;;;;;21;;
ORO;30.03.1993 00:00;;;;;;;;;;;;;;1.9;5.5;6.8;19.8;;;;;;;;;;;;;;;;113;;
ORO;31.03.1993 00:00;;;;;;;;;;;;;;2.3;6.8;8.3;24.5;;;;;;;;;;;;;;;;155;;
