station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
PRE;17.04.1993 00:00;;;;;;;;;;;;;;1.5;5.4;5.4;19.4;;;;;;;;;;;;;;;;236;;
PRE;18.04.1993 00:00;;;;;;;;;;;;;;1.7;7;6.1;25.2;;;;;;;;;;;;;;;;252;;
PRE;19.04.1993 00:00;;;;;;;;;;;;;;1.5;3.8;5.4;13.7;;;;;;;;;;;;;;;;34;;
PRE;20.04.1993 00:00;;;;;;;;;;;;;;1.8;6.6;6.5;23.8;;;;;;;;;;;;;;;;270;;
PRE;21.04.1993 00:00;;;;;;;;;;;;;;3.6;18.3;13;65.9;;;;;;;;;;;;;;;;225;;
PRE;22.04.1993 00:00;;;;;;;;;;;;;;2.1;11.8;7.6;42.5;;;;;;;;;;;;;;;;245;;
PRE;23.04.1993 00:00;;;;;;;;;;;;;;2.2;6.9;7.9;24.8;;;;;;;;;;;;;;;;348;;
PRE;24.04.1993 00:00;;;;;;;;;;;;;;1.9;7.5;6.8;27;;;;;;;;;;;;;;;;260;;
PRE;25.04.1993 00:00;;;;;;;;;;;;;;4;14.1;14.4;50.8;;;;;;;;;;;;;;;;307;;
PRE;26.04.1993 00:00;;;;;;;;;;;;;;2.8;15;10.1;54;;;;;;;;;;;;;;;;252;;
PRE;27.04.1993 00:00;;;;;;;;;;;;;;2.2;6;7.9;21.6;;;;;;;;;;;;;;;;255;;
PRE;28.04.1993 00:00;;;;;;;;;;;;;;2.8;8.1;10.1;29.2;;;;;;;;;;;;;;;;248;;
PRE;29.04.1993 00:00;;;;;;;;;;;;;;2.4;7.5;8.6;27;;;;;;;;;;;;;;;;229;;
PRE;30.04.1993 00:00;;;;;;;;;;;;;;3.7;13.6;13.3;49;;;;;;;;;;;;;;;;233;;
PRE;01.05.1993 00:00;;;;;;;;;;;;;;2.6;6.9;9.4;24.8;;;;;;;;;;;;;;;;237;;
PRE;02.05.1993 00:00;;;;;;;;;;;;;;1.8;5.9;6.5;21.2;;;;;;;;;;;;;;;;257;;
PRE;03.05.1993 00:00;;;;;;;;;;;;;;2.9;10.6;10.4;38.2;;;;;;;;;;;;;;;;360;;
PRE;04.05.1993 00:00;;;;;;;;;;;;;;5;11.5;18;41.4;;;;;;;;;;;;;;;;21;;
PRE;05.05.1993 00:00;;;;;;;;;;;;;;4.9;12.9;17.6;46.4;;;;;;;;;;;;;;;;25;;
PRE;06.05.1993 00:00;;;;;;;;;;;;;;4.8;11.5;17.3;41.4;;;;;;;;;;;;;;;;24;;
PRE;07.05.1993 00:00;;;;;;;;;;;;;;3.3;9.3;11.9;33.5;;;;;;;;;;;;;;;;16;;
