station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
QUI;24.07.1992 00:00;;;;;;;;;970.5;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;25.07.1992 00:00;;;;;;;;;970.9;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;26.07.1992 00:00;;;;;;;;;972.6;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;27.07.1992 00:00;;;;;;;;;973;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;28.07.1992 00:00;;;;;;;;;976.4;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;29.07.1992 00:00;;;;;;;;;972.9;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;30.07.1992 00:00;;;;;;;;;972.8;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;31.07.1992 00:00;;;;;;;;;971.2;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;01.08.1992 00:00;;;;;;;;;969.9;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;02.08.1992 00:00;;;;;;;;;968.7;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;03.08.1992 00:00;;;;;;;;;967.3;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;04.08.1992 00:00;;;;;;;;;973.2;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;05.08.1992 00:00;;;;;;;;;975.3;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;06.08.1992 00:00;;;;;;;;;974.6;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;07.08.1992 00:00;;;;;;;;;972.7;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;08.08.1992 00:00;;;;;;;;;969.7;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;09.08.1992 00:00;;;;;;;;;965.6;;;;;;;;;;;;;;;;;;;;;;;;;;
QUI;10.08.1992 00:00;;;;;;;;;968.5;;;;;;;;;;;;;;;;;;;;;;;;;;
