station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
REH;01.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
REH;02.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;03.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;
REH;04.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;05.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;06.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;5.9;;;;;;;;;;;;;;
REH;07.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
REH;08.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;;;;
REH;09.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;10.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;11.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;12.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;13.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;14.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;15.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;16.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;17.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;18.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;19.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;20.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;21.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;
REH;22.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;23.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;11.6;;;;;;;;;;;;;;
REH;24.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;11.4;;;;;;;;;;;;;;
REH;25.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
REH;26.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;27.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;28.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;8.6;;;;;;;;;;;;;;
REH;29.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;30.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
REH;31.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;
REH;01.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
REH;02.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;27.8;;;;;;;;;;;;;;
REH;03.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;11.7;;;;;;;;;;;;;;
REH;04.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
REH;05.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;;;;
REH;06.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
REH;07.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
REH;08.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;09.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;;;;
REH;10.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;11.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
REH;12.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;
REH;13.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;14.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;15.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;16.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;17.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;18.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;19.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;20.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;21.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;22.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;23.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;24.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;25.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;26.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;27.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;28.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;7.7;;;;;;;;;;;;;;
REH;01.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;02.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
REH;03.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;04.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;05.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;06.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;07.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;08.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;09.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;10.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
REH;11.03.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
