station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
ROE;06.01.1991 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ROE;07.01.1991 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ROE;08.01.1991 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ROE;09.01.1991 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ROE;10.01.1991 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ROE;11.01.1991 00:00;-0.1;1.1;-1.4;;;;92.3;5.6;815.5;;1567;;;0.2;1.6;0.7;5.8;;;;8.1;5;;;;;;;0;0;;0;360;20.1;12.1
ROE;12.01.1991 00:00;-1.1;0.7;-4.1;;;;92.8;5.3;811.3;;1526;;;1.2;11.6;4.3;41.8;;;;12.3;15.1;;;;;;;0;0;;0;338;21.1;13.1
ROE;13.01.1991 00:00;-4.8;-3.7;-6;;;;74.5;3.2;809.6;;1515;;;4.6;15.2;16.6;54.7;;;;16.4;9.2;;;;;;;0;0;;0;343;24.8;16.8
ROE;14.01.1991 00:00;-2.6;-1.5;-3.9;;;;88.8;4.5;811.4;;1530;;;0.3;2.4;1.1;8.6;;;;17;23.8;;;;;;;0;0;;0;270;22.6;14.6
ROE;15.01.1991 00:00;-3.9;-1;-7.5;;;;78.5;3.6;814.8;;1565;;;0.8;6.7;2.9;24.1;;;;0;0.8;;;;;;;25;8;;0;270;23.9;15.9
ROE;16.01.1991 00:00;-9.2;-5.8;-13.3;;;;81.3;2.5;815.9;;1581;;;1.6;7.7;5.8;27.7;;;;0;0;;;;;;;237;72;;0;275;29.2;21.2
ROE;17.01.1991 00:00;-6.9;-3.6;-11.2;;;;30.3;1.1;817.7;;;;;1.3;8.1;4.7;29.2;;;;0;0;;;;;;;333;100;;0;287;26.9;18.9
ROE;18.01.1991 00:00;-4.7;-1.2;-7.7;;;;31.3;1.4;819.6;;2190;;;0.9;8.2;3.2;29.5;;;;0;0;;;;;;;331;99;;0;297;24.7;16.7
ROE;19.01.1991 00:00;-1.7;1.5;-5.9;;;;29.2;1.6;818.7;;1870;;;1.9;11.7;6.8;42.1;;;;0;0;;;;;;;208;61;;0;328;21.7;13.7
ROE;20.01.1991 00:00;-2.9;-0.4;-6.3;;;;34.5;1.7;820.3;;;;;1.5;7.9;5.4;28.4;;;;0;0;;;;;;;342;100;;0;284;22.9;14.9
ROE;21.01.1991 00:00;-0.7;2;-4.8;;;;30.5;1.7;817.4;;997;;;2;14;7.2;50.4;;;;0;0;;;;;;;162;47;;0;4;20.7;12.7
ROE;22.01.1991 00:00;-6.4;-5.1;-9.8;;;;57.4;2.2;818.5;;1603;;;1.1;7.4;4;26.6;;;;0;0;;;;;;;277;80;;0;281;26.4;18.4
ROE;23.01.1991 00:00;-5.1;-1.5;-7.7;;;;26.8;1.1;820;;1616;;;1.8;9.4;6.5;33.8;;;;0;0;;;;;;;350;100;;0;280;25.1;17.1
ROE;24.01.1991 00:00;-2.6;1.6;-5.8;;;;25.5;1.3;817.9;;1593;;;1;7.3;3.6;26.3;;;;0;0;;;;;;;353;100;;0;293;22.6;14.6
ROE;25.01.1991 00:00;-2.6;0.1;-5.9;;;;23.6;1.2;819.8;;1612;;;1.1;8.1;4;29.2;;;;0;0;;;;;;;357;100;;0;288;22.6;14.6
ROE;26.01.1991 00:00;-1.1;1.9;-3.6;;;;30.9;1.8;817;;1583;;;0.7;7.4;2.5;26.6;;;;0;0;;;;;;;364;101;;0;326;21.1;13.1
ROE;27.01.1991 00:00;-2.6;-0.1;-5;;;;37.4;1.9;815.2;;;;;1.7;8.2;6.1;29.5;;;;0;0;;;;;;;387;106;;0;277;22.6;14.6
ROE;28.01.1991 00:00;-1.1;2.9;-4.8;;;;26.2;1.5;814.6;;1559;;;1.6;9.3;5.8;33.5;;;;0;0;;;;;;;364;99;;0;305;21.1;13.1
ROE;29.01.1991 00:00;0;5.1;-6.3;;;;17.7;1.1;813.8;;;;;2.3;10.1;8.3;36.4;;;;0;0;;;;;;;385;105;;0;308;20;12
ROE;30.01.1991 00:00;-0.1;3.8;-8.4;;;;21;1.2;811.3;;;;;2.3;8.9;8.3;32;;;;0;0;;;;;;;291;79;;0;294;20.1;12.1
ROE;31.01.1991 00:00;-10.8;-7.3;-13.5;;;;81;2.1;811.7;;;;;0.7;5.9;2.5;21.2;;;;0;0;;;;;;;0;0;;0;315;30.8;22.8
ROE;01.02.1991 00:00;-10.7;-8.7;-14.8;;;;61.7;1.7;812.5;;1551;;;0.6;5.9;2.2;21.2;;;;0;0;;;;;;;350;95;;0;315;30.7;22.7
ROE;02.02.1991 00:00;-12.1;-8;-16.8;;;;76;1.8;814;;1567;;;0.6;6.3;2.2;22.7;;;;0;0;;;;;;;319;86;;0;315;32.1;24.1
ROE;03.02.1991 00:00;-7.9;-3.8;-10.9;;;;40.8;1.4;813.1;;1553;;;1.1;9;4;32.4;;;;0;0;;;;;;;369;99;;0;306;27.9;19.9
ROE;04.02.1991 00:00;-5.7;-4.1;-7.7;;;;28.9;1.2;811.9;;1538;;;4.1;16.2;14.8;58.3;;;;0;0;;;;;;;364;98;;0;358;25.7;17.7
ROE;05.02.1991 00:00;-9.7;-6.3;-14.5;;;;41.1;1.2;805.7;;1588;;;2.8;15.4;10.1;55.4;;;;3;0;;;;;;;155;41;;0;355;29.7;21.7
ROE;06.02.1991 00:00;-16.6;-13.9;-19.6;;;;77.7;1.3;800;;1442;;;1.9;7.4;6.8;26.6;;;;1.7;4.7;;;;;;;0;0;;0;210;36.6;28.6
ROE;07.02.1991 00:00;-16.3;-12.9;-20.7;;;;79.4;1.4;800;;1441;;;0.5;6.9;1.8;24.8;;;;0.6;0.6;;;;;;;3;1;;0;297;36.3;28.3
ROE;08.02.1991 00:00;-10.8;-7.6;-13.9;;;;85.2;2.3;798.1;;1412;;;0.4;3.8;1.4;13.7;;;;5.1;3.1;;;;;;;38;10;;0;225;30.8;22.8
ROE;09.02.1991 00:00;-10.6;-8.6;-11.8;;;;88.9;2.5;800.8;;1437;;;0.4;4;1.4;14.4;;;;7.2;7.2;;;;;;;0;0;;0;236;30.6;22.6
ROE;10.02.1991 00:00;-7.9;-6.8;-12.2;;;;87;3;800.3;;1429;;;0.7;15.9;2.5;57.2;;;;13.1;14.9;;;;;;;0;0;;0;333;27.9;19.9
ROE;11.02.1991 00:00;-12.4;-10.8;-14;;;;54.8;1.3;801.7;;1450;;;4.1;13;14.8;46.8;;;;0.1;0.3;;;;;;;257;66;;0;344;32.4;24.4
ROE;12.02.1991 00:00;-13.3;-12;-15.4;;;;56.3;1.2;799.3;;1429;;;3.8;16.3;13.7;58.7;;;;0;0;;;;;;;138;36;;0;335;33.3;25.3
ROE;13.02.1991 00:00;-12.8;-10.6;-14.5;;;;54.3;1.2;800.7;;1441;;;4.6;18.7;16.6;67.3;;;;0;0;;;;;;;394;101;;0;10;32.8;24.8
ROE;14.02.1991 00:00;-11.5;-8.5;-14.9;;;;47.1;1.2;803.6;;1467;;;2.8;21.7;10.1;78.1;;;;0;0;;;;;;;379;97;;0;357;31.5;23.5
ROE;15.02.1991 00:00;-10.7;-6.6;-13.4;;;;60.6;1.7;799.6;;1427;;;3;16.6;10.8;59.8;;;;6.2;1.1;;;;;;;348;89;;0;350;30.7;22.7
ROE;16.02.1991 00:00;-3.2;-0.5;-10.7;;;;67.4;3.2;792.1;;1337;;;2.1;18.3;7.6;65.9;;;;2.9;8;;;;;;;0;0;;0;22;23.2;15.2
ROE;17.02.1991 00:00;-6.2;-3.2;-9.1;;;;59.8;2.3;800.2;;1424;;;1.2;7.8;4.3;28.1;;;;0;0;;;;;;;92;24;;0;270;26.2;18.2
ROE;18.02.1991 00:00;-4.2;-1.5;-7.4;;;;68.8;3.1;804.6;;1464;;;0.5;5.2;1.8;18.7;;;;0;0;;;;;;;335;85;;0;304;24.2;16.2
ROE;19.02.1991 00:00;-2.3;1.3;-4.8;;;;66.9;3.5;809.1;;1506;;;1.1;6.5;4;23.4;;;;0;0;;;;;;;377;96;;0;284;22.3;14.3
ROE;20.02.1991 00:00;-2.6;0.9;-5.2;;;;67.1;3.4;807.6;;1492;;;1.3;7.5;4.7;27;;;;0;0;;;;;;;395;100;;0;280;22.6;14.6
ROE;21.02.1991 00:00;-2.5;1;-5.7;;;;59.9;3;805.7;;1473;;;1.2;7.1;4.3;25.6;;;;0;0;;;;;;;396;100;;0;280;22.5;14.5
ROE;22.02.1991 00:00;-1;0.6;-3.6;;;;46.3;2.7;811.2;;1525;;;3.2;12.2;11.5;43.9;;;;0;0;;;;;;;370;93;;0;346;21;13
