station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
RUE;27.10.1982 00:00;;13.8;6.7;;12.2;6.4;;;;;;;;;6.6;;23.8;;;;0.2;;;;;;;;;;;;;;
RUE;28.10.1982 00:00;7.5;10.8;5.7;8;13.1;5;86.8;8.9;;;;;;2.9;6.6;10.4;23.8;;;;0;0;;;;;;;40;7;;0;;12.5;4.5
RUE;29.10.1982 00:00;5.7;7.9;4.6;5.9;10.6;3.4;90.3;8.3;;;;;;3.4;7.9;12.2;28.4;;;;0;0;;;;;;;146;27;;0;;14.3;6.3
RUE;30.10.1982 00:00;5.7;10.4;3;5.9;13.3;2.5;88.1;8.1;;;;;;2.7;8.9;9.7;32;;;;0;0;;;;;;;1081;197;;0;;14.3;6.3
RUE;31.10.1982 00:00;7.3;14.9;3.3;7.2;17.2;2.6;84.6;8.6;;;;;;2;4.7;7.2;16.9;;;;0;0;;;;;;;;;;0;;12.7;4.7
RUE;01.11.1982 00:00;8.2;15;2.4;7.7;17.1;1.8;79.9;8.6;;;;;;1.8;5.4;6.5;19.4;;;;0;0;;;;;;;60;11;;0;;11.8;3.8
RUE;02.11.1982 00:00;8.6;14.4;4.2;8.3;18;3.1;79;8.8;;;;;;1.5;5.6;5.4;20.2;;;;0;0;;;;;;;13;2;;0;;11.4;3.4
RUE;03.11.1982 00:00;9;14.9;2.7;7.9;16.8;2.3;72.4;8.1;;;;;;1.5;6.3;5.4;22.7;;;;0;0;;;;;;;30;6;;0;;11;3
RUE;04.11.1982 00:00;8.6;13.6;4.5;7.3;15.6;2.2;75.1;8.3;;;;;;0.8;6.8;2.9;24.5;;;;0.1;0.1;;;;;;;251;47;;0;;11.4;3.4
RUE;05.11.1982 00:00;4.1;7;0.3;4.2;6.2;-0.5;92.9;7.6;;;;;;2.5;9.7;9;34.9;;;;0;0;;;;;;;48;9;;0;;15.9;7.9
RUE;06.11.1982 00:00;4.5;6.9;2;4.9;8.7;2.1;84.6;7.1;;;;;;3.9;9.6;14;34.6;;;;0;0;;;;;;;11;2;;0;;15.5;7.5
RUE;07.11.1982 00:00;5.2;12;0.8;5;10.2;0.2;71.1;6.1;;;;;;4.3;9.2;15.5;33.1;;;;0;0;;;;;;;147;28;;0;;14.8;6.8
RUE;08.11.1982 00:00;14.1;19.2;9.4;13.1;19.6;8.5;51.6;7.9;;;;;;3.1;12.5;11.2;45;;;;4.7;0.5;;;;;;;65;12;;0;;0;0
RUE;09.11.1982 00:00;10.1;12;8.5;9.1;11.8;5.2;82.3;10.2;;;;;;1.9;14.1;6.8;50.8;;;;0.3;4.5;;;;;;;0;0;;0;;9.9;1.9
RUE;10.11.1982 00:00;8.6;11.2;6.6;7.6;13.6;3.5;79.7;8.9;;;;;;0.8;3.8;2.9;13.7;;;;0;0;;;;;;;364;70;;0;;11.4;3.4
RUE;11.11.1982 00:00;6.8;9.5;4.3;6.4;10.8;3.6;90.4;8.9;;;;;;1.8;8.6;6.5;31;;;;0;0;;;;;;;293;57;;0;;13.2;5.2
RUE;12.11.1982 00:00;8.9;13.9;4.8;8.7;15.9;3.4;74.5;8.3;;;;;;6.5;30.3;23.4;109.1;;;;16.2;3.1;;;;;;;384;75;;0;;11.1;3.1
RUE;13.11.1982 00:00;5.4;9.6;2.7;5.3;9.9;1;90.6;8.2;;;;;;2.3;24.3;8.3;87.5;;;;9.6;22.6;;;;;;;0;0;;0;;14.6;6.6
RUE;14.11.1982 00:00;3.7;6.1;2.2;2.7;7.4;-0.4;70.2;5.6;;;;;;3.3;13.1;11.9;47.2;;;;3.5;0.1;;;;;;;137;27;;0;;16.3;8.3
RUE;15.11.1982 00:00;1.6;5.1;-0.5;1.6;4.2;-1.4;89.3;6.1;;;;;;1.7;15.5;6.1;55.8;;;;0.9;4.4;;;;;;;0;0;;0;;18.4;10.4
RUE;16.11.1982 00:00;0.6;4;-2.1;0.8;5.5;-1.8;88.5;5.6;;;;;;1.3;7.5;4.7;27;;;;4.3;3.8;;;;;;;104;21;;0;;19.4;11.4
RUE;17.11.1982 00:00;2.3;3.7;0.3;2.2;4.5;0.1;82.1;5.9;;;;;;4;11.2;14.4;40.3;;;;7.5;5.5;;;;;;;101;20;;0;;17.7;9.7
RUE;18.11.1982 00:00;5.8;8.7;2.3;5.3;10;2;81.2;7.5;;;;;;4.5;14.1;16.2;50.8;;;;1.9;4.4;;;;;;;33;7;;0;;14.2;6.2
RUE;19.11.1982 00:00;7.7;10.6;5.4;7.1;11.1;4.7;76.1;7.9;;;;;;3.3;12.1;11.9;43.6;;;;0.4;0.4;;;;;;;23;5;;0;;12.3;4.3
RUE;20.11.1982 00:00;4.9;7.9;1.5;3.7;9.9;-0.8;70.2;6;;;;;;2;6.9;7.2;24.8;;;;0;0;;;;;;;411;87;;0;;15.1;7.1
RUE;21.11.1982 00:00;3.8;8.5;-0.4;2.4;7.8;-1.5;74;5.8;;;;;;2.5;10.6;9;38.2;;;;0;0;;;;;;;442;94;;0;;16.2;8.2
RUE;22.11.1982 00:00;8.9;12.8;3.4;6.9;13.6;0.3;63.1;7.1;;;;;;3.5;10;12.6;36;;;;0;0;;;;;;;433;93;;0;;11.1;3.1
RUE;23.11.1982 00:00;8.5;11.1;5.9;7.3;11.4;4.1;62.4;6.9;;;;;;3.6;9.8;13;35.3;;;;0;0;;;;;;;413;89;;0;;11.5;3.5
RUE;24.11.1982 00:00;7.2;12.9;2.7;5.5;12.2;-0.3;74.1;7.4;;;;;;3.2;14.1;11.5;50.8;;;;0.6;0.6;;;;;;;22;5;;0;;12.8;4.8
RUE;25.11.1982 00:00;3.9;8.6;0.4;3.5;9.6;0.1;88.2;7.1;;;;;;2.8;8.9;10.1;32;;;;0;0;;;;;;;327;71;;0;;16.1;8.1
RUE;26.11.1982 00:00;4.3;7;2;4.1;7.2;1.6;88.5;7.3;;;;;;1.4;6.9;5;24.8;;;;0;0;;;;;;;0;0;;0;;15.7;7.7
RUE;27.11.1982 00:00;3;3.8;2.4;3.2;4.5;2.6;95.5;7.2;;;;;;2.1;7.3;7.6;26.3;;;;3.9;0.2;;;;;;;0;0;;0;;17;9
RUE;28.11.1982 00:00;2.1;3.2;0.7;2.2;3.2;0.2;94.7;6.8;;;;;;1.4;6.4;5;23;;;;4.8;6.2;;;;;;;0;0;;0;;17.9;9.9
RUE;29.11.1982 00:00;2.3;2.9;1.6;2.2;2.8;1.7;90.2;6.5;;;;;;3.3;11.1;11.9;40;;;;0.5;2.8;;;;;;;0;0;;0;;17.7;9.7
RUE;30.11.1982 00:00;3.6;4.2;2.8;3.5;4;2.6;87.9;7;;;;;;4.8;13;17.3;46.8;;;;0;0;;;;;;;0;0;;0;;16.4;8.4
RUE;01.12.1982 00:00;2.1;3.5;0.7;2.1;3.4;0.8;90.4;6.4;;;;;;3.5;7.6;12.6;27.4;;;;0;0;;;;;;;0;0;;0;;17.9;9.9
RUE;02.12.1982 00:00;0.7;1.1;0.2;0.9;1.5;0.4;94;6;;;;;;1.4;4.3;5;15.5;;;;0;0;;;;;;;0;0;;0;;19.3;11.3
RUE;03.12.1982 00:00;0.7;1.5;0.3;0.9;2;0.4;94.2;6;;;;;;1.1;4.2;4;15.1;;;;0;0;;;;;;;0;0;;0;;19.3;11.3
RUE;04.12.1982 00:00;1.1;2.4;0.2;1.4;3.7;-0.2;92.7;6.1;;;;;;1.7;6;6.1;21.6;;;;0;0;;;;;;;0;0;;0;;18.9;10.9
RUE;05.12.1982 00:00;1.3;4;-0.3;1;5.3;-0.9;89.9;6;;;;;;2.9;9.4;10.4;33.8;;;;0;0;;;;;;;376;84;;0;;18.7;10.7
RUE;06.12.1982 00:00;6.3;11.7;1.9;5.1;9.1;-0.5;73.6;7;;;;;;3;17.6;10.8;63.4;;;;1.3;1.1;;;;;;;0;0;;0;;13.7;5.7
RUE;07.12.1982 00:00;8.2;10.8;6.2;7.6;10;5.4;87.2;9.5;;;;;;2.7;13.4;9.7;48.2;;;;4.2;3.9;;;;;;;2;0;;0;;11.8;3.8
RUE;08.12.1982 00:00;8.5;12.8;5;8.1;11.4;4.8;81.9;8.9;;;;;;3.5;16.8;12.6;60.5;;;;19.9;16.7;;;;;;;0;0;;0;;11.5;3.5
RUE;09.12.1982 00:00;7.2;10.3;4.3;6.4;9;2.8;75.6;7.6;;;;;;6.2;23.6;22.3;85;;;;0.5;4.2;;;;;;;32;7;;0;;12.8;4.8
RUE;10.12.1982 00:00;7.4;11.6;2.3;6.7;10.9;1.8;69.6;7.3;;;;;;10.5;30.4;37.8;109.4;;;;9.3;9.3;;;;;;;4;1;;0;;12.6;4.6
RUE;11.12.1982 00:00;1.3;3.2;-0.1;0.8;2.4;-2.3;80.2;5.4;;;;;;4.6;17.4;16.6;62.6;;;;3;3;;;;;;;31;7;;0;;18.7;10.7
RUE;12.12.1982 00:00;3.4;5.4;0.7;2.7;4.6;0.3;77.5;6;;;;;;5.8;21.1;20.9;76;;;;2.7;2.5;;;;;;;3;1;;0;;16.6;8.6
RUE;13.12.1982 00:00;2.9;5.2;1.1;2.6;7.4;-0.3;87.7;6.6;;;;;;1.5;8.1;5.4;29.2;;;;0;0.2;;;;;;;40;9;;0;;17.1;9.1
RUE;14.12.1982 00:00;1;1.7;0.1;1;1.9;-1.7;92.8;6.1;;;;;;1.4;5.1;5;18.4;;;;0;0;;;;;;;0;0;;0;;19;11
RUE;15.12.1982 00:00;3.9;9.3;-1.4;3.2;8.2;-2.6;81.7;6.7;;;;;;5.3;17.4;19.1;62.6;;;;8.7;8.6;;;;;;;0;0;;0;;16.1;8.1
