station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
SBE;01.01.1968 00:00;-8.5;-4;-13;;;;72.3;2.3;819;;;;;0;;0;;;;;1.8;;;;;;;;;;;;;;
SBE;02.01.1968 00:00;-8.7;-4.5;-12.1;;;;68.7;2.1;816;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
SBE;03.01.1968 00:00;-9.9;-7.5;-12;;;;60.7;1.8;822.6;;;;;0;;0;;;;;1.4;;;;;;;;;;;;;;
SBE;04.01.1968 00:00;-5.6;-2.4;-11.5;;;;65.7;2.6;825;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
SBE;05.01.1968 00:00;-3.4;3;-8.5;;;;76.3;3.7;828.9;;;;;0;;0;;;;;0.5;;;;;;;;;;;;;;
SBE;06.01.1968 00:00;-4.4;-2;-8;;;;84.7;3.8;823.7;;;;;0;;0;;;;;6;;;;;;;;;;;;;;
SBE;07.01.1968 00:00;-6.2;-2.5;-8.5;;;;81.7;3.2;813.9;;;;;1.4;;5;;;;;4.7;;;;;;;;;;;;;;
SBE;08.01.1968 00:00;-11.8;-7;-13;;;;68.7;1.8;825.5;;;;;3.5;;12.6;;;;;0;;;;;;;;;;;;;;
SBE;09.01.1968 00:00;-10.4;-8;-13;;;;76.7;2.2;819.5;;;;;0;;0;;;;;8.7;;;;;;;;;;;;;;
SBE;10.01.1968 00:00;-11.9;-7.5;-13;;;;69.3;1.7;820.6;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
SBE;11.01.1968 00:00;-11.2;-7;-13.5;;;;62.3;1.7;819.7;;;;;1.4;;5;;;;;3.2;;;;;;;;;;;;;;
SBE;12.01.1968 00:00;-15.7;-6;-17.5;;;;71;1.4;821.4;;;;;10.5;;37.8;;;;;0;;;;;;;;;;;;;;
SBE;13.01.1968 00:00;-16.1;-12.2;-19;;;;64;1.2;831.3;;;;;3.5;;12.6;;;;;0;;;;;;;;;;;;;;
SBE;14.01.1968 00:00;-4;4;-16.8;;;;80.7;3.4;836.7;;;;;0;;0;;;;;13.6;;;;;;;;;;;;;;
SBE;15.01.1968 00:00;5.4;9.5;2;;;;38.7;3.5;836.3;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
SBE;16.01.1968 00:00;0.6;7;-2;;;;39.7;2.6;837.4;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
SBE;17.01.1968 00:00;-2.9;1;-6.5;;;;71.7;3.6;833.5;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
