station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
SCM;29.01.1993 00:00;;;;;;;;;971.3;;;;;;;;;;;;;;;;;;;;;;;;;;
SCM;30.01.1993 00:00;;;;;;;;;976;;;;;;;;;;;;;;;;;;;;;;;;;;
SCM;31.01.1993 00:00;;;;;;;;;982.5;;;;;;;;;;;;;;;;;;;;;;;;;;
SCM;01.02.1993 00:00;;;;;;;;;988.3;;;;;0.6;2.9;2.2;10.4;;;;;;;;;;;;;;;;180;;
SCM;02.02.1993 00:00;;;;;;;;;990.5;;;;;0.7;2.8;2.5;10.1;;;;;;;;;;;;;;;;108;;
SCM;03.02.1993 00:00;;;;;;;;;989.6;;;;;0.8;3.1;2.9;11.2;;;;;;;;;;;;;;;;315;;
SCM;04.02.1993 00:00;;;;;;;;;987.6;;;;;0.7;2.9;2.5;10.4;;;;;;;;;;;;;;;;90;;
SCM;05.02.1993 00:00;;;;;;;;;986.5;;;;;0.7;2.9;2.5;10.4;;;;;;;;;;;;;;;;90;;
SCM;06.02.1993 00:00;;;;;;;;;985.1;;;;;0.7;2.8;2.5;10.1;;;;;;;;;;;;;;;;90;;
SCM;07.02.1993 00:00;;;;;;;;;983.9;;;;;0.7;3;2.5;10.8;;;;;;;;;;;;;;;;252;;
SCM;08.02.1993 00:00;;;;;;;;;984.8;;;;;1.1;4;4;14.4;;;;;;;;;;;;;;;;243;;
SCM;09.02.1993 00:00;;;;;;;;;983.2;;;;;1.1;3.5;4;12.6;;;;;;;;;;;;;;;;236;;
SCM;10.02.1993 00:00;;;;;;;;;982.7;;;;;0.9;3.5;3.2;12.6;;;;;;;;;;;;;;;;180;;
SCM;11.02.1993 00:00;;;;;;;;;984.5;;;;;1.1;3.1;4;11.2;;;;;;;;;;;;;;;;225;;
SCM;12.02.1993 00:00;;;;;;;;;986.7;;;;;1;3.6;3.6;13;;;;;;;;;;;;;;;;198;;
SCM;13.02.1993 00:00;;;;;;;;;987.4;;;;;0.7;2.8;2.5;10.1;;;;;;;;;;;;;;;;180;;
SCM;14.02.1993 00:00;;;;;;;;;985.9;;;;;0.8;2.5;2.9;9;;;;;;;;;;;;;;;;90;;
SCM;15.02.1993 00:00;;;;;;;;;985.2;;;;;1;3.3;3.6;11.9;;;;;;;;;;;;;;;;198;;
SCM;16.02.1993 00:00;;;;;;;;;982.5;;;;;1.1;3.9;4;14;;;;;;;;;;;;;;;;270;;
SCM;17.02.1993 00:00;;;;;;;;;978.4;;;;;0.6;2;2.2;7.2;;;;;;;;;;;;;;;;104;;
SCM;18.02.1993 00:00;;;;;;;;;978.3;;;;;1.1;5.4;4;19.4;;;;;;;;;;;;;;;;252;;
SCM;19.02.1993 00:00;;;;;;;;;972.2;;;;;3.1;14.1;11.2;50.8;;;;;;;;;;;;;;;;281;;
SCM;20.02.1993 00:00;;;;;;;;;976.6;;;;;2.8;9.4;10.1;33.8;;;;;;;;;;;;;;;;277;;
SCM;21.02.1993 00:00;;;;;;;;;963.1;;;;;5.1;15.5;18.4;55.8;;;;;;;;;;;;;;;;278;;
SCM;22.02.1993 00:00;;;;;;;;;967.5;;;;;1.9;6.8;6.8;24.5;;;;;;;;;;;;;;;;275;;
SCM;23.02.1993 00:00;;;;;;;;;973.4;;;;;1.2;6.5;4.3;23.4;;;;;;;;;;;;;;;;90;;
SCM;24.02.1993 00:00;;;;;;;;;979.4;;;;;2.3;8.8;8.3;31.7;;;;;;;;;;;;;;;;87;;
SCM;25.02.1993 00:00;;;;;;;;;975.9;;;;;1.3;7;4.7;25.2;;;;;;;;;;;;;;;;96;;
SCM;26.02.1993 00:00;;;;;;;;;967.5;;;;;1;6.8;3.6;24.5;;;;;;;;;;;;;;;;99;;
SCM;27.02.1993 00:00;;;;;;;;;964.4;;;;;0.8;3.5;2.9;12.6;;;;;;;;;;;;;;;;72;;
SCM;28.02.1993 00:00;;;;;;;;;963.8;;;;;2;9.5;7.2;34.2;;;;;;;;;;;;;;;;63;;
SCM;01.03.1993 00:00;;;;;;;;;956.9;;;;;1;4.5;3.6;16.2;;;;;;;;;;;;;;;;243;;
SCM;02.03.1993 00:00;;;;;;;;;955.1;;;;;0.7;3.3;2.5;11.9;;;;;;;;;;;;;;;;236;;
SCM;03.03.1993 00:00;;;;;;;;;963.1;;;;;1.2;4.1;4.3;14.8;;;;;;;;;;;;;;;;259;;
SCM;04.03.1993 00:00;;;;;;;;;971.4;;;;;1.1;7.4;4;26.6;;;;;;;;;;;;;;;;31;;
SCM;05.03.1993 00:00;;;;;;;;;974.4;;;;;1.3;4.4;4.7;15.8;;;;;;;;;;;;;;;;180;;
SCM;06.03.1993 00:00;;;;;;;;;972.4;;;;;1;5.8;3.6;20.9;;;;;;;;;;;;;;;;104;;
SCM;07.03.1993 00:00;;;;;;;;;970.9;;;;;1.1;8.6;4;31;;;;;;;;;;;;;;;;45;;
SCM;08.03.1993 00:00;;;;;;;;;971.2;;;;;3.6;13.8;13;49.7;;;;;;;;;;;;;;;;64;;
SCM;09.03.1993 00:00;;;;;;;;;976;;;;;0.9;3.6;3.2;13;;;;;;;;;;;;;;;;270;;
SCM;10.03.1993 00:00;;;;;;;;;978.5;;;;;0.9;4.8;3.2;17.3;;;;;;;;;;;;;;;;45;;
SCM;11.03.1993 00:00;;;;;;;;;979.3;;;;;0.9;6;3.2;21.6;;;;;;;;;;;;;;;;63;;
SCM;12.03.1993 00:00;;;;;;;;;977.5;;;;;0.8;5.3;2.9;19.1;;;;;;;;;;;;;;;;270;;
SCM;13.03.1993 00:00;;;;;;;;;975.3;;;;;1.4;5.3;5;19.1;;;;;;;;;;;;;;;;256;;
SCM;14.03.1993 00:00;;;;;;;;;977.3;;;;;1.1;7;4;25.2;;;;;;;;;;;;;;;;45;;
SCM;15.03.1993 00:00;;;;;;;;;980.4;;;;;1.2;6;4.3;21.6;;;;;;;;;;;;;;;;270;;
SCM;16.03.1993 00:00;;;;;;;;;982.4;;;;;1;6.1;3.6;22;;;;;;;;;;;;;;;;225;;
SCM;17.03.1993 00:00;;;;;;;;;982.5;;;;;1;6.1;3.6;22;;;;;;;;;;;;;;;;90;;
SCM;18.03.1993 00:00;;;;;;;;;979;;;;;1.7;12.3;6.1;44.3;;;;;;;;;;;;;;;;90;;
