station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
SHA;01.10.1863 00:00;11.9;;;;;;;10.9;962.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;02.10.1863 00:00;10;;;;;;;11.2;968.5;;;;;;;;;;;;3;;;;;;;;;;;;;;
SHA;03.10.1863 00:00;9.7;;;;;;;10.9;976.7;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
SHA;04.10.1863 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;05.10.1863 00:00;9.6;;;;;;;10.8;972.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;06.10.1863 00:00;10.6;;;;;;;11.7;967.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;07.10.1863 00:00;9.4;;;;;;;11.4;963.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;08.10.1863 00:00;11.7;;;;;;;12.1;961;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;09.10.1863 00:00;11.3;;;;;;;12.1;963;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;10.10.1863 00:00;10.7;;;;;;;11.4;967.3;;;;;;;;;;;;6.6;;;;;;;;;;;;;;
SHA;11.10.1863 00:00;9.5;;;;;;;10.9;964.3;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;12.10.1863 00:00;12;;;;;;;12.3;957.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;13.10.1863 00:00;11.6;;;;;;;11.7;961.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;14.10.1863 00:00;12.7;;;;;;;12.3;966.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;15.10.1863 00:00;14.6;;;;;;;12.7;966.1;;;;;;;;;;;;0;;;;;;;;;;;;;;
SHA;16.10.1863 00:00;11.6;;;;;;;12.8;971.1;;;;;;;;;;;;6.2;;;;;;;;;;;;;;
