station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
SIA;01.12.1863 00:00;-6.1;;;;;;;3.7;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;02.12.1863 00:00;-6.4;;;;;;;3.5;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;03.12.1863 00:00;-4.8;;;;;;;3.4;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
SIA;04.12.1863 00:00;-7.3;;;;;;;2.8;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
SIA;05.12.1863 00:00;-7.2;;;;;;;2.8;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;06.12.1863 00:00;-4;;;;;;;3.6;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;07.12.1863 00:00;-5.2;;;;;;;3.3;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;08.12.1863 00:00;-6.3;;;;;;;2.9;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;09.12.1863 00:00;-3.3;;;;;;;3.4;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;10.12.1863 00:00;-3.8;;;;;;;3.5;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;11.12.1863 00:00;-0.6;;;;;;;4.3;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;12.12.1863 00:00;4.4;;;;;;;5.7;;;;;;;;;;;;;5.5;;;;;;;;;;;;;;
SIA;13.12.1863 00:00;2.3;;;;;;;3.9;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;14.12.1863 00:00;-0.1;;;;;;;4.7;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;15.12.1863 00:00;-3.2;;;;;;;3.3;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;16.12.1863 00:00;-3.6;;;;;;;3.5;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;17.12.1863 00:00;-3.3;;;;;;;4.7;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;
SIA;18.12.1863 00:00;-6.1;;;;;;;3.4;;;;;;;;;;;;;9.6;;;;;;;;;;;;;;
SIA;19.12.1863 00:00;-6.8;;;;;;;3.1;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;20.12.1863 00:00;-6.8;;;;;;;3.1;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;21.12.1863 00:00;-7.3;;;;;;;2.8;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;22.12.1863 00:00;-4.6;;;;;;;3.7;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;23.12.1863 00:00;-9.1;;;;;;;2;;;;;;;;;;;;;4.3;;;;;;;;;;;;;;
SIA;24.12.1863 00:00;-1.5;;;;;;;4.3;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;25.12.1863 00:00;-7.2;;;;;;;3.2;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;26.12.1863 00:00;-7.1;;;;;;;2.9;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;27.12.1863 00:00;-2.1;;;;;;;3.4;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;28.12.1863 00:00;-7.6;;;;;;;2.5;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SIA;29.12.1863 00:00;-2.3;;;;;;;3.8;;;;;;;;;;;;;0;;;;;;;;;;;;;;
