station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
SMM;01.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;02.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
SMM;03.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
SMM;04.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;06.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;07.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;08.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;09.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;11.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;12.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;17.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;18.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;19.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;20.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;21.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;22.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
SMM;26.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;27.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;28.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;29.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;30.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;31.10.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;01.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;02.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
SMM;03.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;04.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;06.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;07.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;08.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
SMM;09.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;
SMM;11.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
SMM;12.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;
SMM;17.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
SMM;18.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;19.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;20.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;;
SMM;21.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;
SMM;22.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;24.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;26.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;27.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;28.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;29.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;
SMM;30.11.1900 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
SMM;01.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;02.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;03.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;04.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;
SMM;06.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;07.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
SMM;08.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;09.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;11.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;12.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;17.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;18.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;19.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;20.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;21.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;22.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;26.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;27.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;28.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;29.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;30.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;31.12.1900 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
SMM;01.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;02.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;03.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;04.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;06.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;07.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;08.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;09.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;11.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;12.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;17.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;18.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;19.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;20.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;21.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
SMM;22.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;26.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
SMM;27.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
SMM;28.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
SMM;29.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;30.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;31.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;01.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;28.5;;;;;;;;;;;;;;
SMM;02.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
SMM;03.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;04.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;05.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
SMM;06.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;9.5;;;;;;;;;;;;;;
SMM;07.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;08.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;09.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;11.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;12.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;17.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;18.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;19.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;20.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;21.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;22.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;26.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;27.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;28.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;01.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;02.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
SMM;03.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
SMM;04.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
SMM;06.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;;;;
SMM;07.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
SMM;08.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;
SMM;09.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;
SMM;11.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;8.2;;;;;;;;;;;;;;
SMM;12.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
SMM;15.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;15.2;;;;;;;;;;;;;;
SMM;16.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
SMM;17.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;;;;;
SMM;18.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;10.4;;;;;;;;;;;;;;
SMM;19.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;19.2;;;;;;;;;;;;;;
SMM;20.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;27.6;;;;;;;;;;;;;;
SMM;21.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;22.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;26.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;27.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;28.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;29.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;30.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;31.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;5.3;;;;;;;;;;;;;;
SMM;01.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;
SMM;02.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;03.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;04.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;13.5;;;;;;;;;;;;;;
SMM;06.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
SMM;07.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;
SMM;08.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;09.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;10.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;
SMM;11.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;12.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;17.5;;;;;;;;;;;;;;
SMM;13.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;17.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;18.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;19.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;20.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;21.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;22.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;23.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;26.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
SMM;27.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;
SMM;28.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;29.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;30.04.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;01.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;02.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;03.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;04.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;05.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;06.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;07.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;6.2;;;;;;;;;;;;;;
SMM;08.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;
SMM;09.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;5.5;;;;;;;;;;;;;;
SMM;10.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;16.8;;;;;;;;;;;;;;
SMM;11.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;13.2;;;;;;;;;;;;;;
SMM;12.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;13.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;14.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;15.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;16.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
SMM;17.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;18.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;19.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;8.6;;;;;;;;;;;;;;
SMM;20.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;21.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;22.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;15.4;;;;;;;;;;;;;;
SMM;23.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;24.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;25.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
SMM;26.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;27.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;28.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
SMM;29.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
SMM;30.05.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
