station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
STG;01.01.1864 00:00;-3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;02.01.1864 00:00;-10.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;03.01.1864 00:00;-12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;04.01.1864 00:00;-14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;05.01.1864 00:00;-10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;06.01.1864 00:00;-8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;07.01.1864 00:00;-10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;08.01.1864 00:00;-8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;09.01.1864 00:00;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;10.01.1864 00:00;-7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;11.01.1864 00:00;-8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;12.01.1864 00:00;-9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;13.01.1864 00:00;-10.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;14.01.1864 00:00;-9.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;15.01.1864 00:00;-8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;16.01.1864 00:00;-10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;17.01.1864 00:00;-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;18.01.1864 00:00;-10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;19.01.1864 00:00;-10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;20.01.1864 00:00;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;21.01.1864 00:00;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;22.01.1864 00:00;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;23.01.1864 00:00;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;24.01.1864 00:00;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;25.01.1864 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;26.01.1864 00:00;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;27.01.1864 00:00;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;28.01.1864 00:00;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;29.01.1864 00:00;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;30.01.1864 00:00;-8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;31.01.1864 00:00;-10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.02.1864 00:00;-5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;02.02.1864 00:00;-4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;03.02.1864 00:00;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;04.02.1864 00:00;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;05.02.1864 00:00;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;06.02.1864 00:00;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;07.02.1864 00:00;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;08.02.1864 00:00;-5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;09.02.1864 00:00;-7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;10.02.1864 00:00;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;11.02.1864 00:00;-7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;12.02.1864 00:00;-6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;13.02.1864 00:00;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;14.02.1864 00:00;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;15.02.1864 00:00;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;16.02.1864 00:00;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;17.02.1864 00:00;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;18.02.1864 00:00;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;19.02.1864 00:00;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;20.02.1864 00:00;-8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;21.02.1864 00:00;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;22.02.1864 00:00;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;23.02.1864 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;24.02.1864 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;25.02.1864 00:00;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;26.02.1864 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;27.02.1864 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;28.02.1864 00:00;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;29.02.1864 00:00;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.03.1864 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;02.03.1864 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;03.03.1864 00:00;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;04.03.1864 00:00;9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;05.03.1864 00:00;11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;06.03.1864 00:00;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;07.03.1864 00:00;10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;08.03.1864 00:00;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;09.03.1864 00:00;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;10.03.1864 00:00;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;11.03.1864 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;12.03.1864 00:00;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;13.03.1864 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;14.03.1864 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;15.03.1864 00:00;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;16.03.1864 00:00;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;17.03.1864 00:00;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;18.03.1864 00:00;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;19.03.1864 00:00;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;20.03.1864 00:00;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;21.03.1864 00:00;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;22.03.1864 00:00;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;23.03.1864 00:00;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;24.03.1864 00:00;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;25.03.1864 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;26.03.1864 00:00;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;27.03.1864 00:00;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;28.03.1864 00:00;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;29.03.1864 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;30.03.1864 00:00;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;31.03.1864 00:00;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.04.1864 00:00;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;02.04.1864 00:00;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;03.04.1864 00:00;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;04.04.1864 00:00;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;05.04.1864 00:00;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
