station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
STK;01.02.1993 00:00;;;;;;;;;;;;;;1.8;5.5;6.5;19.8;;;;;;;;;;;;;;;;37;;
STK;02.02.1993 00:00;;;;;;;;;;;;;;1.3;5.4;4.7;19.4;;;;;;;;;;;;;;;;45;;
STK;03.02.1993 00:00;;;;;;;;;;;;;;1.5;6.8;5.4;24.5;;;;;;;;;;;;;;;;52;;
STK;04.02.1993 00:00;;;;;;;;;;;;;;1.2;4;4.3;14.4;;;;;;;;;;;;;;;;214;;
STK;05.02.1993 00:00;;;;;;;;;;;;;;0.9;3.5;3.2;12.6;;;;;;;;;;;;;;;;198;;
STK;06.02.1993 00:00;;;;;;;;;;;;;;0.9;3.8;3.2;13.7;;;;;;;;;;;;;;;;360;;
STK;07.02.1993 00:00;;;;;;;;;;;;;;1.7;6.8;6.1;24.5;;;;;;;;;;;;;;;;39;;
STK;08.02.1993 00:00;;;;;;;;;;;;;;2.3;6.5;8.3;23.4;;;;;;;;;;;;;;;;37;;
STK;09.02.1993 00:00;;;;;;;;;;;;;;1.7;4.6;6.1;16.6;;;;;;;;;;;;;;;;23;;
STK;10.02.1993 00:00;;;;;;;;;;;;;;1.7;6.3;6.1;22.7;;;;;;;;;;;;;;;;32;;
STK;11.02.1993 00:00;;;;;;;;;;;;;;0.9;3.3;3.2;11.9;;;;;;;;;;;;;;;;360;;
STK;12.02.1993 00:00;;;;;;;;;;;;;;1.2;3.9;4.3;14;;;;;;;;;;;;;;;;304;;
STK;13.02.1993 00:00;;;;;;;;;;;;;;1.2;3.9;4.3;14;;;;;;;;;;;;;;;;45;;
STK;14.02.1993 00:00;;;;;;;;;;;;;;0.8;3.3;2.9;11.9;;;;;;;;;;;;;;;;63;;
STK;15.02.1993 00:00;;;;;;;;;;;;;;1.2;4.9;4.3;17.6;;;;;;;;;;;;;;;;49;;
STK;16.02.1993 00:00;;;;;;;;;;;;;;1.2;4.3;4.3;15.5;;;;;;;;;;;;;;;;270;;
