station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
THU;31.05.1875 00:00;;;;;;;;;;;;;;;;;;;;;29.5;;;;;;;;;;;;;;
THU;01.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;02.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;03.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
THU;04.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;13.5;;;;;;;;;;;;;;
THU;05.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
THU;06.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
THU;07.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;08.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;09.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;10.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;12.8;;;;;;;;;;;;;;
THU;11.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;12.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;13.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;14.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;15.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;8.2;;;;;;;;;;;;;;
THU;16.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;7.9;;;;;;;;;;;;;;
THU;17.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;19.6;;;;;;;;;;;;;;
THU;18.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
THU;19.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;
THU;20.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;7.1;;;;;;;;;;;;;;
THU;21.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;22.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;23.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;24.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;7.7;;;;;;;;;;;;;;
THU;25.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;12.4;;;;;;;;;;;;;;
THU;26.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
THU;27.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
THU;28.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
THU;29.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;8.9;;;;;;;;;;;;;;
THU;30.06.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;01.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;29.5;;;;;;;;;;;;;;
THU;02.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
THU;03.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;8.3;;;;;;;;;;;;;;
THU;04.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;5.7;;;;;;;;;;;;;;
THU;05.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
THU;06.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;07.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;08.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;18.4;;;;;;;;;;;;;;
THU;09.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
THU;10.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;11.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;17.5;;;;;;;;;;;;;;
THU;12.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;13.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;14.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
THU;15.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;6.3;;;;;;;;;;;;;;
THU;16.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
THU;17.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
THU;18.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;;;;;
THU;19.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
THU;20.07.1875 00:00;;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;
