station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
VAB;02.07.1993 00:00;;;;;;;;;;;;;;2.5;7.3;9;26.3;;;;;;;;;;;;;;;;360;;
VAB;03.07.1993 00:00;;;;;;;;;;;;;;2.4;7.3;8.6;26.3;;;;;;;;;;;;;;;;352;;
VAB;04.07.1993 00:00;;;;;;;;;;;;;;2.5;7.6;9;27.4;;;;;;;;;;;;;;;;329;;
VAB;05.07.1993 00:00;;;;;;;;;;;;;;3.7;18;13.3;64.8;;;;;;;;;;;;;;;;178;;
VAB;06.07.1993 00:00;;;;;;;;;;;;;;6.5;13.9;23.4;50;;;;;;;;;;;;;;;;342;;
VAB;07.07.1993 00:00;;;;;;;;;;;;;;3.6;13;13;46.8;;;;;;;;;;;;;;;;351;;
VAB;08.07.1993 00:00;;;;;;;;;;;;;;3.1;9.9;11.2;35.6;;;;;;;;;;;;;;;;352;;
VAB;09.07.1993 00:00;;;;;;;;;;;;;;4.3;13;15.5;46.8;;;;;;;;;;;;;;;;173;;
VAB;10.07.1993 00:00;;;;;;;;;;;;;;4.5;16.3;16.2;58.7;;;;;;;;;;;;;;;;174;;
VAB;11.07.1993 00:00;;;;;;;;;;;;;;2.9;8.4;10.4;30.2;;;;;;;;;;;;;;;;355;;
VAB;12.07.1993 00:00;;;;;;;;;;;;;;3.1;9.4;11.2;33.8;;;;;;;;;;;;;;;;350;;
VAB;13.07.1993 00:00;;;;;;;;;;;;;;2.8;8.4;10.1;30.2;;;;;;;;;;;;;;;;355;;
VAB;14.07.1993 00:00;;;;;;;;;;;;;;2.2;6.3;7.9;22.7;;;;;;;;;;;;;;;;180;;
VAB;15.07.1993 00:00;;;;;;;;;;;;;;2.3;6;8.3;21.6;;;;;;;;;;;;;;;;180;;
VAB;16.07.1993 00:00;;;;;;;;;;;;;;2.5;8.9;9;32;;;;;;;;;;;;;;;;270;;
VAB;17.07.1993 00:00;;;;;;;;;;;;;;2.9;9.3;10.4;33.5;;;;;;;;;;;;;;;;315;;
VAB;18.07.1993 00:00;;;;;;;;;;;;;;3.1;9;11.2;32.4;;;;;;;;;;;;;;;;352;;
VAB;19.07.1993 00:00;;;;;;;;;;;;;;1.8;8.8;6.5;31.7;;;;;;;;;;;;;;;;356;;
VAB;20.07.1993 00:00;;;;;;;;;;;;;;5.1;11.1;18.4;40;;;;;;;;;;;;;;;;346;;
VAB;21.07.1993 00:00;;;;;;;;;;;;;;4.5;14.3;16.2;51.5;;;;;;;;;;;;;;;;352;;
VAB;22.07.1993 00:00;;;;;;;;;;;;;;4.2;13;15.1;46.8;;;;;;;;;;;;;;;;356;;
VAB;23.07.1993 00:00;;;;;;;;;;;;;;2.9;9.6;10.4;34.6;;;;;;;;;;;;;;;;354;;
VAB;24.07.1993 00:00;;;;;;;;;;;;;;2.5;6.3;9;22.7;;;;;;;;;;;;;;;;173;;
VAB;25.07.1993 00:00;;;;;;;;;;;;;;4.2;13.8;15.1;49.7;;;;;;;;;;;;;;;;342;;
VAB;26.07.1993 00:00;;;;;;;;;;;;;;4;10.9;14.4;39.2;;;;;;;;;;;;;;;;351;;
VAB;27.07.1993 00:00;;;;;;;;;;;;;;2.1;9.5;7.6;34.2;;;;;;;;;;;;;;;;360;;
VAB;28.07.1993 00:00;;;;;;;;;;;;;;2.6;8.8;9.4;31.7;;;;;;;;;;;;;;;;360;;
VAB;29.07.1993 00:00;;;;;;;;;;;;;;2.6;6.3;9.4;22.7;;;;;;;;;;;;;;;;333;;
VAB;30.07.1993 00:00;;;;;;;;;;;;;;3.9;13.6;14;49;;;;;;;;;;;;;;;;183;;
VAB;31.07.1993 00:00;;;;;;;;;;;;;;4.6;15.3;16.6;55.1;;;;;;;;;;;;;;;;347;;
VAB;01.08.1993 00:00;;;;;;;;;;;;;;2.2;6.5;7.9;23.4;;;;;;;;;;;;;;;;180;;
VAB;02.08.1993 00:00;;;;;;;;;;;;;;2.8;8.9;10.1;32;;;;;;;;;;;;;;;;194;;
VAB;03.08.1993 00:00;;;;;;;;;;;;;;3;11.4;10.8;41;;;;;;;;;;;;;;;;187;;
VAB;04.08.1993 00:00;;;;;;;;;;;;;;3;11.1;10.8;40;;;;;;;;;;;;;;;;187;;
VAB;05.08.1993 00:00;;;;;;;;;;;;;;2.4;11.4;8.6;41;;;;;;;;;;;;;;;;315;;
VAB;06.08.1993 00:00;;;;;;;;;;;;;;4.3;10.4;15.5;37.4;;;;;;;;;;;;;;;;348;;
VAB;07.08.1993 00:00;;;;;;;;;;;;;;2.6;8.6;9.4;31;;;;;;;;;;;;;;;;356;;
VAB;08.08.1993 00:00;;;;;;;;;;;;;;2.7;12.9;9.7;46.4;;;;;;;;;;;;;;;;342;;
VAB;09.08.1993 00:00;;;;;;;;;;;;;;2.9;8.8;10.4;31.7;;;;;;;;;;;;;;;;349;;
VAB;10.08.1993 00:00;;;;;;;;;;;;;;2.9;11.9;10.4;42.8;;;;;;;;;;;;;;;;348;;
VAB;11.08.1993 00:00;;;;;;;;;;;;;;2.1;6.3;7.6;22.7;;;;;;;;;;;;;;;;5;;
VAB;12.08.1993 00:00;;;;;;;;;;;;;;3.3;12;11.9;43.2;;;;;;;;;;;;;;;;180;;
VAB;13.08.1993 00:00;;;;;;;;;;;;;;2.9;7.6;10.4;27.4;;;;;;;;;;;;;;;;356;;
VAB;14.08.1993 00:00;;;;;;;;;;;;;;3.2;9.1;11.5;32.8;;;;;;;;;;;;;;;;176;;
VAB;15.08.1993 00:00;;;;;;;;;;;;;;3.1;11.3;11.2;40.7;;;;;;;;;;;;;;;;180;;
VAB;16.08.1993 00:00;;;;;;;;;;;;;;2.6;8.4;9.4;30.2;;;;;;;;;;;;;;;;186;;
VAB;17.08.1993 00:00;;;;;;;;;;;;;;3.9;12.3;14;44.3;;;;;;;;;;;;;;;;336;;
VAB;18.08.1993 00:00;;;;;;;;;;;;;;3.4;11.1;12.2;40;;;;;;;;;;;;;;;;347;;
VAB;19.08.1993 00:00;;;;;;;;;;;;;;3;11.3;10.8;40.7;;;;;;;;;;;;;;;;349;;
VAB;20.08.1993 00:00;;;;;;;;;;;;;;2.9;10.4;10.4;37.4;;;;;;;;;;;;;;;;353;;
VAB;21.08.1993 00:00;;;;;;;;;;;;;;2.8;6.5;10.1;23.4;;;;;;;;;;;;;;;;315;;
VAB;22.08.1993 00:00;;;;;;;;;;;;;;4.6;15.8;16.6;56.9;;;;;;;;;;;;;;;;180;;
VAB;23.08.1993 00:00;;;;;;;;;;;;;;2.9;11.9;10.4;42.8;;;;;;;;;;;;;;;;315;;
VAB;24.08.1993 00:00;;;;;;;;;;;;;;1.8;8.3;6.5;29.9;;;;;;;;;;;;;;;;360;;
VAB;26.08.1993 00:00;;;;;;;;;;;;;;2;5.5;7.2;19.8;;;;;;;;;;;;;;;;315;;
VAB;27.08.1993 00:00;;;;;;;;;;;;;;3.3;13.9;11.9;50;;;;;;;;;;;;;;;;288;;
