station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
VEV;01.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;6.6;;;;;;;;;;;;;;
VEV;02.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
VEV;03.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;21.5;;;;;;;;;;;;;;
VEV;04.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;;;;
VEV;05.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;06.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;5.8;;;;;;;;;;;;;;
VEV;07.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;08.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
VEV;09.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;10.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
VEV;11.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;12.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;13.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;14.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;15.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;16.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;17.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;18.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;19.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;20.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;21.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;22.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;23.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;8.9;;;;;;;;;;;;;;
VEV;24.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;6.1;;;;;;;;;;;;;;
VEV;25.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
VEV;26.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;27.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;28.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
VEV;29.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
VEV;30.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
VEV;31.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;11.4;;;;;;;;;;;;;;
VEV;01.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;2.4;;;;;;;;;;;;;;
VEV;02.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;8.5;;;;;;;;;;;;;;
VEV;03.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;;
VEV;04.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;8.7;;;;;;;;;;;;;;
VEV;05.02.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
