station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
VIO;01.01.1930 00:00;-2.2;;;;;;36;;;;;;;3.5;;;;;;;0;;;;;;;;;;;;;;
VIO;02.01.1930 00:00;0.4;;;;;;51.7;;;;;;;0.4;;;;;;;0;;;;;;;;;;;;;;
VIO;03.01.1930 00:00;5.6;;;;;;40;;;;;;;1.4;;;;;;;0;;;;;;;;;;;;;;
VIO;04.01.1930 00:00;-2.7;;;;;;69.3;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;
VIO;05.01.1930 00:00;-1.3;;;;;;78.3;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;
VIO;06.01.1930 00:00;-1.9;;;;;;80.7;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;
VIO;07.01.1930 00:00;-4;;;;;;60;;;;;;;1.4;;;;;;;0;;;;;;;;;;;;;;
VIO;08.01.1930 00:00;-1.1;;;;;;69.7;;;;;;;0;;;;;;;2.4;;;;;;;;;;;;;;
VIO;09.01.1930 00:00;-0.1;;;;;;85;;;;;;;0;;;;;;;9;;;;;;;;;;;;;;
VIO;10.01.1930 00:00;-0.1;;;;;;86.3;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;
VIO;11.01.1930 00:00;-0.9;;;;;;82.7;;;;;;;0;;;;;;;9.2;;;;;;;;;;;;;;
VIO;12.01.1930 00:00;-0.9;;;;;;45;;;;;;;2.4;;;;;;;0;;;;;;;;;;;;;;
VIO;13.01.1930 00:00;3.5;;;;;;44.3;;;;;;;0.4;;;;;;;0;;;;;;;;;;;;;;
