station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
WAE;01.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
WAE;02.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
WAE;03.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;
WAE;04.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;2.3;;;;;;;;;;;;;;
WAE;05.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
WAE;06.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
WAE;07.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;08.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;09.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
WAE;10.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;11.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;12.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;13.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;14.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;15.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;16.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;17.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;18.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;19.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;20.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
WAE;21.01.1961 00:00;;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;
