station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MUB;01.01.1981 00:00;;;;;;;;;;;;;;1.3;46.8;168.5;;;;;;;;;;;;;
MUB;01.01.1982 00:00;;;;;;;;;;;;;;1.2;25.5;91.8;;;;;;;;;;;;;
MUB;01.01.1983 00:00;;;;;;;;;;;;;;1.3;26.8;96.5;;;;;;;;;;;;;
MUB;01.01.1984 00:00;;;;;;;;;;;;;;1.4;22;79.2;;;;;;;;;;;;;
MUB;01.01.1985 00:00;;;;;;;;;;;;;;1.3;22.2;79.9;;;;;;;;;;;;;
MUB;01.01.1986 00:00;;;;;;;;;;;;;;1.2;24.1;86.8;;;;;;;;;;;;;
MUB;01.01.1987 00:00;;;;;;;;;;;;;;1.2;20.7;74.5;4.3;;;;;;;;;;;;
MUB;01.01.1989 00:00;8.9;30.5;-6.4;;;;;;;;;;;1.2;18.8;67.7;4.3;690.9;;;;;;;;;;1712.6;
MUB;01.01.1990 00:00;;;;;;;;;;;;;;1.3;23.9;86;4.7;1110.6;;;;;;;;;;;
MUB;01.01.1991 00:00;8.8;;;;;;;;;;;;;1.2;20.8;74.9;4.3;804.1;;;;;;;;;;1839.5;
MUB;01.01.1992 00:00;9.3;32.5;-12.9;;;;;;;;;;;;23.1;83.2;;970.4;;;;;;;;;;1690.9;
MUB;01.01.1993 00:00;9;32;-10.2;;;;;;;;;;;1.2;22.4;80.6;4.3;893.7;;;;;;;;;;1671.1;
MUB;01.01.1994 00:00;10.4;32.9;-7.7;;;;;;;;;;;;21;75.6;;1143.5;;;;;;;;;;1345.7;
MUB;01.01.1995 00:00;9.1;;;;;;;;;;;;;1.3;18.9;68;4.7;1144.9;;;;;;;;;;;
MUB;01.01.1996 00:00;8.3;29.4;-10.3;;;;;;;;;;;1.3;19.1;68.8;4.7;867.5;;;;;;;;;;1836.5;
MUB;01.01.1997 00:00;9.3;29.2;-8.8;;;;;;;;;;;1.2;19.8;71.3;4.3;912.1;;;;;;;;;;1609.8;
MUB;01.01.1998 00:00;9.2;33.6;-8.9;;;;;;;;;;;1.2;23.4;84.2;4.3;857.6;;;;;;;;;;1694.4;
MUB;01.01.1999 00:00;9.2;;;;;;;;;;;;;1.3;28.4;102.2;4.7;1274.4;;;;;;;;;;;
MUB;01.01.2000 00:00;9.8;29.9;-12.6;;;;;;;;;;;;19.3;69.5;;1037.4;;;;;;;;;;1437.9;
MUB;01.01.2001 00:00;9.4;30.7;-12;;;;;;;;;;;;19.6;70.6;;1201.7;;;;;;;;;;1576.5;
MUB;01.01.2002 00:00;9.8;32.4;-9.4;;;;;;;;;;;1.2;21.7;78.1;4.3;1115;;;;;;;;;;1414.7;
MUB;01.01.2003 00:00;10;36.1;-12.9;;;;;;;;;;;;19.7;70.9;;585.8;;;;;;;;;;1725.7;
MUB;01.01.2004 00:00;9.3;31.4;-9;;;;;;;;;;;1.3;21.2;76.3;4.7;1002.1;;;;;;;;;;1621.9;
MUB;01.01.2005 00:00;9;32.6;-14.3;;;;;;;;;;;;20.9;75.2;;848.6;;;;;;;;;;1776.8;
MUB;01.01.2006 00:00;9.7;33;-10.2;;;;;;;;;;;;17.5;63;;1116.2;;;;;;;;;;1625.5;
MUB;01.01.2007 00:00;9.9;30.6;-7.8;;;;;;;;;;;;20.2;72.7;;1332.1;;;;;;;;;;1426.5;
MUB;01.01.2008 00:00;9.4;31.3;-8.1;;;;;;;;;;;1.2;18.1;65.2;4.3;984.9;;;;;;;;;;1620.5;
MUB;01.01.2009 00:00;9.7;32.6;-11.9;9.8;42;-14.3;82;10.6;959.6;1016.4;;;1016.1;1.2;29.6;106.6;4.3;970.6;148;;;;108671;46;710.8;114.7;3251.7;1651.7;509.9
MUB;01.01.2010 00:00;8.9;33.6;-12.3;8.6;43.9;-18.8;80.6;9.9;958.1;1015;;;1014.5;1.2;23.6;85;4.3;785;141;;;;97148;41;673.5;129.8;3634.7;1842.7;392.9
MUB;01.01.2011 00:00;10.4;33.7;-8.1;10.3;42.2;-12.3;79.9;10.4;962.6;;;;1019.3;1.1;28.5;102.6;4;695.7;156;;;;123683;53;742.4;101.6;2961.9;1409.9;200.9
MUB;01.01.2012 00:00;9.6;32.5;-15.6;9.7;;;80.8;10.4;961.3;1018.3;;;1018;1.3;23;82.8;4.7;1089.1;147;;;;108911;46;701.9;102.3;3346;1618;
MUB;01.01.2013 00:00;9;33.6;-11.1;9.5;47.1;-15.3;82.3;10.2;959.8;;;;;1.2;18.9;68;4.3;1052.9;140;;;;96031;41;669.1;131.3;3521.6;1801.6;672.2
MUB;01.01.2014 00:00;10.4;31.5;-10.5;10.5;42;-17.9;83.5;10.9;959.4;1016.1;;;1016;1.2;26.2;94.3;4.3;1059.8;147;;;;103637;44;694.1;54.8;2834.8;1266.8;688.2
MUB;01.01.2015 00:00;10.3;37.1;-8;10.4;;;80.7;10.5;963.1;1020.1;;;1019.9;1.3;24.2;87.1;4.7;744.9;154;;;;116355;50;748.3;215.1;3127.9;1463.9;
MUB;01.01.2016 00:00;9.7;32;-10.1;9.7;41.4;-16.2;83.7;10.6;961.3;1018.3;;;1018;1.2;22.3;80.3;4.3;1258.3;141;;;;96990;41;675.9;117.3;3352.5;1584.5;893.7
MUB;01.01.2017 00:00;10;33.3;-12.9;10.1;44.8;-20.1;79.4;10.3;962.3;1019.3;;;1019.1;1.3;28.3;101.9;4.7;894.7;157;;;;114146;49;761.6;184.8;3303.8;1551.8;
MUB;01.01.2018 00:00;10.9;33.2;-12.8;10.8;44.2;-15.8;78.9;10.7;959.8;1016.5;;;1016.5;1.3;25.8;92.9;4.7;846.7;155;;;;111931;48;790.3;183.1;2913.3;1393.3;335.5
