station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MVE;01.01.1926 00:00;;;;;;;;;;;;;;;;;;;;;;;126540;;;;;;
MVE;01.01.1927 00:00;;;;;;;;;;;;;;;;;;;;;;;126000;;;;;;
MVE;01.01.1928 00:00;;;;;;;;;;;;;;;;;;;;;;;122220;;;;;;
MVE;01.01.1929 00:00;;;;;;;;;;;;;;;;;;;;;;;134640;;;;;;
MVE;01.01.1930 00:00;;;;;;;;;;;;;;;;;;;;;;;114780;;;;;;
MVE;01.01.1931 00:00;5.3;34.1;-16.3;;;;69;6.8;852.4;;;;;1.7;;;6.1;959.6;;;;;126138;52;;;5025.3;;
MVE;01.01.1932 00:00;6.3;30.4;-16.9;;;;65.4;7;853.7;;;;;2;;;7.2;719.3;;;;;128771;53;;;4566.6;;
MVE;01.01.1933 00:00;5.7;31.2;-17.5;;;;67.7;6.9;852.1;;;;;1.7;;;6.1;627;;;;;126654;51;;;4785.5;;
MVE;01.01.1934 00:00;6.8;28.6;-11.5;;;;66.7;7.2;853;;;;;1.4;;;5;711.7;;;;;139284;57;;;4273.6;;
MVE;01.01.1935 00:00;5.4;31;-15.1;;;;70.8;7;851.9;;;;;1.7;;;6.1;1169.9;;;;;119742;47;;;4935.1;;
MVE;01.01.1936 00:00;6;29.2;-15.4;;;;69.6;7.1;851.9;;;;;1.4;;;5;901.9;;;;;116928;48;;;4741.8;;
MVE;01.01.1937 00:00;6;28.5;-15.9;;;;69;7.1;851.7;;;;;2.7;;;9.7;870.9;;;;;111306;45;;;4666.7;;
MVE;01.01.1938 00:00;6.1;28.7;-16.7;;;;68.3;7.1;854.2;;;;;1.1;;;4;748.1;;;;;138654;56;;;4739.1;;
MVE;01.01.1939 00:00;5.8;26.9;-16;;;;71.2;7.2;851.7;;;;;0.6;;;2.2;984.9;;;;;112098;45;;;4797.4;;
MVE;01.01.1940 00:00;5.2;25.2;-19.7;;;;72.3;7.3;851.9;;;;;0.4;;;1.4;1095.7;;;;;123558;50;;;5003;;
MVE;01.01.1941 00:00;5.4;29.5;-16.4;;;;62.6;6.1;851.6;;;;;0.2;;;0.7;742.9;;;;;129276;53;;;4975.6;;
MVE;01.01.1942 00:00;6.2;29;-17;;;;67.1;7.2;853.1;;;;;0.2;;;0.7;699.3;;;;;133920;54;;;4536.4;;
MVE;01.01.1943 00:00;7.2;32;-10.5;;;;54.1;6;855.1;;;;;0.2;;;0.7;718.1;;;;;141702;57;;;4178.2;;
MVE;01.01.1944 00:00;5.6;33.3;-14.7;;;;60.3;6;853.1;;;;;0.2;;;0.7;1122.8;;;;;128184;51;;;4890.1;;
MVE;01.01.1945 00:00;6.6;30.9;-17.4;;;;72.5;7.9;854.9;;;;;0.2;;;0.7;850.6;;;;;146622;58;;;4440.7;;
MVE;01.01.1946 00:00;6.4;32;-15.5;;;;74.4;7.8;853.3;;;;;0.2;;;0.7;895.2;;;;;134094;54;;;4524;;
MVE;01.01.1947 00:00;7.4;33.2;-15.2;;;;70.3;7.9;852.7;;;;;0.1;;;0.4;780.4;;;;;137826;55;;;4189.4;;
MVE;01.01.1948 00:00;7;28;-13.5;;;;70;7.6;854.7;;;;;0.2;;;0.7;762.4;;;;;134460;55;;;4360.1;;
MVE;01.01.1949 00:00;7.2;30.5;-17.6;;;;67.4;7.4;855.3;;;;;0.2;;;0.7;646.4;;;;;145404;59;;;4175.1;;
MVE;01.01.1950 00:00;6.5;31.7;-14.5;;;;70.1;7.4;852.8;;;;;0.2;;;0.7;954.8;;;;;128100;50;;;4487;;
MVE;01.01.1951 00:00;6.2;28.2;-12.5;;;;69.5;7.2;851.8;;;;;0.2;;;0.7;906.7;;;;;119724;48;;;4564.9;;
MVE;01.01.1952 00:00;6.1;33.7;-14;;;;69.3;7;852.1;;;;;0.2;;;0.7;1351.9;;;;;126294;49;;;4714.9;;
MVE;01.01.1953 00:00;6.5;27.5;-14.8;;;;64.6;6.9;854.9;;;;;0.2;;;0.7;547.7;;;;;139842;58;;;4510.4;;
MVE;01.01.1954 00:00;5.3;26.7;-14.8;;;;69;6.6;852;;;;;0.4;;;1.4;1013.4;;;;;120132;49;;;5017.9;;
MVE;01.01.1955 00:00;5.7;28;-13.5;;;;67.9;6.7;851.9;;;;;1.7;;;6.1;1065.7;;;;;128616;52;;;4794;;
MVE;01.01.1956 00:00;4.5;30;-23;;;;67.4;6.4;853.1;;;;;1.4;;;5;740.3;;;;;123924;51;;;5234.9;;
MVE;01.01.1957 00:00;6.4;32.7;-12.4;;;;66.7;7;853.7;;;;;2;;;7.2;737.7;;;;;132726;55;;;4671.3;;
