station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
NEU;01.01.1864 00:00;8.3;;;;;;;;;;;;;;;;;735.8;;;;;;;;;3841.9;;
NEU;01.01.1865 00:00;9.9;33;-13.4;;;;;;;;;;;;;;;831.8;;;;;;;;;3247.1;;
NEU;01.01.1866 00:00;10;32.6;-6.5;;;;;;;;;;;;;;;1088.4;;;;;;;;;3160.5;;
NEU;01.01.1867 00:00;9.3;;;;;;;;;;;;;;;;;1011.3;;;;;;;;;3566.6;;
NEU;01.01.1868 00:00;10.5;33.2;-12.9;;;;;;;;;;;;;;;842.9;;;;;;;;;3227.1;;
NEU;01.01.1869 00:00;9.5;33.1;-13.5;;;;;;959.9;;;;;;;;;749.1;;;;;;;;;3327.8;;
NEU;01.01.1870 00:00;8.8;;;;;;;;;;;;;;;;;808.3;;;;;;;;;3744;;
NEU;01.01.1871 00:00;8.2;31.7;-16.3;;;;;;958.6;;;;;;;;;629.6;;;;;;;;;3969;;
NEU;01.01.1872 00:00;10;33.4;-8.1;;;;;;957.3;;;;;;;;;1085.6;;;;;;;;;3306.8;;
NEU;01.01.1873 00:00;9.6;32.8;-7.7;;;;;;959.6;;;;;;;;;781.2;;;;;;;;;3473.4;;
NEU;01.01.1874 00:00;9.2;;;;;;;;960.6;;;;;;;;;791.6;;;;;;;;;3557.7;;
NEU;01.01.1875 00:00;9.2;30.9;-12.8;;;;;;959.9;;;;;;;;;1095.4;;;;;;;;;3452.3;;
NEU;01.01.1876 00:00;9.5;31.6;-12.3;;;;;;958.2;;;;;;;;;1202.2;;;;;;;;;3488.9;;
NEU;01.01.1877 00:00;9.6;29.7;-8.7;;;;;;958.9;;;;;;;;;1249.4;;;;;;;;;3525.1;;
NEU;01.01.1878 00:00;8.9;31.2;-14.4;;;;;;958.6;;;;;;;;;1144;;;;;;;;;3555.6;;
NEU;01.01.1879 00:00;7.6;32.2;-15.9;;;;;;958.4;;;;;;;;;1333.6;;;;;;;;;4153.2;;
NEU;01.01.1880 00:00;9.4;32.8;-17.1;;;;;;960.3;;;;;;;;;1261;;;;;;;;;3442.1;;
NEU;01.01.1881 00:00;9.2;34.9;-13.8;;;;;;959.3;;;;;;;;;890.3;;;;;;;;;3689.3;;
NEU;01.01.1882 00:00;9.1;30.2;-8.7;;;;;;960.5;;;;;;;;;1143.8;;;;;;;;;3446.2;;
NEU;01.01.1883 00:00;9;31.2;-12.2;;;;;;959.9;;;;;;;;;854.8;;;;;;;;;3503.7;;
NEU;01.01.1884 00:00;9.7;33;-6.1;;;;;;960.7;;;;;;;;;647.5;;;;;;;;;3343.9;;
NEU;01.01.1885 00:00;9.3;31.5;-11.6;;;;;;958.3;;;;;;;;;1103.9;;;;;;;;;3607.2;;
NEU;01.01.1886 00:00;9.2;32.5;-10.7;;;;;;958.5;;;;;;;;;1084.3;;;;;;;;;3487;;
NEU;01.01.1887 00:00;8;32.4;-13.5;;;;;;959.7;;;;;;;;;827.7;;;;;;;;;4131.6;;
NEU;01.01.1888 00:00;8.2;32;-14.3;;;;;;959.3;;;;;;;;;950;;;;;;;;;3799;;
NEU;01.01.1889 00:00;8.2;30.2;-11.8;;;;;;959.1;;;;;;;;;943.3;;;;;;;;;3867;;
NEU;01.01.1890 00:00;8.1;32.6;-12.1;;;;;;959.3;;;;;;;;;797.5;;;;;;;;;3817.5;;
NEU;01.01.1891 00:00;8.2;30.5;-15.4;;;;;;959.9;;;;;;;;;989.1;;;;;;;;;3782.7;;
