station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ORO;01.01.1994 00:00;;;;;;;;;;;;;;2.9;25.5;91.8;10.4;;;;;;;;;;;;
ORO;01.01.1995 00:00;;;;;;;;;;;;;;3.1;28.2;101.5;11.2;;;;;;;;;;;;
ORO;01.01.1996 00:00;;;;;;;;;;;;;;3;25.8;92.9;10.8;;;;;;;;;;;;
ORO;01.01.1997 00:00;;;;;;;;;;;;;;2.9;30.5;109.8;10.4;;;;;;;;;;;;
ORO;01.01.1998 00:00;;;;;;;;;;;;;;3.2;27.6;99.4;11.5;;;;;;;;;;;;
ORO;01.01.1999 00:00;;;;;;;;;;;;;;3.1;36.8;132.5;11.2;;;;;;;;;;;;
ORO;01.01.2000 00:00;;;;;;;;;;;;;;2.9;27.6;99.4;10.4;;;;;;;;;;;;
ORO;01.01.2001 00:00;;;;;;;;;;;;;;3.1;24.3;87.5;11.2;;;;;;;;;;;;
ORO;01.01.2002 00:00;;;;;;;;;;;;;;2.9;29.1;104.8;10.4;;;;;;;;;;;;
ORO;01.01.2003 00:00;;;;;;;;;;;;;;2.9;32.3;116.3;10.4;;;;;;;;;;;;
ORO;01.01.2004 00:00;;;;;;;;;;;;;;3.2;26;93.6;11.5;;;;;;;;;;;;
ORO;01.01.2005 00:00;;;;;;;;;;;;;;2.9;25;90;10.4;;;;;;;;;;;;
ORO;01.01.2006 00:00;;;;;;;;;;;;;;2.8;26.1;94;10.1;;;;;;;;;;;;
ORO;01.01.2007 00:00;;;;;;;;;;;;;;3.2;26.1;94;11.5;;;;;;;;;;;;
ORO;01.01.2008 00:00;;;;;;;;;;;;;;3;23;82.8;10.8;;;;;;;;;;;;
ORO;01.01.2009 00:00;;;;;;;;;;;;;;3.1;32.8;118.1;11.2;;;;;;;;;;;;
ORO;01.01.2010 00:00;;;;;;;;;;;;;;3.2;31.1;112;11.5;;;;;;;;;;;;
ORO;01.01.2013 00:00;;;;;;;;;920.5;;;;1016.4;2.8;30.6;110.2;10.1;1379;148;;;;;;;;;;
ORO;01.01.2014 00:00;;29.5;-12.4;;;;;;920.3;;;;1016.3;2.7;32.8;118.1;9.7;1151.3;149;;;;;;;;;;
ORO;01.01.2015 00:00;9.5;34;-8.9;;;;75.8;9.3;923.8;;1515.1;;1020.1;2.9;24.9;89.6;10.4;;159;;;;;;795.5;195.5;3469.1;1621.1;
ORO;01.01.2016 00:00;8.8;30;-11.6;;;;80.1;9.5;922.1;;1498.1;;1018.2;2.8;30.5;109.8;10.1;1454.3;147;;;;;;711.8;105.2;3734.1;1814.1;
ORO;01.01.2017 00:00;9;29.7;-13.1;;;;76.6;9.3;923.2;;1507.9;;1019.3;2.9;29.7;106.9;10.4;916.1;158;;;;;;791.4;145.8;3640;1816;
ORO;01.01.2018 00:00;9.7;30.2;-14.7;;;;78.6;9.9;920.8;;1489;;1016.8;3;30;108;10.8;1015.3;161;;;;;;;133.3;3294.4;1662.4;
ORO;01.01.2019 00:00;9.3;33.3;-7.7;;;;76.1;9.4;921.3;;1492.9;;1017.4;3.1;32.1;115.6;11.2;1193.7;160;;;;;;803.2;156.3;3549.4;1677.4;
ORO;01.01.2020 00:00;9.9;32.2;-6.7;;;;75.4;9.5;922.5;;1504;;1018.6;3.1;31.1;112;11.2;1085.9;162;;;;;;820.4;119.8;3238.7;1502.7;
ORO;01.01.2021 00:00;8.4;28.9;-9.4;;;;79.1;9.2;922;;1496.1;;1018.1;3;24.7;88.9;10.8;1296;156;;;;116817;47;728.4;59.5;3735.9;1863.9;804.1
ORO;01.01.2022 00:00;10.5;32.7;-9.2;;;;73.4;9.6;923.1;;;;1019.3;3.1;27.5;99;11.2;1102.3;172;;;;144282;58;895.8;180.6;3112;1464;320.9
ORO;01.01.2023 00:00;10.2;33.5;-11.4;;;;75.4;9.7;921.6;;1497.3;;1017.7;3.2;29.3;105.5;11.5;1386.8;159;;;;120587;49;831.6;190.8;3294;1558;698.1
ORO;01.01.2024 00:00;9.9;31.4;-11.4;;;;79.3;10.1;921.7;;1496.9;;1017.8;3;29.1;104.8;10.8;1266.7;147;;;;103273;42;745.7;140.9;3302.8;1486.8;
