station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
OTL;01.01.1864 00:00;11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1865 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1866 00:00;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1867 00:00;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1868 00:00;12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1869 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1870 00:00;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1871 00:00;11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1872 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1873 00:00;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1874 00:00;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1875 00:00;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1876 00:00;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1877 00:00;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1878 00:00;12;;;;;;;;;;;;;;;;;2128.8;;;;;;;;;;;
OTL;01.01.1879 00:00;11;;;;;;;;;;;;;;;;;1958.7;;;;;;;;;;;
OTL;01.01.1880 00:00;12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1881 00:00;12;;;;;;;;;;;;;;;;;1422.2;;;;;;;;;;;
OTL;01.01.1882 00:00;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OTL;01.01.1883 00:00;11.4;;;;;;;;;;;;;;;;;1615;;;;;;;;;;;
OTL;01.01.1884 00:00;12.1;;;;;;;;;;;;;;;;;1232;;;;;;;;;;;
OTL;01.01.1885 00:00;11.7;;;;;;;;;;;;;;;;;2241;;;;;;;;;;;
OTL;01.01.1886 00:00;11.6;;;;;;;;;;;;;;;;;2480;;;;;;;;;;;
OTL;01.01.1887 00:00;10.8;;;;;;;;;;;;;;;;;1869;;;;;;;;;;;
OTL;01.01.1888 00:00;10.8;;;;;;;;;;;;;;;;;2427;;;;;;;;;;;
OTL;01.01.1889 00:00;11.1;;;;;;;;;;;;;;;;;2359;;;;;;;;;;;
OTL;01.01.1890 00:00;11;;;;;;;;;;;;;;;;;2617;;;;;;;;;;;
OTL;01.01.1891 00:00;11;;;;;;;;;;;;;;;;;2248;;;;;;;;;;;
OTL;01.01.1892 00:00;11.8;;;;;;;;;;;;;;;;;1867;;;;;;;;;;;
OTL;01.01.1893 00:00;12.3;;;;;;;;;;;;;;;;;1191;;;;;;;;;;;
OTL;01.01.1894 00:00;11.8;;;;;;;;;;;;;;;;;1449;;;;;;;;;;;
OTL;01.01.1895 00:00;11.4;;;;;;;;;;;;;;;;;1322;;;;;;;;;;;
OTL;01.01.1896 00:00;11.2;;;;;;;;;;;;;;;;;2377;;;;;;;;;;;
OTL;01.01.1897 00:00;12;;;;;;;;;;;;;;;;;1999;;;;;;;;;;;
OTL;01.01.1898 00:00;12.5;;;;;;;;;;;;;;;;;1974;;;;;;;;;;;
OTL;01.01.1899 00:00;12.6;;;;;;;;;;;;;;;;;1121;;;;;;;;;;;
OTL;01.01.1900 00:00;12.5;;;;;;;;;;;;;;;;;2058.6;;;;;;;;;;;
OTL;01.01.1901 00:00;11.2;;;;;;;;;;;;;;;;;2042.6;;;;;;;;;;;
OTL;01.01.1902 00:00;11.6;;;;;;;;;;;;;;;;;1757.2;;;;;;;;;;;
OTL;01.01.1903 00:00;11.5;;;;;;;;;;;;;;;;;2303.8;;;;;;;;;;;
OTL;01.01.1904 00:00;12.4;;;;;;;;;;;;;;;;;1359.7;;;;;;;;;;;
OTL;01.01.1905 00:00;11.5;;;;;;;;;;;;;;;;;2118.2;;;;;;;;;;;
OTL;01.01.1906 00:00;12.2;;;;;;;;;;;;;;;;;1335.4;;;;;;;;;;;
OTL;01.01.1907 00:00;11.9;;;;;;;;;;;;;;;;;1749.5;;;;;;;;;;;
OTL;01.01.1908 00:00;11.7;;;;;;;;;;;;;;;;;1770.4;;;;;;;;;;;
OTL;01.01.1909 00:00;11.2;;;;;;;;;;;;;;;;;1555;;;;;;;;;;;
OTL;01.01.1910 00:00;11.5;;;;;;;;;;;;;;;;;2132.2;;;;;;;;;;;
OTL;01.01.1911 00:00;12.2;;;;;;;;;;;;;;;;;1696.1;;;;;;;;;;;
OTL;01.01.1912 00:00;11.2;;;;;;;;;;;;;;;;;1668.8;;;;;;;;;;;
OTL;01.01.1913 00:00;11.8;;;;;;;;;;;;;;;;;1722.1;;;;;;;;;;;
OTL;01.01.1914 00:00;11.4;;;;;;;;;;;;;;;;;2120.5;;;;;;;;;;;
OTL;01.01.1915 00:00;11.2;;;;;;;;;;;;;;;;;1615.8;;;;;;;;;;;
OTL;01.01.1916 00:00;11.5;;;;;;;;;;;;;;;;;2565.9;;;;;;;;;;;
OTL;01.01.1917 00:00;11.1;;;;;;;;;;;;;;;;;1904.4;;;;;;;;;;;
OTL;01.01.1918 00:00;11.7;;;;;;;;;;;;;;;;;2026.9;;;;;;;;;;;
OTL;01.01.1919 00:00;11.7;;;;;;;;;;;;;;;;;1583.1;;;;;;;;;;;
OTL;01.01.1920 00:00;12.4;;;;;;;;;;;;;;;;;2262;;;;;;;;;;;
OTL;01.01.1921 00:00;12.9;;;;;;;;;;;;;;;;;874.3;;;;;;;;;;;
OTL;01.01.1922 00:00;11.6;;;;;;;;;;;;;;;;;2007.6;;;;;;;;;;;
OTL;01.01.1923 00:00;12.3;;;;;;;;;;;;;;;;;1826.9;;;;;;;;;;;
OTL;01.01.1924 00:00;11.9;;;;;;;;;;;;;;;;;1787.1;;;;;;;;;;;
OTL;01.01.1925 00:00;11.6;;;;;;;;;;;;;;;;;1781.2;;;;;;;;;;;
OTL;01.01.1926 00:00;12.6;;;;;;;;;;;;;;;;;2291.5;;;;;;;;;;;
OTL;01.01.1927 00:00;12.3;;;;;;;;;;;;;;;;;2105.3;;;;;;;;;;;
OTL;01.01.1928 00:00;12.5;;;;;;;;;;;;;;;;;2138;;;;;;;;;;;
OTL;01.01.1929 00:00;12;;;;;;;;;;;;;;;;;1530.5;;;;;;;;;;;
OTL;01.01.1930 00:00;11.8;;;;;;;;;;;;;;;;;1945;;;;;;;;;;;
OTL;01.01.1931 00:00;11.4;;;;;;;;;;;;;;;;;1885.9;;;;;;;;;;;
OTL;01.01.1932 00:00;11.4;;;;;;;;;;;;;;;;;2093.8;;;;;;;;;;;
OTL;01.01.1933 00:00;11.6;;;;;;;;;;;;;;;;;1757.8;;;;;;;;;;;
OTL;01.01.1934 00:00;12;;;;;;;;;;;;;;;;;2140.9;;;;;;;;;;;
OTL;01.01.1935 00:00;11.5;;;;;;;;;;;;;;;;;2287;;;;;;;;;;;
OTL;01.01.1936 00:00;11.3;29.6;-3.4;;;;70.2;10.1;970.2;;;;;2.4;;;8.6;1800.3;;;;;122418;53;;;2879.9;;
OTL;01.01.1937 00:00;11.6;30.4;-5.5;;;;68.3;10.1;969.5;;;;;3.5;;;12.6;1964;;;;;132180;56;;;2775.1;;
OTL;01.01.1938 00:00;11.6;29.7;-8.5;;;;64.9;9.7;972.7;;;;;4.4;;;15.8;1621.8;;;;;146274;62;;;2603.3;;
OTL;01.01.1939 00:00;11.1;28.5;-7.7;;;;66.1;9.4;970.2;;;;;3.9;;;14;2397.1;;;;;120714;52;;;2791.8;;
OTL;01.01.1940 00:00;10.8;28.5;-9;;;;63;9;970.2;;;;;4.8;;;17.3;1686.8;;;;;137928;58;;;2915.3;;
OTL;01.01.1941 00:00;10.7;30.7;-7.5;;;;63.5;8.9;970.2;;;;;5.3;;;19.1;2007.4;;;;;134574;57;;;3002.8;;
OTL;01.01.1942 00:00;11.6;30;-6.5;;;;63.6;9.5;971.4;;;;;5.3;;;19.1;1653.3;;;;;136350;58;;;2709.1;;
OTL;01.01.1943 00:00;12.8;33;-4.8;;;;59.8;9.5;973.4;;;;;5.7;;;20.5;1255.1;;;;;147882;62;;;2386.4;;
OTL;01.01.1944 00:00;11.5;29.2;-5.9;;;;58.7;8.9;970.9;;;;;3.9;;;14;1455.6;;;;;142548;61;;;2674.6;;
OTL;01.01.1945 00:00;12.6;36;-9.2;;;;57.6;9.1;972.5;;;;;3.1;;;11.2;1579.6;;;;;164448;69;;;2451.4;;
OTL;01.01.1946 00:00;11.7;30.5;-4.9;;;;63.4;9.4;971.7;;;;;2.4;;;8.6;1784.5;;;;;131286;56;;;2599.6;;
OTL;01.01.1947 00:00;12.1;33;-8.1;;;;63.4;9.8;971.1;;;;;2.4;;;8.6;1743.4;;;;;138546;58;;;2666.7;;
OTL;01.01.1948 00:00;12.1;28.6;-5.5;;;;61;9.2;973.3;;;;;2.7;;;9.7;1748.3;;;;;141006;60;;;2307.8;;
OTL;01.01.1949 00:00;12.7;32;-6;;;;56.4;9;973.5;;;;;3.1;;;11.2;1295.5;;;;;152970;66;;;2398.8;;
OTL;01.01.1950 00:00;12.2;32;-4.8;;;;64.4;9.9;970.8;;;;;2.7;;;9.7;1717.2;;;;;136986;57;;;2544.7;;
OTL;01.01.1951 00:00;11.5;29.3;-2;;;;66;9.6;970.5;;;;;2.4;;;8.6;2689.5;;;;;123630;52;;;2782.1;;
OTL;01.01.1952 00:00;11.6;34.6;-4.8;;;;62.2;9.3;970.3;;;;;2;;;7.2;1664.3;;;;;141924;60;;;2818.3;;
OTL;01.01.1953 00:00;12.2;29.6;-4.6;;;;62.8;9.7;973.6;;;;;2.4;;;8.6;1619;;;;;139776;60;;;2371.8;;
OTL;01.01.1954 00:00;11.2;29.3;-5.6;;;;64.6;9.2;970.2;;;;;2.7;;;9.7;1800.7;;;;;129084;55;;;2742.6;;
OTL;01.01.1955 00:00;11.7;30.1;-3.1;;;;65.8;9.8;970.4;;;;;1.7;;;6.1;1207.2;;;;;139716;58;;;2565.8;;
OTL;01.01.1956 00:00;10.9;30.2;-9;;;;65.1;9.3;971.8;;;;;1.4;;;5;1983.3;;;;;136680;58;;;2954.1;;
OTL;01.01.1957 00:00;11.7;33.2;-4.7;;;;67.9;10;972.1;;;;;1.4;;;5;2027.6;;;;;132252;57;;;2553.6;;
OTL;01.01.1958 00:00;11.8;30.7;-4.1;;;;67.1;10.2;970.7;;;;;1.7;;;6.1;1986.6;;;;;133428;56;;;2664.1;;
OTL;01.01.1959 00:00;12.5;31;-5;;;;66.7;10.3;972.1;;;;;2;;;7.2;1701.2;;;;;137328;58;;;2391;;
OTL;01.01.1960 00:00;11.4;28.1;-8;;;;65.4;9.3;969.7;;;;;1.4;;;5;3034.4;;;;;120792;50;;;2719.3;;
OTL;01.01.1961 00:00;12.7;29.6;-4.6;;;;66.1;10.4;972.5;;;;;1.4;;;5;1422.4;;;;;146544;62;;;2305.9;;
OTL;01.01.1962 00:00;11.7;30.8;-5.9;;;;62.5;9.5;971.1;;;;;2;;;7.2;1203.7;;;;;143694;60;;;2783.4;;
OTL;01.01.1963 00:00;11;29.6;-8.1;;;;66.8;9.7;970.4;;;;;2;;;7.2;2564.1;;;;;124572;53;;;2763.9;;
OTL;01.01.1964 00:00;12.2;32.2;-4.4;;;;64.1;9.7;972.6;;;;;2;;;7.2;1335.5;;;;;135024;57;;;2574.1;;
OTL;01.01.1965 00:00;11.4;33.1;-4.9;;;;60.3;8.8;970.1;;;;;2;;;7.2;1717.1;;;;;136002;58;;;2620.2;;
OTL;01.01.1966 00:00;11.8;29.6;-7.7;;;;67.6;10.3;970;;;;;2;;;7.2;2112.5;;;;;138342;59;;;2589.6;;
OTL;01.01.1967 00:00;11.9;31.2;-7.2;;;;61.6;9.3;972.7;;;;;2;;;7.2;1870.6;;;;;143454;62;;;2529.5;;
OTL;01.01.1968 00:00;11.4;30.3;-6.4;;;;73.1;10.6;971.1;;;;;1.7;;;6.1;2229.2;;;;;130860;56;;;2622.8;;
OTL;01.01.1969 00:00;11.4;31.9;-5.7;;;;68.6;10.1;970.4;;;;;1.7;;;6.1;1574.2;;;;;133248;57;;;2703;;
OTL;01.01.1970 00:00;11.4;30.9;-6.6;;;;61.9;9.2;970.9;;;;;1.7;;;6.1;1726.6;;;;;136272;58;;;2876.3;;
OTL;01.01.1971 00:00;11.8;29.9;-8.8;;;;66;9.9;971.9;;;;;1.1;;;4.7;1682.6;;;;;140910;61;;;2622.3;;
OTL;01.01.1972 00:00;11.2;30.7;-2.5;;;;70.3;9.7;972;;;;;1.1;;;5;1726.6;;;;;109620;46;;;2757.4;;
OTL;01.01.1973 00:00;11.9;30.3;-7.7;;;;64.2;9.9;972.4;;;;;1.3;;;5.8;1443.2;;;;;136584;59;;;2662.5;;
OTL;01.01.1974 00:00;12;32;-0.9;;;;65.3;9.5;970.9;;;;;1.1;;;5.4;1590.6;;;;;129096;55;;;2617.2;;
