station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PAY;01.01.1965 00:00;8;31.5;-14.2;;;-19;83.1;9.5;958;;;;;2.2;;;;1279.9;;;;;94230;;;;3908;;
PAY;01.01.1966 00:00;9.1;32.5;-21;;;-24.7;81.8;10;957.7;;;;;2;;;;1015.7;;;;;103086;;;;3384.8;;
PAY;01.01.1967 00:00;8.9;31.8;-14.5;;;-16.3;81.8;9.9;960.5;;;;;2;;;;919.3;;;;;114966;;;;3630;;
PAY;01.01.1968 00:00;8.6;32;-19.8;;;-23.6;83;9.7;958.6;;;;;1.9;;;;1170.3;;;;;100680;;;;3481.9;;
PAY;01.01.1969 00:00;8.2;30.6;-12.3;;;-15.6;82.6;9.7;957.9;;;;;1.9;;;;829.4;;;;;102180;;;;3836.5;;
PAY;01.01.1970 00:00;8.3;31.7;-12.8;;;-15.3;82.7;9.7;958.7;;;;;2;;;;1108;;;;;97662;;;;3796;;
PAY;01.01.1971 00:00;8.3;31.3;-20.4;;;-26.1;80.6;9.4;959.5;;;;;1.7;;;;807.2;;;;;114756;;;;3803.5;;
PAY;01.01.1972 00:00;8.1;30.7;-10.4;;;-14.4;81;9;958.7;;;;;1.7;;;;762.6;;;;;97512;;;;3895.7;;
PAY;01.01.1973 00:00;8.3;30;-14.6;;;-17.3;81.7;9.6;960.7;;;;;1.8;;;;802.3;;;;;101154;;;;3868.4;;
PAY;01.01.1974 00:00;9.1;33.8;-5.4;;;-7.7;82.9;9.9;958.6;;;;;2;;;;876.7;;;;;91422;;;;3550.8;;
PAY;01.01.1975 00:00;8.8;30.3;-9.8;;;-15.9;82.9;9.9;960.1;;;;;1.8;;;;758.1;;;;;91536;;;;3669.7;;
PAY;01.01.1976 00:00;8.8;33;-14.5;;;-18.8;78.3;9.2;958.9;;;;;1.6;;;;642.5;;;;;112944;;;;3662.6;;
PAY;01.01.1977 00:00;8.9;28.3;-11.9;;;-16.4;83;9.9;958.9;;;;;1.7;;;;1130.9;;;;;85494;;;;3363.8;;
PAY;01.01.1978 00:00;8;30.4;-9.3;;;-11;80;9;958.8;;;;;1.9;;;7.6;872.6;;;;;76254;29;;;3891.4;;
PAY;01.01.1979 00:00;8.5;31.9;-14.7;;;-19;81.4;9.6;958.7;;;;;1.9;;;7.6;925.1;;;;;90882;34;;;3803.1;;
PAY;01.01.1980 00:00;7.8;30.3;-13;;;-16;81.1;9.2;959.6;;;;;1.9;;;7.6;982.8;;;;;88830;34;;;3859.2;;
PAY;01.01.1981 00:00;8.6;31.1;-15.8;9.2;38.2;-21.3;79.8;9.5;959.9;;;;;1.9;23.9;86;7.2;884.7;129;;;;91103;37;660.1;48.8;3556;1796;502.3
PAY;01.01.1982 00:00;9.3;30.9;-11;9.4;36.7;-14.7;78.5;9.7;960.9;;;;;2;24;86.4;7.2;944.6;132;;;;93648;38;711.7;73;3435.8;1659.8;499
PAY;01.01.1983 00:00;9;34.2;-10.3;9.2;37.7;-12.3;81.2;10;961;;;;;2.2;24.7;88.9;8.3;894;133;;;;93683;38;697.1;146.7;3691.7;1819.7;503.1
PAY;01.01.1984 00:00;8.4;31.5;-9.7;8.4;33.6;-13.5;79;9.1;959.3;;;;;2.3;23.2;83.5;8.6;898;133;;;;93129;37;675.6;51;3772.6;1836.6;451.3
PAY;01.01.1985 00:00;8.1;32.4;-22;8.2;36.6;-24;76.9;9;959.5;;;;;2.1;24.1;86.8;7.9;878.4;140;;;;105032;42;716.8;68.2;3826.2;2050.2;390.1
PAY;01.01.1986 00:00;8.6;33;-14.5;8.6;36.3;-19.8;78.7;9.4;959.8;;;;;2.2;27.3;98.3;8.3;876.8;131;;;;91635;37;697.6;105.3;3663;1911;442.8
PAY;01.01.1987 00:00;8.7;31;-19.2;8.4;35.8;-22;78.6;9.6;959.7;;;;;2.1;29;104.4;7.9;1087.1;123;;;;83477;34;674.3;94.5;3686.1;1846.1;682.6
PAY;01.01.1988 00:00;9.7;32.3;-7.2;9.8;35.2;-11.6;78.9;10;959.8;;;;;2.3;25;90;8.6;965;130;;;;97659;39;715.4;74;3243.4;1507.4;536.6
PAY;01.01.1989 00:00;9.6;32.8;-7.2;9.7;38.8;-11.4;77;9.5;961.6;;;;;2;28.7;103.3;7.6;628.9;135;;;;107803;43;749.8;81.1;3333.1;1573.1;101.2
PAY;01.01.1990 00:00;9.8;32.1;-9.1;9.6;36.5;-12.5;76;9.6;961.5;;;;;2.2;28.6;103;7.9;927.5;139;;;;112489;45;757.1;95.8;3140.9;1476.9;390.4
PAY;01.01.1991 00:00;9;32.3;-13.8;9;37.2;-18.3;77;9.4;960.9;1019.2;;;;2.1;23.9;86;7.6;775.8;136;;;;107786;43;735.7;126.9;3704.2;1800.2;244.2
PAY;01.01.1992 00:00;9.5;32.4;-13;9.6;39.3;-16.2;78.9;9.9;960.9;1019.1;;;;2.1;26;93.6;7.9;921.9;129;;;;95002;38;720;136.1;3429.3;1677.3;475.2
PAY;01.01.1993 00:00;9.3;32;-10.6;9.2;36.9;-16.2;77.8;9.6;960.5;1018.7;;;;2.1;24.4;87.8;7.9;925;129;;;;92733;37;708.3;90.5;3385.4;1641.4;472.6
PAY;01.01.1994 00:00;10.5;33.3;-7.6;10.6;42.4;-11.8;79.6;10.7;960;1017.9;;;;2;21.8;78.5;7.6;996.7;126;;;;92981;37;694.9;162;3095.6;1327.6;595.7
PAY;01.01.1995 00:00;9.4;34.8;-14.7;9.5;39.4;-21.3;78.4;9.8;960.2;1018.4;;;;2.2;33.8;121.7;8.3;1028.8;135;;;;105692;43;703.6;125.2;3408.2;1600.2;562.8
