station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PFA;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1170.9;;;;;;;;;;;
PFA;01.01.1902 00:00;;;;;;;;;;;;;;;;;;1288;;;;;;;;;;;
PFA;01.01.1903 00:00;;;;;;;;;;;;;;;;;;1122.9;;;;;;;;;;;
PFA;01.01.1904 00:00;;;;;;;;;;;;;;;;;;995.8;;;;;;;;;;;
PFA;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1294.5;;;;;;;;;;;
PFA;01.01.1906 00:00;;;;;;;;;;;;;;;;;;929.9;;;;;;;;;;;
PFA;01.01.1907 00:00;;;;;;;;;;;;;;;;;;1037.2;;;;;;;;;;;
PFA;01.01.1908 00:00;;;;;;;;;;;;;;;;;;1070.7;;;;;;;;;;;
PFA;01.01.1909 00:00;;;;;;;;;;;;;;;;;;1195.4;;;;;;;;;;;
PFA;01.01.1910 00:00;;;;;;;;;;;;;;;;;;1734.6;;;;;;;;;;;
PFA;01.01.1911 00:00;;;;;;;;;;;;;;;;;;825;;;;;;;;;;;
PFA;01.01.1912 00:00;;;;;;;;;;;;;;;;;;1386.6;;;;;;;;;;;
PFA;01.01.1913 00:00;;;;;;;;;;;;;;;;;;1214.7;;;;;;;;;;;
PFA;01.01.1914 00:00;;;;;;;;;;;;;;;;;;1289.2;;;;;;;;;;;
PFA;01.01.1915 00:00;;;;;;;;;;;;;;;;;;1239.9;;;;;;;;;;;
PFA;01.01.1916 00:00;;;;;;;;;;;;;;;;;;1351.5;;;;;;;;;;;
PFA;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1221.7;;;;;;;;;;;
PFA;01.01.1918 00:00;;;;;;;;;;;;;;;;;;1131.8;;;;;;;;;;;
PFA;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1263.3;;;;;;;;;;;
PFA;01.01.1920 00:00;;;;;;;;;;;;;;;;;;950;;;;;;;;;;;
PFA;01.01.1921 00:00;;;;;;;;;;;;;;;;;;905.6;;;;;;;;;;;
PFA;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1524.2;;;;;;;;;;;
PFA;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1156.8;;;;;;;;;;;
PFA;01.01.1924 00:00;;;;;;;;;;;;;;;;;;1181.3;;;;;;;;;;;
PFA;01.01.1925 00:00;;;;;;;;;;;;;;;;;;1109.8;;;;;;;;;;;
