station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PIL;01.01.1981 00:00;0.6;19.8;-17.9;;;;78.4;5.5;;;;;;4.1;36.9;132.8;15.1;2666.4;125;;;;79103;31;;0;6997.6;4165.6;
PIL;01.01.1982 00:00;1.8;18.6;-16.8;;;;78.5;5.8;788.5;;;;;5.2;36.1;130;19.1;2183.1;135;;;;90613;35;545.7;0;6478.7;3726.7;
PIL;01.01.1983 00:00;2.7;27.3;-14.1;;;;70.9;5.6;789.1;;;;;4.7;41.3;148.7;17.3;1670.2;137;;;;99625;39;640.2;8.4;6114.2;3466.2;
PIL;01.01.1984 00:00;0.8;23.6;-17;;;;74;5;786.5;;;;;5.9;41.7;150.1;21.6;1694;132;;;;97117;38;614;1.2;6965.7;4109.7;
PIL;01.01.1985 00:00;1.2;21.3;-25.1;;;;69.7;5.1;787;;;;;6.6;26.4;95;23.4;1751.7;137;;;;107852;42;639.5;0;6682.3;3946.3;
PIL;01.01.1986 00:00;1.3;20.2;-25.9;;;;72.8;5.4;787.4;;;;;4.8;35.5;127.8;17.6;2132.9;134;;;;107225;42;590.3;0;6697.9;3905.9;
PIL;01.01.1987 00:00;1.5;19.6;-28.3;;;;74.3;5.5;787.4;;;;;6.7;39.7;142.9;24.1;1894.9;129;;;;92503;36;594.3;0;6598.8;3878.8;
PIL;01.01.1988 00:00;1.7;18.3;-17.8;;;;76.1;5.7;787.8;;;;;5.8;36.7;132.1;20.9;2184.7;127;;;;88873;34;559.9;0;6554.8;3794.8;
PIL;01.01.1989 00:00;2.8;19.4;-11.6;;;;68.8;5.4;789.7;;;;;5.4;32.8;118.1;19.4;1619.9;137;;;;114732;44;662;0;6157.9;3357.9;
PIL;01.01.1990 00:00;2.1;19.6;-15.5;;;;73.3;5.6;789.3;;;;;5.9;38;136.8;21.2;1903.7;134;;;;105120;41;619.1;0;6397.4;3629.4;
PIL;01.01.1991 00:00;1.5;20;-20.4;;;;73.5;5.5;788.7;;;;;4.8;31.2;112.3;17.6;1946.7;137;;;;106672;41;595.2;0;6637.9;3853.9;
PIL;01.01.1992 00:00;2.5;20.5;-18;;;;73.2;5.8;789.2;;;;;5.8;37.9;136.4;20.9;2052.1;131;;;;96695;37;653.4;0;6245.9;3549.9;
PIL;01.01.1993 00:00;1.7;19.9;-20.3;;;;75.1;5.6;788.6;;;;;5.2;33.6;121;18.4;1973.9;130;;;;99094;38;589.8;0;6507.9;3763.9;
PIL;01.01.1994 00:00;2.6;20.9;-15.1;;;;76.6;6.1;788.8;;;;;4.9;39;140.4;17.6;1728.3;128;;;;91011;35;570.8;0;6085.9;3493.9;
PIL;01.01.1995 00:00;1.4;21.2;-18.9;;;;77.1;5.7;788;;;;;4.2;32.7;117.7;15.8;2960.2;126;;;;92656;36;546.6;0;6670.3;3902.3;
PIL;01.01.1996 00:00;1.1;19.3;-17;;;;73.3;5.2;786.3;;1478.1;;;6;43.9;158;21.6;2147.4;136;;;;101190;39;570.4;0;6871.5;3999.5;
PIL;01.01.1997 00:00;2.7;17.9;-13;;;;72.2;5.7;789.3;;;;;5.5;39.5;142.2;20.9;1931.5;138;;;;111393;43;642.9;0;6200.4;3408.4;
PIL;01.01.1998 00:00;1.8;21.1;-16.7;;;;73.8;5.5;788.3;;;;;5.9;34.8;125.3;21.6;1879.3;137;;;;97717;38;628.4;0;6524.6;3772.6;
PIL;01.01.1999 00:00;1.8;19.7;-19.4;;;;76.8;5.9;787.4;;;;;5.7;39.7;142.9;20.5;2921.8;131;;;;90574;35;571.3;0;6508.2;3716.2;
PIL;01.01.2000 00:00;2.4;21.1;-15.5;;;;74.3;5.8;788.2;;;;;5.4;33.9;122;19.4;1663.9;135;;;;96515;37;635.5;0;6236.2;3532.2;
PIL;01.01.2001 00:00;1.8;22;-22;;;;76.6;5.8;787.6;;;;;5.5;31.8;114.5;20.5;2685;132;;;;94390;37;604.8;0;6455.3;3759.3;
PIL;01.01.2002 00:00;2.5;21.4;-14.1;;;;75.6;5.8;787.9;;1491.6;;;7;32.1;115.6;25.6;2338.9;134;;;;96934;38;620.1;0;6290.9;3506.9;
PIL;01.01.2003 00:00;3;22.3;-19;;;;68.7;5.8;789.1;;1503.3;;;5.8;36.4;131;20.2;1623.9;153;;;;126107;49;748.7;0.4;5920.7;3424.7;
PIL;01.01.2004 00:00;1.7;17.6;-16.2;;;;75.2;5.6;787.9;;1493.3;;;4.7;32;115.2;16.9;2509.8;138;;;;98333;38;600.7;0;6550.3;3806.3;
PIL;01.01.2005 00:00;1.1;20.7;-21.5;;;;76.6;5.6;788.4;;1499.9;;;6.9;30.9;111.2;24.8;1959.2;138;;;;104108;40;612;0;6680;3992;
PIL;01.01.2006 00:00;2.7;19.5;-19.1;;;;71.2;5.8;788.8;;1500.9;;1018.9;6.5;34.7;124.9;23.4;1958.9;138;;;;106527;41;691.5;0;6050.6;3458.6;
PIL;01.01.2007 00:00;2.5;20.5;-17.3;;;;74.8;5.8;788.8;;1500.4;;1018.8;6.2;42.3;152.3;22.3;2552.3;140;;;;109193;42;640.4;0;6281.1;3497.1;
PIL;01.01.2008 00:00;2.1;18.7;-15.7;;;;76.9;5.9;787.4;;;;;6;43.5;156.6;21.6;2020.9;135;;;;93240;36;576.5;0;6425.9;3665.9;
PIL;01.01.2009 00:00;2.1;22.3;-19.9;;;;74.9;5.8;787;;1477.8;;1016;4.1;39.4;141.8;14.8;1614.7;140;;;;90525;36;612;0;6337.5;3657.5;
PIL;01.01.2010 00:00;0.8;21.1;-19.5;;;;76.9;5.6;784.9;;;;;4.3;;;15.5;1699.5;137;;;;81907;33;;0;6840.6;4128.6;
PIL;01.01.2011 00:00;3.4;22.8;-16.3;;;;70.2;5.8;790;;1505.7;;1019.7;3.9;;;14;1464.4;151;;;;117710;48;;1.1;5913.8;3177.8;
PIL;01.01.2012 00:00;2.3;24;-24.3;;;;74;5.8;788.3;;1491.1;;1017.6;4.5;46.6;167.8;16.2;2027.2;146;;;;98375;40;633.2;2.3;6290.1;3610.1;
PIL;01.01.2013 00:00;1.8;21.8;-17.8;;;;75.4;5.8;787.1;;1479.8;;1016.2;4.4;37.7;135.7;15.8;1527.6;140;;;;86253;35;596.1;0.2;6483.3;3771.3;
PIL;01.01.2014 00:00;2.9;21.4;-15.3;;;;76.1;6;787.6;;;;;4.5;37.1;133.6;16.2;1843.5;133;;;;85192;34;587.7;0;6138.5;3322.5;
PIL;01.01.2015 00:00;3.5;23.4;-15;;;;71.9;6;790.7;;;;1020.5;4.8;41.8;150.5;17.3;1671.3;147;;;;110640;45;;;5863;3263;
PIL;01.01.2016 00:00;2.6;21.9;-17;;;;76.2;6;788.9;;1497;;1018.4;4.7;43.8;157.7;16.9;2007.6;137;;;;90778;37;595.7;0;6209.7;3513.7;
PIL;01.01.2017 00:00;2.6;21.7;-17.6;;;;74.3;5.9;789.7;;1504.8;;1019.4;4.7;43.5;156.6;16.9;2017.5;143;;;;102607;41;629.1;0;6096.3;3520.3;
PIL;01.01.2018 00:00;3.4;20.5;-23.8;;;;74.7;6.3;788.1;;1486.6;;1017.4;4.6;54.2;195.1;16.6;1417.1;149;;;;110266;43;669.4;0;5845.1;3173.1;
PIL;01.01.2019 00:00;3.1;24.7;-15.9;;;;72.3;5.9;788.4;;1489.6;;1017.7;5;44.9;161.6;18;1951.4;148;;;;108071;42;692.3;10.3;5944.1;3384.1;
PIL;01.01.2020 00:00;3.5;20.3;-13.2;;;;73.7;6.1;789.6;;1501.1;;1019.2;4.6;40.8;146.9;16.6;1651.9;148;;;;114437;45;655.8;0;5865.3;3193.3;
PIL;01.01.2021 00:00;2.2;20.2;-15.1;;;;74.3;5.7;788.7;;1494.4;;1018;4.7;39;140.4;16.9;2047.1;143;;;;100137;39;612.2;0;6380.6;3636.6;
PIL;01.01.2022 00:00;3.9;21.9;-14.1;;;;70.6;6.1;790.6;;1511.3;;1020.5;4.6;42.5;153;16.6;1410.2;153;;;;118101;46;723.9;0.4;5580.1;3044.1;
PIL;01.01.2023 00:00;3.4;23.7;-15.6;;;;74.1;6.2;789;;1495.6;;1018.5;5.4;39.8;143.3;19.4;1921.4;143;;;;99934;39;675.8;1.7;5777.2;3257.2;
PIL;01.01.2024 00:00;3.9;22.5;-14.3;;;;73.9;6.3;789.3;;1496.8;;1018.8;5.4;35.3;127.1;19.4;2132.7;135;;;;92933;36;657.8;0.8;5650.1;3090.1;
