station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PRE;01.01.1995 00:00;;;;;;;;;;;;;;3.3;30.2;108.7;;;;;;;;;;;;;
PRE;01.01.1996 00:00;;;;;;;;;;;;;;3.4;23.3;83.9;12.2;;;;;;;;;;;;
PRE;01.01.1997 00:00;;;;;;;;;;;;;;3.1;26.3;94.7;;;;;;;;;;;;;
PRE;01.01.1998 00:00;;;;;;;;;;;;;;3.4;29.2;105.1;12.2;;;;;;;;;;;;
PRE;01.01.1999 00:00;;;;;;;;;;;;;;3.4;35;126;12.2;;;;;;;;;;;;
PRE;01.01.2000 00:00;;;;;;;;;;;;;;3;29.8;107.3;10.8;;;;;;;;;;;;
PRE;01.01.2001 00:00;;;;;;;;;;;;;;3.4;26.2;94.3;12.2;;;;;;;;;;;;
PRE;01.01.2002 00:00;;;;;;;;;;;;;;3.1;26.7;96.1;11.2;;;;;;;;;;;;
PRE;01.01.2003 00:00;;;;;;;;;;;;;;3.1;32.8;118.1;11.2;;;;;;;;;;;;
PRE;01.01.2004 00:00;;;;;;;;;;;;;;3.4;26.7;96.1;12.2;;;;;;;;;;;;
PRE;01.01.2005 00:00;;;;;;;;;;;;;;3.2;33.8;121.7;11.5;;;;;;;;;;;;
PRE;01.01.2006 00:00;;;;;;;;;;;;;;3.1;25.1;90.4;11.2;;;;;;;;;;;;
PRE;01.01.2007 00:00;;;;;;;;;;;;;;3.4;26.1;94;12.2;;;;;;;;;;;;
PRE;01.01.2008 00:00;;;;;;;;;;;;;;3.2;24.3;87.5;11.5;;;;;;;;;;;;
PRE;01.01.2009 00:00;;;;;;;;;;;;;;3.2;28.5;102.6;11.5;;;;;;;;;;;;
PRE;01.01.2010 00:00;;;;;;;;;;;;;;3.3;25.8;92.9;11.9;;;;;;;;;;;;
PRE;01.01.2012 00:00;;;;;;;;;;;;;;3.5;25.9;93.2;12.6;;;;;;;;;;;;
PRE;01.01.2013 00:00;;;;;;;;;;;;;;3.3;21.9;78.8;11.9;;;;;;;;;;;;
PRE;01.01.2014 00:00;;;;;;;;;;;;;;3;30.4;109.4;10.8;;;;;;;;;;;;
PRE;01.01.2015 00:00;;;;;;;;;;;;;;3.3;25.4;91.4;11.9;;;;;;;;;;;;
PRE;01.01.2016 00:00;;;;;;;;;;;;;;3.2;26.7;96.1;11.5;;;;;;;;;;;;
PRE;01.01.2017 00:00;;;;;;;;;;;;;;3.3;32.6;117.4;11.9;;;;;;;;;;;;
PRE;01.01.2018 00:00;;;;;;;;;;;;;;3.5;26.3;94.7;12.6;;;;;;;;;;;;
PRE;01.01.2019 00:00;;;;;;;;;;;;;;;27.1;97.6;;;;;;;;;;;;;
PRE;01.01.2020 00:00;;;;;;;;;;;;;;3.4;27.5;99;12.2;;;;;;;;;;;;
PRE;01.01.2021 00:00;;;;;;;;;;;;;;3.5;24.5;88.2;12.6;;;;;;;;;;;;
PRE;01.01.2022 00:00;;;;;;;;;;;;;;3.3;24.5;88.2;11.9;;;;;;;;;;;;
PRE;01.01.2023 00:00;;;;;;;;;;;;;;3.4;37.5;135;12.2;;;;;;;;;;;;
PRE;01.01.2024 00:00;;;;;;;;;;;;;;3.1;27.3;98.3;11.2;;;;;;;;;;;;
