station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PSI;01.01.1993 00:00;9.5;30.8;-12;;;;;;;;;;;;;;;996.3;;;;;;;;69.1;3268.5;1532.5;
PSI;01.01.1994 00:00;10.8;34.4;-6.2;;;;;;977.9;;;;;;;;;1123.8;;;;;;;;175.9;2997.5;1253.5;
PSI;01.01.1995 00:00;9.6;33.4;-12.8;;;;;;977.8;;;;;;;;;1221.5;;;;;;;;108.7;3278.2;1534.2;
PSI;01.01.1996 00:00;8.6;30.9;-12.9;;;;;;976.5;;;;;;;;;852.4;;;;;;;;57.6;3731.9;1803.9;
PSI;01.01.1997 00:00;;31.1;-8.9;;;;;;978.6;;;;;;;;;998;;;;;;;;;;;
PSI;01.01.1998 00:00;9.6;35.3;-9.3;;;;;;978.4;;;;;;;;;1109.4;;;;;;;;121.9;3302.8;1590.8;
PSI;01.01.1999 00:00;9.6;32.6;-13.8;;;;;;977.2;;;;;;;;;1377.2;;;;;;;;66.9;3211.7;1587.7;
PSI;01.01.2000 00:00;10.4;32.1;-12;;;;;;977.5;;;;;;;;;1066;;;;;;;;72.4;2944.1;1296.1;
PSI;01.01.2001 00:00;9.9;32.3;-13.1;;;;;;977.5;;;;;;;;;1434.1;;;;;;;;110.8;3162.7;1482.7;
PSI;01.01.2002 00:00;10.4;34.6;-9.3;;;;;;977.3;;;;;;;;;1155.5;;;;;;;;99.2;3062.9;1302.9;
PSI;01.01.2003 00:00;10.4;37.8;-11.1;;;;;;978.7;;;;;;;;;678.3;;;;;;;;357.3;3286.5;1670.5;
PSI;01.01.2004 00:00;9.8;31.7;-8.9;;;;;;978.5;;;;;;;;;965.5;;;;;;;;95.6;3209.8;1537.8;
PSI;01.01.2005 00:00;9.5;34.3;-13.6;;;;;;979.4;;;;;;;;;888.7;;;;;;;;120.5;3383.4;1639.4;
PSI;01.01.2006 00:00;10;35.7;-9.3;;;;;;979.1;1019.3;;;1019;;;;;1136;;;;;;;;193.2;3146.8;1578.8;
PSI;01.01.2007 00:00;10.3;33.8;-7.8;;;;;;978.9;1019.2;;;1018.9;;;;;1153.5;;;;;;;;79.8;2982.4;1358.4;
PSI;01.01.2008 00:00;9.9;32.3;-6.9;;;;;;977.9;1018.2;;;1017.8;;;;;1065.4;;;;;;;;114.1;3236.2;1524.2;
PSI;01.01.2009 00:00;10;33.5;-13.6;;;;;;976.8;1017;;;1016.7;;;;;985.7;;;;;;;;117.3;3100.8;1548.8;
PSI;01.01.2010 00:00;9.2;34.2;-11.2;;;;;;975.2;1015.5;;;1015;;;;;994.6;;;;;;;;126.7;3495.1;1751.1;
PSI;01.01.2011 00:00;10.7;35.6;-7.4;;;;;;979.5;1019.7;;;1019.4;;;;;777.3;;;;;;;;115.8;2831.6;1319.6;
PSI;01.01.2012 00:00;10.1;33.7;-14.9;;;;81.3;10.7;978.2;1018.3;;;1017.9;;;;;1307.1;135;;;;100035;41;;118.9;3163.2;1499.2;970.3
PSI;01.01.2013 00:00;9.6;36.3;-10.7;;;;80.8;10.3;977.1;1017.3;;;1016.9;;;;;1086.1;127;;;;87229;36;;171;3344.2;1672.2;
PSI;01.01.2014 00:00;11;34.7;-11.8;;;;82.2;11;976.5;1016.4;;;1016.3;;;;;892.6;133;;;;93036;38;;80.6;2717.8;1165.8;567.7
PSI;01.01.2015 00:00;10.9;37.1;-7;;;;78.7;10.5;980.3;1020.4;;;1020.2;;;;;728.9;147;;;;109358;45;;271;2940;1348;295.8
PSI;01.01.2016 00:00;10.4;33.7;-8.3;;;;82.7;10.9;978.6;1018.6;;;1018.4;;;;;1122;140;;;;95608;39;;171;3166.7;1462.7;807.9
PSI;01.01.2017 00:00;10.5;34.2;-12.3;;;;80.2;10.6;979.5;1019.6;;;1019.4;;;;;896.4;150;;;;104253;43;;233.5;3155.7;1459.7;512
PSI;01.01.2018 00:00;11.5;35.9;-12.2;;;;77.2;10.8;977.1;1017;;;1016.9;;;;;873.4;151;;;;107818;44;;274.7;2839.3;1303.3;420.5
PSI;01.01.2019 00:00;10.7;37.3;-5.7;;;;79.9;10.6;977.6;1017.6;;;1017.4;;;;;1054.1;150;;;;108596;45;;207.9;3020.3;1364.3;656.7
PSI;01.01.2020 00:00;11;36.4;-5.2;;;;78.5;10.5;978.7;1018.7;;;1018.5;;;;;973.3;152;;;;113138;47;;159.9;2884.5;1276.5;527.5
PSI;01.01.2021 00:00;9.7;32.4;-12.2;;;;80.8;10.3;978.7;1018.9;;;1018.5;;;;;1156.6;146;;;;99760;41;;93.3;3376.2;1568.2;830.2
PSI;01.01.2022 00:00;11.6;37.3;-8.6;;;;77.2;10.8;979.7;1019.6;;;1019.5;;;;;895.1;158;;;;124264;51;;273.2;2780.2;1220.2;397.3
PSI;01.01.2023 00:00;11.6;36.4;-8.5;;;;79.2;11.1;977.8;1017.7;;;1017.6;;;;;1037;141;;;;102681;42;;239;2760.9;1208.9;646.4
PSI;01.01.2024 00:00;11.2;34.9;-8.2;;;;82.4;11.5;977.7;1017.7;;;1017.5;;;;;1098.9;128;;;;84003;35;;194.8;2784.2;1200.2;823.1
