station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
QUI;01.01.1993 00:00;;;;;;;;;969.6;;;;;;;;;;;;;;;;;;;;
QUI;01.01.1994 00:00;;;;;;;;;968.9;;;;;1.9;40;144;6.8;;;;;;;;;;;;
QUI;01.01.1995 00:00;;;;;;;;;968.6;;;;;1.9;28.2;101.5;6.8;;;;;;;;;;;;
QUI;01.01.1996 00:00;;;;;;;;;;;;;;2;23.8;85.7;7.2;;;;;;;;;;;;
QUI;01.01.1997 00:00;;;;;;;;;969.5;;;;;1.9;35.8;128.9;6.8;;;;;;;;;;;;
QUI;01.01.1998 00:00;;;;;;;;;969.3;;;;;1.9;25.5;91.8;6.8;;;;;;;;;;;;
QUI;01.01.1999 00:00;;;;;;;;;968.1;;;;;2;30.1;108.4;7.2;;;;;;;;;;;;
QUI;01.01.2000 00:00;;;;;;;;;968.6;;;;;2;25.7;92.5;7.2;;;;;;;;;;;;
QUI;01.01.2001 00:00;;;;;;;;;968.4;;;;;2;26.2;94.3;7.2;;;;;;;;;;;;
QUI;01.01.2002 00:00;;;;;;;;;968.1;;;;;1.8;27;97.2;6.5;;;;;;;;;;;;
QUI;01.01.2003 00:00;;;;;;;;;969.6;;;;;2.1;29.5;106.2;7.6;;;;;;;;;;;;
QUI;01.01.2004 00:00;;;;;;;;;968.8;;;;;1.9;30.6;110.2;6.8;;;;;;;;;;;;
QUI;01.01.2005 00:00;;;;;;;;;969.7;;;;;1.8;30.7;110.5;6.5;;;;;;;;;;;;
QUI;01.01.2006 00:00;;;;;;;;;969.5;;;;1019.6;;23.2;83.5;;;;;;;;;;;;;
QUI;01.01.2007 00:00;;;;;;;;;969.3;;;;1019.4;1.9;27.6;99.4;6.8;;;;;;;;;;;;
QUI;01.01.2008 00:00;;;;;;;;;968.2;;;;1018.3;2;32.7;117.7;7.2;;;;;;;;;;;;
QUI;01.01.2009 00:00;;;;;;;;;967.2;;;;1017.3;2;41.8;150.5;7.2;;;;;;;;;;;;
QUI;01.01.2010 00:00;;;;;;;;;965.6;;;;1015.5;2.1;32.1;115.6;7.6;;;;;;;;;;;;
QUI;01.01.2012 00:00;;;;;;;;;967.8;;;;1017.4;2;38.8;139.7;7.2;;;;;;;;;;;;
QUI;01.01.2013 00:00;;;;;;;;;966.7;;;;1016.3;1.9;25.4;91.4;6.8;;;;;;;;;;;;
QUI;01.01.2014 00:00;;;;;;;;;966.2;;;;1015.8;1.9;32.5;117;6.8;;;;;;;;;;;;
QUI;01.01.2015 00:00;;;;;;;;;969.9;;;;1019.7;1.7;29;104.4;6.1;;;;;;;;;;;;
QUI;01.01.2016 00:00;;;;;;;;;968.3;;;;1017.9;1.9;22.7;81.7;6.8;;;;;;;;;;;;
QUI;01.01.2017 00:00;;;;;;;;;969.2;;;;1019;1.9;29.9;107.6;6.8;;;;;;;;;;;;
QUI;01.01.2018 00:00;;;;;;;;;966.7;;;;1016.4;2.2;37.1;133.6;7.9;;;;;;;;;;;;
QUI;01.01.2019 00:00;;;;;;;;;967.3;;;;1017;2;26.8;96.5;7.2;;;;;;;;;;;;
QUI;01.01.2020 00:00;;;;;;;;;968.5;;;;1018.2;1.8;31.5;113.4;6.5;;;;;;;;;;;;
QUI;01.01.2021 00:00;;;;;;;;;968.3;;;;1018;1.9;30.5;109.8;6.8;;;;;;;;;;;;
QUI;01.01.2022 00:00;;;;;;;;;969.4;;;;1019.1;1.8;29.1;104.8;6.5;;;;;;;;;;;;
QUI;01.01.2023 00:00;;;;;;;;;967.7;;;;1017.4;1.9;28.6;103;6.8;;;;;;;;;;;;
QUI;01.01.2024 00:00;;;;;;;;;967.8;;;;1017.5;2;24.6;88.6;7.2;;;;;;;;;;;;
