station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
RAG;01.01.1871 00:00;7.7;;;;;;;;956.2;;;;;;;;;1200.5;;;;;;;;;4108.2;;
RAG;01.01.1872 00:00;10.5;;;;;;;;954.6;;;;;;;;;1750.4;;;;;;;;;2923.8;;
RAG;01.01.1873 00:00;9.7;;;;;;;;957;;;;;;;;;1472;;;;;;;;;3338.9;;
RAG;01.01.1874 00:00;9.2;;;;;;;;957.5;;;;;;;;;1638.7;;;;;;;;;3630.7;;
RAG;01.01.1875 00:00;8.7;;;;;;;;957;;;;;;;;;1699.6;;;;;;;;;3730.4;;
RAG;01.01.1876 00:00;9.6;;;;;;;;955.1;;;;;;;;;1703.3;;;;;;;;;3394;;
RAG;01.01.1877 00:00;9.2;;;;;;;;955.6;;;;;;;;;1604.3;;;;;;;;;3596.2;;
RAG;01.01.1878 00:00;8.2;;;;;;;;955.4;;;;;;;;;1319.6;;;;;;;;;3712.6;;
RAG;01.01.1879 00:00;7.8;;;;;;;;955.5;;;;;;;;;1002.3;;;;;;;;;4052;;
RAG;01.01.1880 00:00;9;;;;;;;;957.3;;;;;;;;;1512;;;;;;;;;3525.4;;
RAG;01.01.1881 00:00;9.2;;;;;;;;954.2;;;;;;;;;1090.5;;;;;;;;;3659.3;;
RAG;01.01.1882 00:00;9.2;;;;;;;;955.7;;;;;;;;;1607.8;;;;;;;;;3391.6;;
RAG;01.01.1883 00:00;8.8;;;;;;;;954.6;;;;;;;;;1257.5;;;;;;;;;3599.4;;
RAG;01.01.1884 00:00;9.5;;;;;;;;955.6;;;;;;;;;1016.5;;;;;;;;;3451.4;;
RAG;01.01.1885 00:00;8.8;;;;;;;;951.7;;;;;;;;;1407.1;;;;;;;;;3693.1;;
RAG;01.01.1886 00:00;9.2;;;;;;;;944.4;;;;;;;;;1367.9;;;;;;;;;3443.8;;
RAG;01.01.1887 00:00;7.5;;;;;;;;945.5;;;;;;;;;1067;;;;;;;;;4217.6;;
RAG;01.01.1888 00:00;8.1;;;;;;;;945.5;;;;;;;;;1873.8;;;;;;;;;3808.2;;
RAG;01.01.1889 00:00;7.9;;;;;;;;946.1;;;;;;;;;1595.4;;;;;;;;;3910.3;;
RAG;01.01.1890 00:00;7.9;;;;;;;;946.5;;;;;;;;;2053.2;;;;;;;;;3836.1;;
RAG;01.01.1939 00:00;8.7;29.7;-17.1;;;;76.5;9.3;955.4;;;;;1.4;;;5;1342.5;;;;;;;;;3708.1;;
RAG;01.01.1940 00:00;7.4;27.5;-22;;;;75;8.6;956;;;;;1.7;;;6.1;1365.9;;;;;;;;;4056.8;;
RAG;01.01.1941 00:00;8.1;30.8;-17;;;;72.8;8.6;955.8;;;;;1.7;;;6.1;1003.8;;;;;;;;;3918.1;;
RAG;01.01.1942 00:00;8.7;29.8;-20.2;;;;73.2;9.1;957;;;;;1.7;;;6.1;909.4;;;;;;;;;3623.4;;
RAG;01.01.1943 00:00;10;34.2;-12.5;;;;72.1;9.4;958.8;;;;;1.7;;;6.1;973.8;;;;;;;;;3189.1;;
RAG;01.01.1944 00:00;8.4;33.2;-17.2;;;;73.5;8.9;957;;;;;1.4;;;5;1193.8;;;;;;;;;3855.7;;
RAG;01.01.1945 00:00;9.2;34.5;-17.6;;;;72.9;9.3;958.4;;;;;1.1;;;4;1310.6;;;;;;;;;3564.3;;
RAG;01.01.1946 00:00;9.3;33;-15;;;;74.7;9.4;956.9;;;;;1.1;;;4;1037;;;;;;;;;3304.8;;
RAG;01.01.1947 00:00;10.3;34.8;-16.8;;;;71.2;9.7;956.3;;;;;1.7;;;6.1;1047.6;;;;;;;;;3268.2;;
RAG;01.01.1948 00:00;9.8;29.9;-19.6;;;;72.4;9.3;958.6;;;;;2;;;7.2;1089.2;;;;;;;;;3247.5;;
RAG;01.01.1949 00:00;10;33.5;-15.6;;;;70.6;9.3;959.2;;;;;1.7;;;6.1;893.8;;;;;;;;;3171.9;;
RAG;01.01.1950 00:00;9.6;34.7;-12.8;;;;73.3;9.5;956.4;;;;;2;;;7.2;1083.7;;;;;;;;;3435.9;;
RAG;01.01.1951 00:00;9.8;31.2;-6.4;;;;73.9;9.5;955.4;;;;;2;;;7.2;1060.8;;;;;;;;;3216.6;;
RAG;01.01.1952 00:00;9;35.7;-12.9;;;;80.4;10;956;;;;;1.7;;;6.1;1333.4;;;;;;;;;3685.8;;
RAG;01.01.1953 00:00;9.2;32.3;-17.6;;;;76.8;9.7;959.3;;;;;1.4;;;5;926.5;;;;;;;;;3448.8;;
RAG;01.01.1954 00:00;8.4;30.1;-16.6;;;;75.4;9;956.4;;;;;1.4;;;5;1366;;;;;;;;;3778.6;;
RAG;01.01.1955 00:00;8.6;30.7;-14.8;;;;75;9.1;956.5;;;;;1.4;;;5;1080.7;;;;;;;;;3651.8;;
RAG;01.01.1956 00:00;7.7;31.7;-26.5;;;;72.2;8.5;958.1;;;;;1.1;;;4;1204.1;;;;;;;;;3966.1;;
RAG;01.01.1957 00:00;9.1;32.8;-17.3;;;;76.7;9.5;958;;;;;1.1;;;4;957.6;;;;;;;;;3467.1;;
RAG;01.01.1958 00:00;8.9;32.7;-11.4;;;;74.8;9.3;956.6;;;;;1.4;;;5;1251.7;;;;;;;;;3571.4;;
RAG;01.01.1959 00:00;9.9;30.5;-10.6;;;;69.1;8.9;957.6;;;;;1.4;;;5;838.8;;;;;108846;51;;;3120.2;;
RAG;01.01.1960 00:00;9.5;31.2;-16.2;;;;69.8;8.8;955;;;;;1.7;;;6.1;1084.7;;;;;92304;43;;;3174.6;;
RAG;01.01.1961 00:00;10.1;31.4;-11.1;;;;71.1;9.3;958.1;;;;;1.1;;;4;914.4;;;;;110970;52;;;3093.9;;
RAG;01.01.1962 00:00;8.4;32.8;-21.9;;;;70.5;8.5;957.4;;;;;1.4;;;5;1043;;;;;101166;46;;;3799.9;;
RAG;01.01.1963 00:00;8;34.4;-21.2;;;;71.9;8.7;956.1;;;;;1.1;;;4;1042.7;;;;;91716;43;;;3844.9;;
RAG;01.01.1964 00:00;9.1;32.3;-12.8;;;;75.4;9.3;958.3;;;;;1.4;;;5;849.9;;;;;97950;44;;;3512.8;;
RAG;01.01.1965 00:00;8.3;35.6;-13.9;;;;69.3;8.2;955.7;;;;;1.4;;;5;1122.1;;;;;86196;40;;;3805.5;;
RAG;01.01.1966 00:00;9.3;30.6;-18.8;;;;75.4;9.6;955.5;;;;;1.4;;;5;1145.3;;;;;90120;41;;;3265;;
RAG;01.01.1967 00:00;9;33.2;-18.9;;;;76.4;9.6;958.2;;;;;1.1;;;4;1021.3;;;;;103332;47;;;3506.1;;
RAG;01.01.1968 00:00;8.7;31.5;-14.9;;;;76.5;9.2;956.3;;;;;1.1;;;4;885.8;;;;;96690;44;;;3547.6;;
RAG;01.01.1969 00:00;8.5;32.6;-14.4;;;;73.7;9;955.7;;;;;1.1;;;4;859.4;;;;;99960;47;;;3773.8;;
RAG;01.01.1970 00:00;8.5;30.6;-15.9;;;;74.2;9;956.6;;;;;1.1;;;4;1275.2;;;;;91170;43;;;3754;;
RAG;01.01.1971 00:00;8.6;32.7;-17;;;;75.1;9;957.5;;;;;2.8;;;10.1;613.8;;;;;109986;52;;;3727.1;;
RAG;01.01.1972 00:00;8.9;34.6;-10.4;;;;74.4;8.7;956.6;;;;;2.7;;;9.7;713.7;;;;;93234;45;;;3638.4;;
RAG;01.01.1973 00:00;8.6;32.2;-15.9;;;;76.1;9.1;958.6;;;;;1.9;;;6.8;949.9;;;;;93936;44;;;3795.2;;
RAG;01.01.1974 00:00;9.3;30.4;-8.9;;;;76;9.2;956.5;;;;;2.4;;;8.6;1355.2;;;;;;;;;3424.5;;
RAG;01.01.1975 00:00;9.1;32.8;-13.9;;;;77.2;9.3;958.1;;;;;2.1;;;7.9;1067.3;;;;;104334;50;;;3554.1;;
RAG;01.01.1976 00:00;9.1;31;-16.8;;;;73.7;8.9;956.7;;;;;2.8;;;10.1;1104.8;;;;;105876;49;;;3503;;
RAG;01.01.1977 00:00;9.4;33.1;-11.8;;;;78.6;9.7;956.7;;;;;2.8;;;10.1;1183.3;;;;;87360;41;;;3224.2;;
RAG;01.01.1978 00:00;8.3;29;-12.9;;;;76.8;8.6;956.2;;;;;2.7;;;9.7;1155.2;;;;;92106;44;;;3767.4;;
RAG;01.01.1979 00:00;9.1;30;-17.3;;;;71.8;8.4;956;;;;;3;;;10.8;1365.8;;;;;92160;42;;;3495.7;;
RAG;01.01.1980 00:00;8.3;32;-15.7;;;;75.6;8.9;958.2;;;;;2.5;;;9;845.2;;;;;82656;37;;;3766.4;;
RAG;01.01.1981 00:00;8.8;30;-15;;;;72.6;9;958.5;;;;;4;;;14.8;1126.9;;;;;88644;39;;100.8;3565.8;1853.8;
RAG;01.01.1982 00:00;9.7;31.6;-10.3;;;;70;9;959.8;;;;;3.9;;;14;839.5;;;;;98220;44;;126;3322.8;1618.8;
RAG;01.01.1983 00:00;9.6;35;-12.7;;;;68.2;8.6;960.6;;;;;3.9;;;14;930.9;;;;;99294;45;;189.8;3378;1706;
RAG;01.01.1984 00:00;8.9;35.1;-13.4;;;;66.2;7.7;958.5;;;;;4.1;;;14.8;1074;;;;;92724;41;;71.3;3568;1720;
RAG;01.01.1985 00:00;8.6;32.8;-21;;;;74;8.8;959;;;;;3.9;;;14;767.4;;;;;100272;44;;97.7;3678.7;1942.7;
RAG;01.01.1986 00:00;9;34.2;-15;;;;74.1;9;959.3;;;;;3.9;;;14.4;1069;;;;;102600;45;;119.2;3535.1;1815.1;
RAG;01.01.1987 00:00;8.7;30;-20;;;;72.5;8.6;959.2;;;;;3.6;;;13;991.7;;;;;90564;40;;110.7;3736.5;1912.5;
RAG;01.01.1988 00:00;9.8;32;-8.8;;;;75.8;9.6;959.1;;;;;3;;;10.4;1133.8;;;;;99216;44;;95.2;3210.6;1546.6;
RAG;01.01.1989 00:00;9.7;34;-10;;;;76.7;9.4;960.8;;;;;3.1;;;11.2;776.1;;;;;104964;48;;82.8;3231.4;1583.4;
RAG;01.01.1990 00:00;9.9;31.5;-13.8;;;;73.7;9.3;960.5;;;;;3.2;;;11.2;1037.8;;;;;111168;50;;103.4;3126.3;1494.3;
RAG;01.01.1991 00:00;9.2;32;-14;;;;73.6;9.1;960.4;;;;;3;;;10.8;1095.9;;;;;107652;48;;140.5;3610.6;1802.6;
RAG;01.01.1992 00:00;10.1;35;-14;;;;71.5;9.3;960.6;;;;;3;;;10.8;1227.6;;;;;99582;44;;190.4;3291.5;1619.5;
RAG;01.01.1993 00:00;9.5;31;-13;;;;71.7;8.8;960;;;;;3;;;10.8;1331;;;;;100296;44;;112;3312.8;1680.8;
RAG;01.01.1994 00:00;11;32.4;-11.5;;;;71.2;9.7;959.4;;;;;3.1;;;10.8;1032.9;;;;;99600;44;;209.2;2907;1267;
RAG;01.01.1995 00:00;9.7;34.7;-13;;;;75.9;9.7;959.2;;;;;2.9;;;10.4;1222.1;;;;;97980;44;;140.9;3311.3;1567.3;
RAG;01.01.1996 00:00;9.1;32;-11.2;;;;76;9.3;957.4;;;;;3.4;;;12.6;1077.3;;;;;;;;87.4;3494.3;1710.3;
RAG;01.01.1997 00:00;10.2;30.5;-9;;;;75.6;9.7;960;;;;;3;;;11.5;1053.4;;;;;;;;119.3;3107.2;1459.2;
RAG;01.01.1998 00:00;10.1;34.2;-11;;;;74.4;9.7;959.8;;;;;3.1;27.3;98.3;11.2;909.4;;;;;;;;174.4;3248.8;1536.8;
RAG;01.01.1999 00:00;10.1;32.2;-14.1;;;;76.9;10.1;958.8;;;;;3.2;29.8;107.3;11.5;1280.2;;;;;;;;142.5;3101.1;1581.1;
RAG;01.01.2000 00:00;11;33.1;-16.3;;;;75.6;10.2;959.5;;;;;3.1;26.2;94.3;11.5;1135.9;;;;;;;;178.4;2848.6;1304.6;
RAG;01.01.2001 00:00;10.3;34.1;-15;;;;77;10.1;959.3;;;;;3;26.8;96.5;12.2;1240.7;;;;;;;;166.3;3081.9;1497.9;
RAG;01.01.2002 00:00;11.1;33.2;-12;;;;75.3;10.4;958.9;;;;;2.9;26.8;96.5;12.2;1291.5;;;;;;;;156.2;2832.4;1224.4;
RAG;01.01.2003 00:00;11;36.8;-13.8;;;;73.9;10.7;960;;;;;2.9;30.9;111.2;12.6;738.6;;;;;;;;399.2;3118;1606;
RAG;01.01.2004 00:00;10;31.5;-10.5;;;;75.7;10;959.1;;;;;2.9;28.3;101.9;11.9;815.8;;;;;;;;155.3;3151.8;1607.8;
RAG;01.01.2005 00:00;9.6;35.1;-17.2;;;;73.9;9.6;960;;;;;2.8;32.9;118.4;10.1;696.1;;;;;;;;176.8;3297.3;1737.3;
RAG;01.01.2006 00:00;10.5;33;-16.4;;;;73.1;10;959.9;;;;;2.8;23.7;85.3;10.1;778;;;;;;;;251;3051.1;1595.1;
RAG;01.01.2007 00:00;10.8;34.8;-9.2;;;;75.4;10.2;959.7;;;;;3;27.8;100.1;10.8;775.2;;;;;;;;155.6;2927;1375;
RAG;01.01.2008 00:00;10.7;31.8;-8;;;;73.9;10;958.8;1017.4;;;1017.4;3.1;28.8;103.7;11.2;883.9;;;;;;;;178.3;3003.5;1395.5;
RAG;01.01.2009 00:00;10.7;32.7;-13.2;;;;72.6;10;957.8;1016.3;;;1016.4;3.5;26.7;96.1;12.6;702.7;;;;;;;;204.5;2963;1491;
RAG;01.01.2010 00:00;9.8;33.5;-10.8;;;;72.6;9.5;956.1;;;;;3.7;30.9;111.2;13.3;971.5;;;;;;;;190.3;3306.9;1650.9;
RAG;01.01.2011 00:00;11.2;35;-9;;;;72.1;10.1;960.5;1019.1;;;1019.2;3.3;24.7;88.9;11.9;1001.5;;;;;;;;187.5;2722.3;1298.3;
RAG;01.01.2012 00:00;10.3;;;;;;;9.6;959.2;;;;;;;;;1425.7;;;;;;;;;;;
RAG;01.01.2013 00:00;9.9;35.8;-12.5;9.5;;;71.8;9.4;958.1;1016.8;;;1016.6;2.9;32.3;116.3;10.4;989.2;140;318;;;97671;45;851.6;176;3283.4;1619.4;445.9
RAG;01.01.2014 00:00;11.4;34.9;-10;11.5;39.5;-16.3;71.1;9.9;957.7;1016.1;;;1016.2;3.2;36.3;130.7;11.5;1021.2;141;323;;;98040;45;908.8;102.1;2470.2;1030.2;
RAG;01.01.2015 00:00;10.9;36.2;-8.8;10.6;39;-12.3;70.4;9.7;961.3;1020.1;;;1020;2.9;28.3;101.9;10.4;1011.5;146;319;;;112815;52;909.7;280.6;3013.2;1373.2;432.8
RAG;01.01.2016 00:00;10.6;31.4;-10.7;10.4;36.5;-9.1;72.7;9.9;959.7;1018.4;;;1018.2;3;28.1;101.2;10.8;1157.7;141;321;;;98434;45;876.9;159.9;3028;1412;
RAG;01.01.2017 00:00;10.5;35.4;-16.7;10.6;39;-19.8;71.3;9.7;960.6;1019.4;;;1019.2;3;31.4;113;10.8;1208.5;145;320;;;106271;49;907.6;237;3081.6;1481.6;663.2
RAG;01.01.2018 00:00;11.9;33.2;-10.9;11.9;37.7;-13.1;67.7;9.9;958.2;1016.6;;;1016.7;3.3;38.6;139;11.9;940.8;152;324;;;113475;52;1034.6;263.2;2629;1253;294.5
RAG;01.01.2019 00:00;11.2;34.9;-7.4;11.3;41.1;-12.5;70.3;9.9;958.7;1017.2;;;1017.3;3.2;30.8;110.9;11.5;1233.4;145;321;;;105916;49;929.8;233;2866.3;1274.3;679.7
RAG;01.01.2020 00:00;11.2;33.8;-4.8;11.2;39.2;-7.2;70.7;9.9;959.9;1018.4;;;1018.5;3;32.1;115.6;10.8;1124.1;149;320;;;113749;52;914;152.9;2798.7;1230.7;557
