station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
REH;01.01.1961 00:00;;;;;;;;;;;;;;;;;;802.6;;;;;;;;;;;
REH;01.01.1962 00:00;;;;;;;;;;;;;;;;;;659.1;;;;;;;;;;;
REH;01.01.1963 00:00;;;;;;;;;;;;;;;;;;776.6;;;;;;;;;;;
REH;01.01.1964 00:00;;;;;;;;;;;;;;;;;;740.1;;;;;;;;;;;
REH;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1269.8;;;;;;;;;;;
REH;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1125.9;;;;;;;;;;;
REH;01.01.1967 00:00;;;;;;;;;;;;;;;;;;1003.3;;;;;;;;;;;
REH;01.01.1968 00:00;;;;;;;;;;;;;;;;;;1147.8;;;;;;;;;;;
REH;01.01.1969 00:00;;;;;;;;;;;;;;;;;;984.5;;;;;;;;;;;
REH;01.01.1979 00:00;8.5;31.9;-18.6;;;;77;8.9;;;;;;1.9;;;7.6;1133.8;;;;;82062;30;;;3695.3;;
REH;01.01.1980 00:00;7.9;30.5;-14.9;;;;76;8.5;;;;;;1.8;;;7.6;1073;;;;;77454;29;;;3858.9;;
REH;01.01.1981 00:00;8.6;29.9;-18.5;8.5;36.9;-20.6;76.3;9;;;;;;1.8;28.7;103.3;7.2;1176;122;;;;82953;34;;61.3;3603.6;1811.6;779.7
REH;01.01.1982 00:00;9.2;30.7;-13.8;9.3;34.7;-16.8;76.3;9.3;;;;;;1.7;26.4;95;6.8;1015;125;;;;85613;35;;86.9;3508.1;1716.1;579.3
REH;01.01.1983 00:00;9.2;36.9;-13.3;9.1;41.1;-16.4;76.6;9.3;;;;;;1.8;26.5;95.4;7.6;893.4;127;;;;91429;38;;152.4;3574.1;1774.1;470.6
REH;01.01.1984 00:00;8.3;34.3;-14.3;8.2;39.1;-18.2;77.8;8.8;;;;;;2;26.1;94;7.9;859.4;126;;;;84837;35;;51.8;3769.8;1857.8;449.2
REH;01.01.1985 00:00;8;33.6;-26.6;8.1;44.2;-25.4;74.3;8.5;;;;;;2;28.4;102.2;7.9;777.4;132;;;;96820;40;;75.2;3859.4;2091.4;291.8
REH;01.01.1986 00:00;8.4;34;-18;8.2;40.2;-21.5;77.6;9.1;;;;;;2;33.1;119.2;7.2;1129.9;124;;;;88779;37;;107;3766.5;1942.5;711.5
REH;01.01.1987 00:00;8.5;31.3;-25;8;34.7;-31;78.2;9.3;;;;;;2;28.1;101.2;7.9;1055.6;117;;;;78768;32;;94.5;3786.9;1906.9;684.5
REH;01.01.1988 00:00;9.6;32.5;-13.2;9;36.9;-13.1;78.7;9.8;965.4;;;;;2.1;27.4;98.6;8.3;1164.7;124;;;;83257;34;680.4;67.8;3258;1538;788.1
REH;01.01.1989 00:00;9.5;32.3;-8.9;9.1;38.5;-17.2;78.2;9.7;966.7;;;;;1.8;25.4;91.4;7.2;812.8;128;;;;94926;39;689.1;71.3;3366.5;1558.5;385.2
REH;01.01.1990 00:00;9.8;32.6;-9.2;9.3;41.2;-14.3;76.6;9.6;966.3;1018.8;;;;2;31.9;114.8;8.3;1070.8;130;;;;100114;41;713.1;96.6;3152;1472;601.6
REH;01.01.1991 00:00;8.8;33.1;-15.6;8.4;38;-19.7;77.7;9.4;966.1;1018.7;;;;1.9;30.1;108.4;7.6;848.2;128;;;;92547;38;682.2;120.5;3769.4;1849.4;400.3
REH;01.01.1992 00:00;9.4;33.5;-13.2;9;39.3;-19.6;78.4;9.8;965.9;1018.4;;;;2;27.5;99;8.3;1061.6;125;;;;84471;35;692.6;140.1;3436.5;1700.5;673.6
REH;01.01.1993 00:00;9.1;31.6;-12.5;9.1;38.7;-19.4;77.7;9.5;965.6;1018.1;;;;1.9;27.5;99;7.6;985.6;126;;;;85128;35;682.7;79.1;3443.8;1691.8;598.2
REH;01.01.1994 00:00;10.6;33.9;-10.4;10.4;41.4;-12.2;78.5;10.5;964.7;1016.9;;;;1.7;27.7;99.7;7.2;1095.2;120;;;;82116;34;673.2;187.3;3093.6;1341.6;723.3
REH;01.01.1995 00:00;9.4;33.4;-14.6;9.1;37.8;-19.2;77.5;9.7;964.6;1016.9;;;;1.8;33.9;122;7.6;1242.3;124;;;;90000;37;665.7;124.6;3402.2;1626.2;837.5
REH;01.01.1996 00:00;8.3;31;-14.9;8;35.7;-20.5;77.3;9;964;1016.6;;;;1.7;22.2;79.9;6.1;932.8;126;;;;88644;36;651.3;65.6;3853.1;1909.1;510.4
REH;01.01.1997 00:00;9.6;30.9;-10.6;9.1;39.4;-14.8;76.2;9.6;966.4;1018.8;;;;1.7;29.1;104.8;7.2;876.4;132;;;;97040;40;690.8;98.9;3289.2;1593.2;433.5
REH;01.01.1998 00:00;9.6;34.6;-12.8;9;40.7;-15.8;74.8;9.5;966.4;1018.8;;;;1.8;29.6;106.6;7.6;1006.1;130;;;;93375;38;705.6;136.2;3304.2;1616.2;557
REH;01.01.1999 00:00;9.3;31.9;-18.3;9;36.2;-23.6;79.8;10;965.3;1017.7;;;;1.9;36.7;132.1;7.2;1253.5;122;;;;83263;34;652.3;81.9;3349.4;1701.4;906.9
REH;01.01.2000 00:00;10.2;32.5;-14.5;10;42.3;-20.1;78.3;10.1;965.6;1017.9;;;;1.8;26.9;96.8;7.2;1045.9;130;;;;96812;40;691.5;89.2;3126.7;1390.7;627.1
REH;01.01.2001 00:00;9.6;32.4;-15.5;9.4;41.2;-16.7;78.4;9.9;965.5;1017.9;;;;2;26.4;95;7.9;1422;125;;;;92517;38;678.2;111.1;3261.1;1573.1;1009.2
REH;01.01.2002 00:00;10.3;34.7;-10.3;10.3;46.3;-15.2;76.8;10;965.2;1017.5;;;;1.9;28.7;103.3;7.6;1223;127;;;;93379;38;696.4;104.5;3098;1338;791.5
REH;01.01.2003 00:00;10.1;36.7;-14;9.6;43.1;-16.2;74.7;9.8;966.5;1018.9;;;;1.6;32.1;115.6;5.8;750.3;143;;;;117998;49;760.3;339.3;3370;1754;173.5
REH;01.01.2004 00:00;9.6;30.9;-10.1;9.2;37.7;-14.2;77.3;9.8;965.8;1018.1;;;;1.7;26.5;95.4;6.1;975.9;131;;;;94623;39;678.9;102.1;3268.3;1588.3;546.9
