station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ROE;01.01.1991 00:00;3.4;22.9;;;;;65.4;5.7;812.3;;;;;;32.7;117.7;;;;;;;;;;;;;
ROE;01.01.1992 00:00;3.8;21.3;-14;;;;65.2;5.6;812.9;;;;;1.6;25.2;90.7;5.8;2284.9;141;;;;82787;46;613.3;0;5715.9;3131.9;1820.5
ROE;01.01.1993 00:00;3;20.2;-16.5;;;;67.2;5.5;812.3;;;;;1.7;30;108;6.1;3061.9;139;;;;80866;45;582;0;6035.9;3339.9;2598.7
ROE;01.01.1994 00:00;4.1;22.1;-15.3;;;;66.9;5.9;812.2;;;;;1.7;29.9;107.6;6.1;2501.8;143;;;;86728;48;628;0;5477.9;2981.9;1989.2
ROE;01.01.1995 00:00;2.9;21.8;-17;;;;66;5.5;809.1;;;;;1.7;28.6;103;6.1;2149.7;148;;;;91215;51;619.5;0;5955.8;3379.8;1655.2
ROE;01.01.1996 00:00;2.3;19.7;-18.2;;;;69.7;5.4;807.6;;1476.1;;;1.6;27.2;97.9;5.8;2465.3;143;;;;83147;46;585.9;0;6327.1;3583.1;1983
ROE;01.01.1997 00:00;3.9;19.4;-11;;;;64.7;5.6;810.4;;;;;1.6;26.9;96.8;5.8;2202;153;;;;98696;55;633.4;0;5592.8;2992.8;1717.3
ROE;01.01.1998 00:00;3.6;23.2;-15;;;;61.8;5.4;809.9;;;;;1.8;29.1;104.8;6.5;2215.8;151;;;;95730;53;648.5;0.5;5669.8;3165.8;1681
ROE;01.01.1999 00:00;3.2;19.3;-15.6;;;;66.1;5.7;808.9;;;;;1.8;31.5;113.4;6.8;2844.6;142;;;;80687;45;610.5;0;5959;3223;2428.9
ROE;01.01.2000 00:00;3.3;20.9;-16.9;;;;67.3;5.7;809.9;;;;;1.6;26.9;96.8;5.8;3330.4;141;;;;80605;45;593.8;0;5943.5;3223.5;2863.6
ROE;01.01.2001 00:00;3.1;20.5;-15.9;;;;65.1;5.4;809.1;;;;;1.9;26.5;95.4;6.8;2257.7;154;;;;91598;51;640.4;0;5897.4;3313.4;1683.9
ROE;01.01.2002 00:00;3.6;22.3;-13.2;;;;67.1;5.7;809.4;;1491.7;;;1.6;24.2;87.1;5.8;2781.8;143;;;;79306;44;610.6;0;5771.7;3115.7;2340.3
ROE;01.01.2003 00:00;3.7;25;-17.7;;;;62.4;5.5;810.6;;1503.8;;;1.7;25.5;91.8;6.1;1624.7;160;;;;105916;59;694.3;10.9;5526.6;3222.6;983
ROE;01.01.2004 00:00;3.1;21.1;-13.6;;;;65.3;5.4;809.2;;1490.6;;;1.8;26.8;96.5;6.5;2276.7;153;;;;90704;50;641.9;0;6039.8;3311.8;1768.3
ROE;01.01.2005 00:00;2.9;22.4;-18.6;;;;63.7;5.4;809.5;;1494.1;;;1.8;33.7;121.3;6.5;1475.9;152;;;;97781;54;636.2;0;5999;3383;965.2
ROE;01.01.2006 00:00;3.5;22.9;-16.4;;;;65;5.7;810.3;;1501.6;;1018.7;1.5;27.6;99.4;5.4;2130.8;155;;;;97429;54;;0.3;5698.7;3194.7;1612.6
ROE;01.01.2007 00:00;4.2;21;-12.5;;;;65.5;5.8;809.8;;;;;1.8;28.6;103;6.5;1732.2;151;;;;94304;52;;0;5570;2898;
ROE;01.01.2008 00:00;3.3;18.9;-13.8;;;;68.7;5.8;808.7;;1490.9;;1017.4;1.7;29.2;105.1;6.1;3222.4;144;;;;83623;46;607.2;0;5865.9;3233.9;2776.7
ROE;01.01.2009 00:00;3.3;20.3;-15.6;;;;;5.7;807.8;;;;;2;25.2;90.7;7.2;2180.2;159;;;;92481;51;;0;5763.2;3211.2;
ROE;01.01.2010 00:00;2.1;21.9;-15.5;;;;66.8;5.5;805.7;;1462.4;;1013.8;1.9;28.5;102.6;6.8;2598.9;152;;;;83453;46;;0;6262.1;3662.1;
ROE;01.01.2011 00:00;4.5;22.6;-14.5;4.7;35.7;-9.4;63.6;5.8;810.7;;1509.3;;1019.9;1.7;26.5;95.4;6.1;2071.3;155;;;;97484;54;668.9;0.4;5396.5;2820.5;1564.6
ROE;01.01.2012 00:00;3.7;21.6;-19.5;4.4;33.5;-16.3;65.1;5.8;809;;1493.3;;1017.8;1.9;30.4;109.4;6.8;2720.6;151;;;;88565;49;653.9;0;5608.2;3104.2;2246.8
ROE;01.01.2013 00:00;3.2;20.9;-16.1;;;;64.9;5.6;807.9;;1483;;1016.5;2;29.2;105.1;7.2;2626.1;156;;;;87492;48;660;0;5816.9;3272.9;2108.5
ROE;01.01.2014 00:00;4.2;20.4;-12.8;4.3;33.6;-5.3;69;6;808.5;;1486.8;;1017.1;2;27.3;98.3;7.2;2763.3;148;;;;80454;45;643;0;5630.3;2878.3;
ROE;01.01.2015 00:00;4.8;23.3;-12.1;4.4;;;61.6;5.8;811.3;;1515;;1020.6;2.2;26.3;94.7;7.9;2302.2;158;;;;97917;54;714.8;0.7;5253.1;2765.1;
ROE;01.01.2016 00:00;4;22.4;-16;4.3;39.6;-10;65.9;5.8;809.7;;1499.5;;1018.6;2.1;30.2;108.7;7.6;2335.7;151;;;;85674;47;669.8;0;5482.4;3042.4;1824.2
ROE;01.01.2017 00:00;4.1;22;-14;4.5;38.1;-9.7;62.3;5.6;810.3;;1506;;1019.4;2.2;29.9;107.6;7.9;2055.5;160;;;;96760;54;722.5;0.2;5441.8;2993.8;1528.5
ROE;01.01.2018 00:00;4.2;23.8;-20.5;5.1;;;67.9;6.1;809;;1492.6;;1017.8;2;26.9;96.8;7.2;2776.7;156;286;;;87561;49;701.9;0.4;5298.9;2954.9;2120
ROE;01.01.2019 00:00;4.2;25.8;-13.1;4.7;37.3;-3.8;64.5;5.8;809.2;;1494.1;;1018;2.3;25.8;92.9;8.3;3069.5;159;281;;;93513;52;711.1;6.6;5413;2997;2550.4
ROE;01.01.2020 00:00;4.4;23.4;-12.4;5.5;44.3;-9.4;65.3;5.9;810.3;;1505.3;;1019.4;1.9;31.8;114.5;6.8;1981.8;163;280;;;98315;54;706.8;1.2;5385.4;2897.4;
ROE;01.01.2021 00:00;3.5;20.4;-16.2;;;;65;5.6;809.4;;;;;2.1;27;97.2;7.6;2350.7;156;;;;90183;50;659.9;0;5811.8;3147.8;
ROE;01.01.2022 00:00;5.2;22.1;-12.2;;;;63.4;6.2;811.3;;1514;;1020.5;2.1;26.3;94.7;7.6;1542.6;166;282;;;104496;58;756.9;0;4938.7;2650.7;990.8
ROE;01.01.2023 00:00;5;25.5;-14.2;;;;65;6.3;809.7;;1497.8;;1018.6;2.2;32.4;116.6;7.9;2075.8;160;285;;;92004;51;724.1;5.3;5080.4;2720.4;
ROE;01.01.2024 00:00;5.1;22.9;-11.8;;;;66;6.3;810.1;;1502.2;;1019.1;2.2;23.7;85.3;7.9;2649.5;146;290;;;78578;43;668.2;0.4;5154.5;2706.5;2210.2
