station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SAM;01.01.1980 00:00;0.2;25.1;-32.4;;;;73.5;5.1;827.2;;;;;2.4;;;9.7;572.3;;;;;101616;53;;;7115;;
SAM;01.01.1981 00:00;1;25;-34.4;0.5;32.2;-36.5;71.5;5.1;828;;;;;2.4;22.5;81;9.7;773.7;155;;;;103401;53;659.9;0;6756.8;4020.8;288.5
SAM;01.01.1982 00:00;1.6;25.4;-30.3;1.3;35.2;-33.4;66.9;4.9;829.8;;;;;2.3;21.1;76;9.7;725.2;159;;;;109090;56;698.3;0;6424.1;3816.1;181.8
SAM;01.01.1983 00:00;1.4;28.7;-29.1;1.1;39.1;-30.2;66.7;5;830.5;;;;;2.1;28.7;103.3;9.4;740.6;155;;;;108358;55;682.9;0;6550.6;3910.6;209.4
SAM;01.01.1984 00:00;0.4;25.8;-30.6;0.5;42.8;;74.3;5.1;827.5;;;;;2.3;27.2;97.9;9.4;553.9;157;;;;104154;53;617.6;0;7067.3;4283.3;90.4
SAM;01.01.1985 00:00;0.8;24.6;-36.9;0.3;34.1;-37.8;72.7;5.2;827.6;;;;;2.4;24.7;88.9;9.7;624.6;161;;;;115003;59;650.5;0;6789.2;4125.2;93.3
SAM;01.01.1986 00:00;1.1;24.8;-33.1;1;35.8;-33.8;72.6;5.5;828.1;;;;;2.4;24.3;87.5;9.7;614.5;159;;;;110272;56;656.4;0;6642.6;4002.6;115.3
SAM;01.01.1987 00:00;1.3;25.4;-32.5;0.9;35.9;-35.5;74;5.6;828;;;;;2.2;21.6;77.8;9.4;655.3;156;;;;99047;51;622.2;0;6602.5;3930.5;258.2
SAM;01.01.1988 00:00;2.2;24.4;-29.8;1.8;30;-34.3;71.2;5.7;827.4;;;;;2.4;25.5;91.8;10.1;649.8;155;;;;99931;51;672.7;0;6269.3;3637.3;213.2
SAM;01.01.1989 00:00;1.9;24.5;-23;1.8;34.9;-25.9;72.3;5.5;829.2;;;;;2.2;23.8;85.7;9;547.2;157;;;;108448;55;666.3;0;6370;3714;116.2
