station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SBE;01.01.1968 00:00;2.8;25;-21.5;;;;73.3;6;834.1;;;;;0.4;;;1.4;2211.6;;;;;;;;;6199.1;;
SBE;01.01.1969 00:00;2.8;24.2;-19.9;;;;74.2;6.3;833.4;;;;;0.8;;;2.9;1682.4;;;;;;;;;6003.8;;
SBE;01.01.1970 00:00;2.9;21.4;-19.5;;;;73;6.3;834;;;;;2.7;;;9.7;1662.7;;;;;93078;49;;;5909.4;;
SBE;01.01.1971 00:00;3.4;22.9;-21.4;;;;75.5;6.5;835.2;;;;;3.7;;;13.3;1571.9;;;;;105768;57;;;5755.5;;
SBE;01.01.1972 00:00;2.8;22;-14.2;;;;79.8;6.3;834.7;;;;;2.9;;;10.4;1584.9;;;;;77040;40;;;6147.4;;
SBE;01.01.1973 00:00;3.4;23.1;-18.9;;;;68.6;6;835.7;;;;;3.4;;;12.2;1621.5;;;;;97044;52;;;5660.6;;
SBE;01.01.1974 00:00;3.1;25;-15.7;;;;71.7;5.8;834.2;;;;;3;;;11.2;1751.9;;;;;89802;47;;;5963.8;;
SBE;01.01.1975 00:00;3.3;22.3;-15.8;;;;71.9;6;835.9;;;;;3.4;;;12.2;1846.5;;;;;91728;49;;;5852;;
SBE;01.01.1976 00:00;3.2;21.7;-18.2;;;;68.2;5.5;834.5;;;;;3.7;;;13.3;1889.2;;;;;98082;50;;;5926.1;;
SBE;01.01.1977 00:00;3;20.5;-18;;;;72.9;5.9;834.7;;;;;3.2;;;11.5;2345;;;;;83346;44;;;6023.7;;
SBE;01.01.1978 00:00;2.9;21;-16.4;;;;67.9;5.4;833.7;;;;;3.3;;;11.9;1799.5;;;;;94446;50;;;6039.2;;
SBE;01.01.1979 00:00;2.9;20.3;-20;;;;68.9;5.6;833.7;;;;;2.8;;;10.1;2162.6;;;;;86886;45;;;6033;;
SBE;01.01.1980 00:00;2.8;22;-15;;;;64.6;5.3;834;;;;;2.9;;;10.4;1559.7;;;;;90120;49;;;6107.6;;
SBE;01.01.1981 00:00;3.4;24.9;-16.6;;;;67.4;5.7;834.4;;;;;3.2;;;11.2;2298;;;;;89183;49;;0;5776.5;3200.5;
SBE;01.01.1982 00:00;3.5;23.8;-18.8;3.9;31.1;-21.8;71.9;6.1;836.4;;;;;3;26;93.6;11.5;1762.3;140;;;;89420;49;652.4;0.3;5733.6;3189.6;1326.4
SBE;01.01.1983 00:00;3.8;31;-15.9;4;34.8;-19.4;66.1;5.6;837;;;;;3.2;26.7;96.1;11.9;1759.3;132;;;;87228;47;699.5;3.6;5668.3;3092.3;1247.6
SBE;01.01.1984 00:00;2.1;22.2;-16.2;2.5;30.5;-19.1;67.9;5.1;834.2;;;;;3.1;25.7;92.5;11.5;1809.9;137;;;;85192;46;644.3;0;6382.5;3638.5;1306.1
SBE;01.01.1985 00:00;2.8;22.2;-25.1;3.1;28.8;-27.2;65.1;5.3;834.4;;;;;3.1;29.8;107.3;11.5;1483.2;141;;;;91741;50;700.7;0;5999;3399;912.1
SBE;01.01.1986 00:00;2.8;24.2;-21.4;2.9;34.1;-21.8;71.6;6;835.1;;;;;2.9;26.7;96.1;10.8;1807.8;140;;;;89285;48;634.2;0;6072.1;3416.1;1372.1
SBE;01.01.1987 00:00;3.6;23.9;-24.9;3.6;29.8;-25.3;69.1;6.1;835;;;;;3.2;27.1;97.6;11.5;2296.6;135;;;;86592;47;653.5;0;5659.2;3171.2;1904.5
SBE;01.01.1988 00:00;4;22;-14.4;4.1;31.3;-16.2;70.8;6.4;835;;;;;3.2;28.9;104;11.9;2044.2;133;;;;83818;45;645.9;0;5585;3017;1649.3
SBE;01.01.1989 00:00;4.5;22.7;-12.6;4.1;32.2;-16.3;67.1;6.1;836.9;;;;;3;29.6;106.6;11.5;1428;142;;;;100873;55;702.5;0;5329;2817;961.9
SBE;01.01.1990 00:00;4.3;24.3;-15.1;4.2;28.8;-20;69.5;6.2;836.7;;;;;2.9;27.1;97.6;10.8;1515.2;141;;;;95090;52;688.8;0.7;5462.4;2918.4;1040.1
SBE;01.01.1991 00:00;3.6;26.6;-21.9;3.5;33;-28.4;71;6.2;836.3;;;;;3;24.8;89.3;11.2;1610.4;145;;;;96812;53;681.3;0.3;5645.1;3237.1;1126
SBE;01.01.1992 00:00;4.4;24.3;-15;4.2;28.9;-20.8;72.2;6.6;837;;;;;2.9;29.7;106.9;11.2;1556.3;136;;;;88957;48;657.7;0;5432.1;2920.1;1168.2
SBE;01.01.1993 00:00;3.7;23.3;-18;3.6;30.5;-23.1;73.7;6.4;836.6;;;;;2.8;29;104.4;10.4;2037.7;130;;;;84307;46;597.7;0;5693;3093;1669.3
SBE;01.01.1994 00:00;4.8;24.6;-16;4.8;34.8;-19;73.1;6.8;836.5;;;;;3;24;86.4;11.2;1883.6;141;;;;90163;49;684.1;0;5149.1;2765.1;1470.7
SBE;01.01.1995 00:00;3.6;24.7;-17.8;3.3;34.3;-22.2;72.4;6.3;835.6;;;;;3.1;30.6;110.2;11.5;1461.7;138;;;;90529;49;649.8;0;5640;3160;1085.1
SBE;01.01.1996 00:00;3.1;23.2;-18.9;3.2;35.7;;74.7;6.2;833.5;;1479.9;;;3;25.5;91.8;10.8;2000.1;138;;;;86351;47;627;0;5913.2;3297.2;1588.8
SBE;01.01.1997 00:00;4.6;22.7;-12.2;4.6;31.6;-18.5;70.2;6.4;836.3;;;;;2.9;24;86.4;10.8;1782.6;144;;;;101786;56;685;0;5197.4;2797.4;1361
SBE;01.01.1998 00:00;4;26.6;-16.7;3.7;34.3;-22.5;68.8;6.2;835.9;;;;;3;25.6;92.2;11.2;1768.9;143;;;;98338;54;676.9;0.6;5482.7;3042.7;1341.3
SBE;01.01.1999 00:00;3.9;21.5;-16.3;3.6;30.4;-22.5;71.4;6.5;835;;;;;2.9;29.5;106.2;10.8;2639.6;135;;;;81829;45;629.5;0;5474.7;3010.7;2299.3
SBE;01.01.2000 00:00;4.2;22.9;-18.6;3.9;31.2;-25;72.2;6.6;836;;;;;2.7;34.4;123.8;10.4;2515.6;131;;;;83393;45;621.2;0;5477.6;2917.6;2127.3
SBE;01.01.2001 00:00;3.8;23.8;-19;3.7;35.3;-24.9;68.9;6.2;835.5;;;;;2.9;25.9;93.2;10.8;2017.1;145;;;;94284;51;670.2;0.1;5571.6;3115.6;1534.2
SBE;01.01.2002 00:00;4.7;25.9;-14.9;4.3;35.1;-22.2;69.9;6.5;836.2;;1504.5;;;2.7;24.2;87.1;10.1;2401.3;137;;;;87762;48;666.4;0;5316.3;2764.3;2017.3
SBE;01.01.2003 00:00;4.6;27.6;-17.9;4.1;37.8;-25.9;65;6.3;837.5;;1517.3;;;2.8;29.2;105.1;10.4;1259.2;153;;;;107717;59;757.6;15.9;5233.3;3001.3;698
SBE;01.01.2004 00:00;4;24.7;-15.5;3.7;33.4;-24.4;68.7;6.2;836;;1503.2;;;3.1;22.9;82.4;11.2;1498.3;141;;;;87718;48;683.5;0.1;5547;3019;1076.3
SBE;01.01.2005 00:00;3.5;25.2;-21.3;;;;69.9;6.3;835.8;;;;;2.4;25.3;91.1;8.6;1005.4;144;;;;;;;0;5700.3;3212.3;
SBE;01.01.2006 00:00;4.4;24.8;-16.7;5.5;;;70.4;6.6;835.8;;1503.4;;1018.8;2;23.6;85;7.2;1498.2;145;;;;86829;47;648.4;0;5382;2950;1099.5
SBE;01.01.2007 00:00;4.7;22.3;-14.8;4.8;33.7;-19.8;69.8;6.5;835.5;;1499.4;;1018.3;2.2;25.5;91.8;7.9;1461;146;;;;94881;52;670.8;0;5264.9;2720.9;1063.9
SBE;01.01.2008 00:00;4.2;22.7;-16.2;4.3;34.4;-21;73.9;6.6;834.7;;1492.7;;1017.5;2;27.7;99.7;7.2;2335.1;141;;;;84801;46;623.4;0;5493.1;2973.1;1963.6
SBE;01.01.2009 00:00;4.3;24.1;-16.5;4.3;31.4;-21.1;70.8;6.6;833.7;;1483.3;;1016.3;2.2;28.9;104;7.9;1521.9;149;;;;89190;48;670.1;0;5307.8;2947.8;1107
SBE;01.01.2010 00:00;3.2;25.5;-18;3.3;36.9;-21.9;72.3;6.3;831.8;;1464.6;;1014;2.1;25.6;92.2;7.6;1709.2;141;;;;81147;44;619.4;0;5839.8;3351.8;1313.3
SBE;01.01.2011 00:00;5.2;25.5;-15.1;5.1;29.5;-19.2;69.7;6.7;836.7;;1511.2;;1019.8;2;31.1;112;7.2;1351;150;;;;100154;54;681.7;1;4981.7;2605.7;933.1
SBE;01.01.2012 00:00;4.4;25.6;-20.1;4.4;31;-20.5;71.4;6.7;835;;1495.4;;1017.8;2.2;31.9;114.8;7.9;1726.4;142;;;;88476;48;649.1;0.1;5236.3;2916.3;1359.3
SBE;01.01.2013 00:00;4.1;25.4;-16.6;4.2;;;71.3;6.5;833.9;;1484.8;;1016.5;2.1;25;90;7.6;1869.4;145;;;;83158;45;654.7;0;5434.2;3002.2;
SBE;01.01.2014 00:00;4.6;23.9;-15.4;5.2;37.5;-19.7;76.4;6.9;834.4;;1489.3;;1017.1;2.2;27.2;97.9;7.9;2386.2;138;;;;74994;41;618.5;0;5395.7;2747.7;2070.1
SBE;01.01.2015 00:00;5.3;26.6;-13.9;5.3;34.9;-17.9;69.4;6.8;837.3;;1516.9;;1020.5;2.3;25.4;91.4;8.3;1523.6;149;;;;98377;53;693.5;2.3;5087.6;2639.6;1108.9
SBE;01.01.2016 00:00;4.8;24.4;-17.8;4.8;32.6;-20.9;72;6.7;835.7;;1501.6;;1018.6;2.3;27.2;97.9;8.3;1650.5;142;;;;86780;47;666.2;0;5141.7;2773.7;1245.8
SBE;01.01.2017 00:00;4.8;25.2;-14.8;4.9;34.5;-17.8;69;6.5;836.3;;1507.9;;1019.3;2.5;32.8;118.1;9;1642.7;154;;;;98065;53;728.3;2;5108.3;2820.3;1221.3
SBE;01.01.2018 00:00;5.1;25.9;-20.9;5.2;37.5;-22.6;74.5;7.1;835;;1494.9;;1017.8;2.3;31.4;113;8.3;1659.1;148;;;;89620;49;698.5;1.9;4967;2719;1214.8
SBE;01.01.2019 00:00;4.8;29.4;-14.5;4.8;35.6;-18.5;73.1;6.9;835.1;;1496.2;;1017.9;2.5;30.9;111.2;9;2055.7;149;;;;91118;49;678.7;7.8;5160.7;2816.7;
SBE;01.01.2020 00:00;4.9;26.4;-14.2;5;36;-19.2;73.5;6.9;836.3;;1507.4;;1019.3;1.9;25.6;92.2;6.8;1580.7;156;;;;102075;55;675.6;0;5147;2755;1202.9
SBE;01.01.2021 00:00;4;24.5;-19.2;4.1;32.2;-22.6;73.4;6.6;835.5;;1499.9;;1018.3;1.9;22.6;81.4;6.8;1476.4;148;;;;92229;50;624.7;0;5509.2;2997.2;1119.5
SBE;01.01.2022 00:00;5.6;26.2;-14.4;5.6;35.3;-18.3;71.7;7.1;837.2;;1516.5;;1020.4;1.8;24.6;88.6;6.5;1202.4;157;;;;105888;58;706.6;0;4761;2577;758
SBE;01.01.2023 00:00;5.5;28;-14.7;5.6;37.2;-18.2;73.5;7.3;835.6;;1499.9;;1018.4;2.1;26.8;96.5;7.6;1879.9;149;;;;91784;50;678.5;3.4;4866;2578;
