station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SCM;01.01.1994 00:00;;;;;;;;;970.5;;;;;1.5;29.7;106.9;5.4;;;;;;;;;;;;
SCM;01.01.1995 00:00;;;;;;;;;970.4;;;;;1.5;30.3;109.1;5.4;;;;;;;;;;;;
SCM;01.01.1996 00:00;;;;;;;;;969.5;;;;;1.4;22.3;80.3;5;;;;;;;;;;;;
SCM;01.01.1997 00:00;;;;;;;;;970.2;;;;;1.3;29.3;105.5;4.7;;;;;;;;;;;;
SCM;01.01.1998 00:00;;;;;;;;;970;;;;;1.4;28.8;103.7;5;;;;;;;;;;;;
SCM;01.01.1999 00:00;;;;;;;;;968.8;;;;;1.4;39.5;142.2;5;;;;;;;;;;;;
SCM;01.01.2000 00:00;;;;;;;;;969.2;;;;;1.4;23.2;83.5;5;;;;;;;;;;;;
SCM;01.01.2001 00:00;;;;;;;;;969;;;;;1.4;27.6;99.4;5;;;;;;;;;;;;
SCM;01.01.2002 00:00;;;;;;;;;968.7;;;;;1.4;23.2;83.5;5;;;;;;;;;;;;
SCM;01.01.2003 00:00;;;;;;;;;;;;;;1.5;40.7;146.5;5.4;;;;;;;;;;;;
SCM;01.01.2004 00:00;;;;;;;;;969.3;;;;;1.5;26.8;96.5;5.4;;;;;;;;;;;;
SCM;01.01.2005 00:00;;;;;;;;;970.3;;;;;1.4;27;97.2;5;;;;;;;;;;;;
SCM;01.01.2006 00:00;;;;;;;;;;;;;1018.7;1.5;24.6;88.6;5.4;;;;;;;;;;;;
SCM;01.01.2007 00:00;;;;;;;;;969.8;;;;1018.3;1.7;22.2;79.9;6.1;;;;;;;;;;;;
SCM;01.01.2008 00:00;;;;;;;;;968.8;;;;1017.2;1.6;23.7;85.3;5.8;;;;;;;;;;;;
SCM;01.01.2009 00:00;;;;;;;;;967.7;;;;1016.2;1.6;30;108;5.8;;;;;;;;;;;;
SCM;01.01.2010 00:00;;;;;;;;;966.1;;;;1014.4;1.6;36.8;132.5;5.8;;;;;;;;;;;;
SCM;01.01.2012 00:00;;;;;;;;;969.5;;;;1017.8;1.7;21.5;77.4;6.1;;;;;;;;;;;;
SCM;01.01.2013 00:00;;;;;;;;;968.4;;;;1016.7;1.6;28.6;103;5.8;;;;;;;;;;;;
SCM;01.01.2014 00:00;;;;;;;;;967.9;;;;1016.1;1.5;25.6;92.2;5.4;;;;;;;;;;;;
SCM;01.01.2015 00:00;;;;;;;;;971.6;;;;1020;1.5;27.4;98.6;5.4;;;;;;;;;;;;
SCM;01.01.2016 00:00;;;;;;;;;969.9;;;;1018.2;1.6;27.7;99.7;5.8;;;;;;;;;;;;
SCM;01.01.2017 00:00;;;;;;;;;970.9;;;;1019.3;1.8;25.6;92.2;6.5;;;;;;;;;;;;
SCM;01.01.2018 00:00;;;;;;;;;968.4;;;;1016.7;2.1;33.7;121.3;7.6;;;;;;;;;;;;
SCM;01.01.2019 00:00;;;;;;;;;969;;;;1017.2;2;27.8;100.1;7.2;;;;;;;;;;;;
SCM;01.01.2020 00:00;;;;;;;;;970.1;;;;1018.4;2;31.8;114.5;7.2;;;;;;;;;;;;
SCM;01.01.2021 00:00;;;;;;;;;970;;;;1018.3;2;28.1;101.2;7.2;;;;;;;;;;;;
SCM;01.01.2022 00:00;;;;;;;;;971;;;;1019.4;2;26.8;96.5;7.2;;;;;;;;;;;;
SCM;01.01.2023 00:00;;;;;;;;;969.2;;;;1017.5;2.1;27.6;99.4;7.6;;;;;;;;;;;;
SCM;01.01.2024 00:00;;;;;;;;;969.2;;;;1017.5;1.9;24.2;87.1;6.8;;;;;;;;;;;;
