station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SHA;01.01.1864 00:00;7.4;;;;;;;;969.6;;;;;;;;;608.4;;;;;;;;;4101.6;;
SHA;01.01.1865 00:00;9;;;;;;;;969.9;;;;;;;;;;;;;;;;;;3431.3;;
SHA;01.01.1866 00:00;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHA;01.01.1867 00:00;9;;;;;;;;969.9;;;;;;;;;955.4;;;;;;;;;3640.1;;
SHA;01.01.1868 00:00;10.2;;;;;;;;970.4;;;;;;;;;763.7;;;;;;;;;3256.7;;
SHA;01.01.1870 00:00;8.3;;;;;;;;969.6;;;;;;;;;;;;;;;;;;3973;;
SHA;01.01.1871 00:00;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHA;01.01.1875 00:00;8.1;;;;;;;;963.5;;;;;;;;;;;;;;;;;;3832.9;;
SHA;01.01.1876 00:00;8.3;;;;;;;;961.7;;;;;;;;;;;;;;;;;;3821.5;;
SHA;01.01.1877 00:00;8.5;;;;;;;;962.3;;;;;;;;;;;;;;;;;;3867.4;;
SHA;01.01.1878 00:00;7.9;;;;;;;;962.3;;;;;;;;;;;;;;;;;;3842.2;;
SHA;01.01.1879 00:00;6.7;;;;;;;;962.2;;;;;;;;;;;;;;;;;;4411.7;;
SHA;01.01.1880 00:00;8.5;;;;;;;;963.7;;;;;;;;;;;;;;;;;;3627;;
SHA;01.01.1881 00:00;8.2;;;;;;;;962.9;;;;;;;;;;;;;;;;;;3943.5;;
SHA;01.01.1882 00:00;8.4;30.5;;;;;;;963.8;;;;;;;;;;;;;;;;;;3672.1;;
SHA;01.01.1883 00:00;8.3;31.5;;;;;;;963.2;;;;;;;;;;;;;;;;;;3694.1;;
SHA;01.01.1884 00:00;9.1;;;;;;;;963.9;;;;;;;;;;;;;;;;;;3522;;
SHA;01.01.1885 00:00;8.6;;;;;;;;961.8;;;;;;;;;;;;;;;;;;3792.1;;
