station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SIA;01.01.1864 00:00;0.7;;;;;;77.1;5.7;815;;;;;2.4;;;8.6;923.1;;;;;;;;;6951.2;;
SIA;01.01.1865 00:00;1.6;;;;;;77.9;6.3;816.2;;;;;0.8;;;2.9;1020.2;;;;;;;;;6500.3;;
SIA;01.01.1866 00:00;2;;;;;;78.4;6.2;817.2;;;;;1.1;;;4;936.1;;;;;;;;;6435.2;;
SIA;01.01.1867 00:00;1.9;;;;;;77.8;6.3;816.9;;;;;1.1;;;4;1125.1;;;;;;;;;6441.2;;
SIA;01.01.1868 00:00;2.3;;;;;;76.7;6.4;817.8;;;;;0.8;;;2.9;1108.6;;;;;;;;;6231.1;;
SIA;01.01.1869 00:00;1.8;;;;;;76.8;6.2;817.2;;;;;1.1;;;4;877.1;;;;;;;;;6457.2;;
SIA;01.01.1870 00:00;1.1;23.4;-23;;;;77.6;5.9;815.9;;;;;1.1;;;4;702.6;;;;;;;;;6703.2;;
SIA;01.01.1871 00:00;0.6;;;;;;77.5;5.8;816.3;;;;;0.8;;;2.9;748.4;;;;;;;;;6940;;
SIA;01.01.1872 00:00;2;26.4;;;;;80.1;6.3;816.1;;;;;0.8;;;2.9;1688.5;;;;;;;;;6479.2;;
SIA;01.01.1873 00:00;1.9;26.2;-20.3;;;;77.5;6.2;817.5;;;;;0.8;;;2.9;1056.5;;;;;;;;;6323.3;;
SIA;01.01.1874 00:00;1.2;27.4;-22;;;;77;6;817.2;;;;;;;;;964.8;;;;;;;;;6607.4;;
SIA;01.01.1875 00:00;1.1;24.4;-25.6;;;;82.1;6.3;816.7;;;;;0.8;;;2.9;817.1;;;;;;;;;6732.4;;
SIA;01.01.1876 00:00;1.8;24.7;-24.1;;;;81.2;6.3;815.8;;;;;0.8;;;2.9;1009.3;;;;;;;;;6405;;
SIA;01.01.1877 00:00;1.6;22.7;-21.7;;;;77.9;6.1;816;;;;;0.8;;;2.9;1007.6;;;;;;;;;6469.8;;
SIA;01.01.1878 00:00;1.2;24.9;-25.6;;;;77.2;6;815.8;;;;;0.8;;;2.9;1236.4;;;;;;;;;6718.4;;
SIA;01.01.1879 00:00;0.8;26.3;-24.2;;;;;;815.2;;;;;0.8;;;2.9;940;;;;;;;;;6816.1;;
SIA;01.01.1880 00:00;2.3;23.9;-23.5;;;;77.5;6.3;817.7;;;;;0.7;;;2.9;971.4;;;;;;;;;6358.6;;
SIA;01.01.1881 00:00;1.7;25.5;-23.8;;;;77;6.1;816.4;;;;;0.8;;;2.9;601.7;;;;;;;;;6422.5;;
SIA;01.01.1882 00:00;1.7;25.1;-18;;;;76.6;5.9;817.4;;;;;0.6;;;2.2;1189.2;;;;;;;;;6551.3;;
SIA;01.01.1883 00:00;1.1;22.8;-25;;;;76.3;5.8;816.6;;;;;0.6;;;2.2;758.1;;;;;;;;;6771.8;;
SIA;01.01.1884 00:00;1.9;24;-16.5;;;;76.3;6;817.7;;;;;0.4;;;1.4;561.8;;;;;;;;;6427.5;;
SIA;01.01.1885 00:00;1.9;24;-18;;;;77.5;6.2;815.8;;;;;0.6;;;2.2;890.4;;;;;;;;;6298.8;;
SIA;01.01.1886 00:00;1.6;25.4;-23.4;;;;78.9;6.2;815.8;;;;;0.6;;;2.2;838.7;;;;;;;;;6551.3;;
SIA;01.01.1887 00:00;0.6;23.3;-21.5;;;;77.3;5.7;816.3;;;;;;;;;768.4;;;;;;;;;6819.6;;
SIA;01.01.1888 00:00;1;24.7;-26;;;;76.3;5.7;816.3;;;;;0.4;;;1.4;1217.8;;;;;;;;;6873.4;;
SIA;01.01.1889 00:00;1.2;24.2;-23.3;;;;77.3;6;815.8;;;;;0.8;;;2.9;925.3;;;;;;;;;6713.3;;
SIA;01.01.1890 00:00;1;23.6;-24.2;;;;77.6;5.8;816.3;;;;;0.8;;;2.9;1003.9;;;;;;;;;6793.3;;
SIA;01.01.1891 00:00;1;23.8;-27.6;;;;79.3;6;817;;;;;0.8;;;2.9;1164.7;;;;;;;;;6813.3;;
SIA;01.01.1892 00:00;1.5;;;;;;;;;;;;;;;;;904.2;;;;;;;;;6596.2;;
SIA;01.01.1893 00:00;2;22.4;-23;;;;76.9;6.2;816.8;;;;;;;;;685.3;;;;;;;;;6319.3;;
SIA;01.01.1894 00:00;1.7;27.4;-21.5;;;;78.4;6.3;816.9;;;;;;;;;837.8;;;;;;;;;6454.8;;
SIA;01.01.1895 00:00;1.6;23.3;-26.5;;;;80.2;6.5;814.6;;;;;3.5;;;12.6;891.7;;;;;;;;;6438.2;;
SIA;01.01.1896 00:00;1.4;22.6;-19.7;;;;79.7;6.1;816.3;;;;;3.9;;;14;1373;;;;;;;;;6680.3;;
SIA;01.01.1897 00:00;2.4;24.4;-23.5;;;;77.7;6.4;817.2;;;;;4.8;;;17.3;894.9;;;;;;;;;6145;;
SIA;01.01.1898 00:00;2.5;24.5;-20;;;;80.1;6.6;817.6;;;;;;;;;1270.9;;;;;;;;;6171.7;;
SIA;01.01.1899 00:00;2.2;23.1;-22.7;;;;;;;;;;;4.4;;;15.8;726.5;;;;;;;;;6309;;
SIA;01.01.1900 00:00;2.1;25.4;-20.6;;;;74.3;6.1;816;;;;;;;;;987.1;;;;;;;;;6356.3;;
SIA;01.01.1901 00:00;0.9;21;-30.2;;;;74.4;5.7;815.5;;;;;3.5;;;12.6;1298.6;;;;;;;;;6775.9;;
SIA;01.01.1902 00:00;1.4;24.6;-19;;;;75;5.7;816.2;;;;;3.1;;;11.2;1072.5;;;;;;;;;6624;;
SIA;01.01.1903 00:00;1.1;25.6;-23.1;;;;74.9;5.7;816.8;;;;;3.5;;;12.6;1058.1;;;;;;;;;6749.7;;
SIA;01.01.1904 00:00;1.9;23.7;-21;;;;78.3;6.3;816.8;;;;;3.1;;;11.2;974.4;;;;;;;;;6368.4;;
SIA;01.01.1905 00:00;1;24.4;-25.4;;;;75;5.7;816.3;;;;;1.4;;;5;1092.2;;;;;;;;;6735.7;;
SIA;01.01.1906 00:00;1.3;22;-24;;;;73.7;5.7;816;;;;;1.1;;;4;876.2;;;;;;;;;6474.6;;
