station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SIM;01.01.1961 00:00;;;;;;;;;;;;;;;;;;1191.8;;;;;;;;;;;
SIM;01.01.1962 00:00;;;;;;;;;;;;;;;;;;876.2;;;;;;;;;;;
SIM;01.01.1963 00:00;;;;;;;;;;;;;;;;;;1284.3;;;;;;;;;;;
SIM;01.01.1964 00:00;;;;;;;;;;;;;;;;;;994.5;;;;;;;;;;;
SIM;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1172.8;;;;;;;;;;;
SIM;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1157;;;;;;;;;;;
SIM;01.01.1967 00:00;;;;;;;;;;;;;;;;;;836.3;;;;;;;;;;;
SIM;01.01.1968 00:00;;;;;;;;;;;;;;;;;;1481.6;;;;;;;;;;;
SIM;01.01.1969 00:00;;;;;;;;;;;;;;;;;;966;;;;;;;;;;;
SIM;01.01.1970 00:00;;;;;;;;;;;;;;;;;;1069.4;;;;;;;;;;;
SIM;01.01.1971 00:00;5.4;;-18.6;;;;59.7;6.2;;;;;;3.5;;;12.6;1200.8;;;;;;;;;;;
SIM;01.01.1972 00:00;4.6;;-11;;;;73.3;6.8;;;;;;3;;;10.8;1439.3;;;;;;;;;;;
SIM;01.01.1973 00:00;5.4;;-15;;;;67.2;6.8;;;;;;4.2;;;15.1;1026.7;;;;;;;;;;;
SIM;01.01.1974 00:00;5;25;-8.5;;;;74.9;7.1;;;;;;4.3;;;15.5;1047.5;;;;;;;;;;;
SIM;01.01.1975 00:00;5.2;25.6;-11;;;;76.9;7.6;;;;;;3.5;;;12.6;1525.1;;;;;;;;;;;
SIM;01.01.1976 00:00;5.2;25.8;-13.8;;;;73.3;7.1;;;;;;4.3;;;15.5;1422.3;;;;;;;;;;;
SIM;01.01.1977 00:00;4.9;23.4;-11.5;;;;70.6;6.5;;;;;;4;;;14.4;2252.9;;;;;;;;;;;
SIM;01.01.1978 00:00;4.8;24.5;-11.5;;;;63.7;5.8;;;;;;4;;;14.4;1367.8;;;;;;;;;;;
SIM;01.01.1979 00:00;4.9;24;-16.5;;;;69.1;6.6;;;;;;4.3;;;15.5;1534.5;;;;;;;;;;;
SIM;01.01.1980 00:00;4.6;24;-13;;;;65.3;6.1;;;;;;4.6;;;16.6;985.5;;;;;;;;;;;
SIM;01.01.1981 00:00;5.1;26;-13.5;;;;65.5;6.4;;;;;;4.5;;;16.2;1669.7;;;;;;;;;;2683;
SIM;01.01.1982 00:00;5.6;27;-13;;;;63.5;6.4;;;;;;3.6;;;13;1129.2;;;;;;;;;;2551.9;
SIM;01.01.1983 00:00;6;27;-12.5;;;;59.4;6.1;;;;;;3.7;;;13.3;1125.3;;;;;;;;;;2504.8;
SIM;01.01.1984 00:00;4.3;24.5;-13;;;;60.4;5.5;;;;;;3.5;;;12.6;1238.6;;;;;;;;;;2964.6;
