station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SPF;01.01.1994 00:00;;;;;;;;;;;;;;2.2;27.2;97.9;7.9;;;;;;;;;;;;
SPF;01.01.1995 00:00;;;;;;;;;;;;;;2.3;34;122.4;8.3;;;;;;;;;;;;
SPF;01.01.1996 00:00;;;;;;;;;;;;;;2.1;28.7;103.3;7.6;;;;;;;;;;;;
SPF;01.01.1997 00:00;;;;;;;;;;;;;;2.2;30.7;110.5;;;;;;;;;;;;;
SPF;01.01.1998 00:00;;;;;;;;;;;;;;2.3;27.7;99.7;8.3;;;;;;;;;;;;
SPF;01.01.1999 00:00;;;;;;;;;;;;;;2.3;38.5;138.6;8.3;;;;;;;;;;;;
SPF;01.01.2000 00:00;;;;;;;;;;;;;;2.1;24.7;88.9;7.6;;;;;;;;;;;;
SPF;01.01.2001 00:00;;;;;;;;;;;;;;2.3;27.1;97.6;8.3;;;;;;;;;;;;
SPF;01.01.2002 00:00;;;;;;;;;;;;;;2.2;25.2;90.7;7.9;;;;;;;;;;;;
SPF;01.01.2003 00:00;;;;;;;;;;;;;;2.2;29.1;104.8;7.9;;;;;;;;;;;;
SPF;01.01.2004 00:00;;;;;;;;;;;;;;2.2;27;97.2;7.9;;;;;;;;;;;;
SPF;01.01.2005 00:00;;;;;;;;;;;;;;2.1;22.2;79.9;7.6;;;;;;;;;;;;
SPF;01.01.2006 00:00;;;;;;;;;;;;;;2.1;25.2;90.7;7.6;;;;;;;;;;;;
SPF;01.01.2007 00:00;;;;;;;;;;;;;;2.4;24.6;88.6;8.6;;;;;;;;;;;;
SPF;01.01.2008 00:00;;;;;;;;;;;;;;2.1;25.6;92.2;;;;;;;;;;;;;
SPF;01.01.2009 00:00;;;;;;;;;;;;;;2.1;27.5;99;7.6;;;;;;;;;;;;
SPF;01.01.2011 00:00;8.6;30.4;-14.6;;;;;;932.3;;1503.4;;1019.2;2;16.5;59.4;7.2;1150.3;148;;;;;;;39;3540.5;1748.5;
SPF;01.01.2012 00:00;7.9;31.1;-20;;;;82.6;9.6;931.1;;1490.3;;1017.8;2;14.6;52.6;7.2;1513.1;138;;;;;;;48.5;3921.1;2041.1;
SPF;01.01.2013 00:00;;;;;;;;;930;;;;1016.6;;;;;1165.6;131;;;;;;;;;;
SPF;01.01.2014 00:00;8.8;30;-15.5;;;;84.3;10;929.7;;1481.5;;1016.3;2;24.2;87.1;7.2;1348.5;135;;;;;;643.7;23.5;3420.9;1588.9;
SPF;01.01.2015 00:00;;34.6;-12.6;;;;;;933.3;;;;1020.1;2.2;25.2;90.7;7.9;1118.7;142;;;;;;;;;;
SPF;01.01.2016 00:00;8.2;30.9;-15.8;;;;82.9;9.6;;;;;;2.1;23;82.8;7.6;1343.3;132;;;;;;;58.4;3879;1919;
SPF;01.01.2017 00:00;;31.9;-17;;;;;;932.5;;;;1019.3;2.2;25.7;92.5;7.9;;143;;;;;;;;;;
SPF;01.01.2018 00:00;9.2;31.4;-19.7;;;;83.7;10.2;930.2;;1486.9;;1016.9;2.3;38.2;137.5;8.3;1117.6;143;;;;;;727.7;77.9;3462.9;1718.9;
SPF;01.01.2019 00:00;;33.2;-12.9;;;;;;930.7;;1489.6;;1017.4;2.2;33.4;120.2;7.9;1272.8;143;;;;;;;;;;
SPF;01.01.2020 00:00;;31.6;-11.4;;;;;;931.8;;;;1018.6;2.3;29.1;104.8;8.3;1239.3;147;;;;;;;;;;
SPF;01.01.2021 00:00;7.8;29.6;-12.3;;;;83.1;9.4;931.5;;1494.1;;1018.3;2.2;30.9;111.2;7.9;1533;137;;;;;;647.6;36.9;3996.9;2028.9;
SPF;01.01.2022 00:00;9.6;32.3;-15.2;;;;80.5;10.1;932.8;;1510.2;;1019.6;2.1;24.4;87.8;7.6;1167.9;153;;;;;;759.7;92.6;3316.7;1604.7;
SPF;01.01.2023 00:00;9.7;34;-15.9;;;;81.3;10.2;931.2;;1496.3;;1017.9;2.5;29.5;106.2;9;1489.2;138;;;;;;734.8;124.7;3374.4;1622.4;
SPF;01.01.2024 00:00;9.3;31.4;-14.3;;;;88.7;11.1;931.2;;1495.2;;1017.9;2.2;24.9;89.6;7.9;1623.1;130;;;;;;631.6;95.1;3496.1;1632.1;
