station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SRS;01.01.1959 00:00;7.6;;-14.4;;;;80.5;9.1;938.6;;;;;;;;;834.9;;;;;;;;;3989.9;;
SRS;01.01.1960 00:00;7.3;;-19.7;;;;82.8;9.2;936;;;;;;;;;1263.4;;;;;;;;;4052.6;;
SRS;01.01.1961 00:00;8;;-12.4;;;;81.8;9.4;939.2;;;;;;;;;1108.6;;;;;;;;;3769.5;;
SRS;01.01.1962 00:00;6.3;;-21.3;;;;80;8.5;938.2;;;;;;;;;1065.6;;;;;;;;;4568.8;;
SRS;01.01.1963 00:00;6.5;;-24.8;;;;80.9;8.9;936.8;;;;;;;;;1047;;;;;;;;;4430.6;;
SRS;01.01.1964 00:00;7.9;;-14;;;;80;9.2;939.7;;;;;;;;;1023.2;;;;;;;;;3892.2;;
SRS;01.01.1965 00:00;6.5;;-16.6;;;;81.2;8.5;936.6;;;;;;;;;1432.9;;;;;;;;;4449.2;;
SRS;01.01.1966 00:00;7.3;;-20.1;;;;79.6;8.8;935;;;;;0.4;;;1.4;1392.9;;;;;;;;;3958.1;;
SRS;01.01.1967 00:00;7.1;;-16.7;;;;84;9.4;937.5;;;;;1.4;;;5;1118.3;;;;;;;;;4236.1;;
SRS;01.01.1968 00:00;7;;-17.4;;;;86.7;9.6;935.5;;;;;1.7;;;6.1;1203.7;;;;;;;;;4236.6;;
SRS;01.01.1969 00:00;6.8;;-15.4;;;;84.8;9.5;935;;;;;2;;;7.2;943.3;;;;;;;;;4326.8;;
SRS;01.01.1970 00:00;6.5;;-15;;;;85.3;9.2;935.9;;;;;2;;;7.2;1460.4;;;;;;;;;4485.5;;
SRS;01.01.1971 00:00;7;35.1;-18.5;;;;82.4;8.9;940.8;;;;;0.6;;;2.2;739.9;;;;;;;;;4299.9;;
SRS;01.01.1972 00:00;7.1;34.8;-11.4;;;;85.7;9;939.9;;;;;0.7;;;2.5;828.3;;;;;;;;;4311.6;;
SRS;01.01.1973 00:00;6.9;31.9;-20.4;;;;87.5;9.6;942;;;;;0.9;;;3.2;1102.2;;;;;;;;;4345.8;;
SRS;01.01.1974 00:00;7.4;32.4;-12.9;;;;87.1;9.6;940.2;;;;;1.1;;;4;1315;;;;;;;;;4154;;
SRS;01.01.1975 00:00;7.4;31.9;-15;;;;80.4;8.9;941.8;;;;;0.9;;;3.2;969.2;;;;;;;;;4156.2;;
