station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
TAE;01.01.1970 00:00;;;;;;;;;;;;;;;;;;1408.4;;;;;;;;;;;
TAE;01.01.1971 00:00;7.4;30.6;-20.6;;;;82.8;9.3;954.5;;;;;1.4;;;5;1069.4;;;;;;;;;4120;;
TAE;01.01.1972 00:00;7.1;30.2;-14.2;;;;83.9;8.9;953.6;;;;;1.4;;;5;1067.6;;;;;75672;31;;;4347;;
TAE;01.01.1973 00:00;7.3;30.1;-15.8;;;;81.1;9;955.5;;;;;1.3;;;4.7;1040.6;;;;;79860;31;;;4145.5;;
TAE;01.01.1974 00:00;8.2;32.7;-10;;;;83.6;9.7;953.2;;;;;1.8;;;6.8;1413.9;;;;;81090;32;;;3891.2;;
TAE;01.01.1975 00:00;7.8;30.7;-12.5;;;;85.2;9.6;955;;;;;;;;;1170.8;;;;;78606;32;;;4059.6;;
TAE;01.01.1976 00:00;7.7;31.3;-16.4;;;;78.6;8.7;953.6;;;;;;;;;1047.6;;;;;97380;38;;;4071;;
TAE;01.01.1977 00:00;8.2;31.8;-14.6;;;;83.7;9.6;953.2;;;;;2.2;;;10.1;1239.9;;;;;74694;30;;;3700.6;;
TAE;01.01.1978 00:00;7.1;28.5;-14;;;;82.4;8.8;953.2;;;;;1.8;;;6.8;1398.8;;;;;76698;30;;;4214.6;;
TAE;01.01.1979 00:00;7.8;30.2;-18.1;;;;82.9;9.4;952.5;;;;;1.7;;;7.2;1367.5;;;;;79740;31;;;3998.6;;
TAE;01.01.1980 00:00;7.3;30;-14.8;;;;82.3;9;953.2;;;;;1.8;;;7.2;1189.6;;;;;74754;30;;;4117.9;;
TAE;01.01.1981 00:00;8;29.2;-22.3;8;36.6;-26.3;80.2;9.2;953.6;;;;;1.7;24.5;88.2;7.2;1532;124;;;;81785;34;610.7;38.8;3836.1;1948.1;1151.6
TAE;01.01.1982 00:00;8.5;29.4;-16.8;8.8;37.7;-19.6;79.1;9.3;954.8;;;;;1.6;24.3;87.5;6.5;1214.9;125;;;;78492;33;641.6;54.7;3707.7;1859.7;817.6
TAE;01.01.1983 00:00;8.8;36.1;-16.6;8.7;40.7;-20.9;77.6;9.3;955.4;;;;;1.8;24;86.4;6.8;992.9;131;;;;82865;35;682;109.9;3698.1;1842.1;532.7
TAE;01.01.1984 00:00;7.7;34.8;-15.7;7.6;38.2;-20.6;77.3;8.4;953.6;;;;;1.8;25;90;7.2;1131.6;126;;;;81380;34;638.7;29.4;4030.5;1982.5;678.7
TAE;01.01.1985 00:00;7.5;32.8;-26.6;7.5;40.6;-32.1;78.5;8.8;954.1;;;;;2;25.3;91.1;7.6;925;133;;;;93175;39;666.8;51.9;4043.4;2187.4;467.5
TAE;01.01.1986 00:00;7.7;32.7;-21.4;7.5;140;-25.3;78.3;8.8;954.3;;;;;2;33.9;122;7.9;1227.1;126;;;;86543;36;651.6;66.1;4068.4;2108.4;773.8
TAE;01.01.1987 00:00;7.6;30.5;-29.9;7.7;36.1;-33;80.3;9;954.4;;;;;1.9;22.9;82.4;7.9;1085.5;116;;;;71752;30;604;62.2;4087.1;2127.1;710.7
TAE;01.01.1988 00:00;8.9;31.6;-15.6;8.9;37.6;-20.6;79.4;9.6;954.3;;;;;2.1;29.7;106.9;7.9;1264.8;126;;;;84264;35;663.1;52.8;3473.9;1681.9;862.4
TAE;01.01.1989 00:00;8.8;32.3;-11.6;8.9;37.6;-15.8;78.2;9.3;956.1;;;;;1.8;29.7;106.9;7.2;1010.6;129;;;;96131;40;679.6;47.2;3596.1;1700.1;544.9
TAE;01.01.1990 00:00;9.1;31.9;-10.6;9;36.6;-14.3;76.5;9.2;955.9;;;;;1.9;32.9;118.4;7.2;1220.8;131;;;;100368;42;695.5;61;3393.2;1609.2;716.6
TAE;01.01.1991 00:00;8;31.8;-15.6;8.1;37.8;-19.4;79.4;9.1;955.8;1019.8;;;;1.7;24.4;87.8;6.5;999.9;129;;;;92113;39;652;75.8;4039.4;2039.4;537.9
TAE;01.01.1992 00:00;8.9;33.1;-16;9.1;38.2;-20.7;78.4;9.5;955.6;1019.4;;;;1.8;25;90;7.2;1153.3;126;;;;88530;37;670.8;113.1;3614.7;1830.7;705
TAE;01.01.1993 00:00;8.5;31.2;-17;8.6;35.3;;78.1;9.3;955.3;1019.1;;;;1.8;25.4;91.4;7.2;1168.5;125;;;;84325;35;663.4;57.8;3624.6;1800.6;739.7
TAE;01.01.1994 00:00;9.9;33.1;-16.2;9.9;37.4;-19.6;78.8;10.2;954.6;1018;;;;1.8;24.6;88.6;7.2;1274.5;123;;;;82206;35;676.3;141.9;3307.7;1467.7;879.2
TAE;01.01.1995 00:00;8.7;32.6;-19.7;8.8;40.1;-23.1;77.9;9.4;954.4;1018.1;;;;1.8;27.4;98.6;7.2;1428.4;125;;;;85192;36;652.9;89.9;3684.6;1796.6;1008.2
TAE;01.01.1996 00:00;7.5;30.5;-15.2;7.8;38;-19.2;79.1;8.7;953;1016.9;;;;1.7;21.7;78.1;6.1;1075.5;125;;;;88030;37;624;48.3;4159.8;2135.8;625.8
TAE;01.01.1997 00:00;8.7;29.4;-13.1;8.9;37.1;-14.7;77.8;9.3;955.4;1019.2;;;;1.7;24.9;89.6;6.8;1005.3;134;;;;98961;42;674.2;47.6;3634.7;1786.7;542.1
TAE;01.01.1998 00:00;8.8;33;-15.5;8.9;41.5;-21;75.7;9.1;955;1018.8;;;;1.8;26.6;95.8;7.2;1162.8;130;;;;92797;39;681;85.2;3664.6;1792.6;688
TAE;01.01.1999 00:00;8.7;30.7;-16.4;8.8;37.7;-20.2;80.1;9.7;954.1;1017.8;;;;1.7;31.6;113.8;6.8;1419.2;123;;;;84722;36;626.3;53.8;3558.7;1814.7;1050.1
TAE;01.01.2000 00:00;9.6;30.7;-18.4;9.7;40.4;-23.1;77.7;9.8;954.5;1017.9;;;;1.6;27.9;100.4;6.8;1127.7;130;;;;97243;41;672.4;67.3;3267.4;1499.4;663.4
TAE;01.01.2001 00:00;8.9;31.2;-13.9;8.9;37.3;-19;79;9.6;954.2;1017.8;;;;1.9;22;79.2;7.6;1582;127;;;;91658;39;664.3;72.4;3528.7;1712.7;1130.9
TAE;01.01.2002 00:00;9.4;32.6;-13;9.2;36;-14.7;79.3;9.8;954.1;1017.6;;;;1.8;26.4;95;7.2;1358.2;128;;;;93284;39;666.4;66.1;3386.5;1538.5;922.8
