station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
VIO;01.01.1912 00:00;7.1;;;;;;;;;;;;;;;;;1338;;;;;;;;;;;
VIO;01.01.1913 00:00;7.7;;;;;;;;;;;;;;;;;1383;;;;;;;;;;;
VIO;01.01.1914 00:00;7.4;;;;;;;;;;;;;;;;;1449;;;;;;;;;;;
VIO;01.01.1915 00:00;7.3;;;;;;;;;;;;;;;;;1306;;;;;;;;;;;
VIO;01.01.1916 00:00;7.6;;;;;;;;;;;;;;;;;1833;;;;;;;;;;;
VIO;01.01.1917 00:00;6.8;;;;;;;;;;;;;;;;;1606;;;;;;;;;;;
VIO;01.01.1918 00:00;7.9;;;;;;;;;;;;;;;;;1353;;;;;;;;;;;
VIO;01.01.1919 00:00;7.2;;;;;;;;;;;;;;;;;1338;;;;;;;;;;;
VIO;01.01.1920 00:00;8.4;;;;;;;;;;;;;;;;;1629;;;;;;;;;;;
VIO;01.01.1921 00:00;8.7;;;;;;;;;;;;;;;;;715;;;;;;;;;;;
VIO;01.01.1922 00:00;7.5;;;;;;;;;;;;;;;;;1748;;;;;;;;;;;
VIO;01.01.1923 00:00;8.2;;;;;;;;;;;;;;;;;1481;;;;;;;;;;;
VIO;01.01.1924 00:00;7.8;;;;;;;;;;;;;;;;;1354;;;;;;;;;;;
VIO;01.01.1925 00:00;7.4;;;;;;;;;;;;;;;;;1455;;;;;;;;;;;
VIO;01.01.1926 00:00;8.5;;;;;;;;;;;;;;;;;2103;;;;;;;;;;;
VIO;01.01.1927 00:00;8.1;;;;;;;;;;;;;;;;;1764;;;;;;;;;;;
VIO;01.01.1928 00:00;8.5;;;;;;;;;;;;;;;;;1829;;;;;;;;;;;
VIO;01.01.1929 00:00;7.2;;;;;;;;;;;;;;;;;1231;;;;;;;;;;;
