station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
VIS;01.01.1980 00:00;7.8;31.6;-17.3;;;;74;8.2;;;;;;3.2;;;12.2;656.8;;;;;100158;;;;3908;;
VIS;01.01.1981 00:00;8.3;32.3;-18.4;8;35.3;-19.9;72;8.2;;;;;;3.1;26.1;94;12.2;883.4;143;;;;100226;52;;55.1;3659.6;1947.6;229.7
VIS;01.01.1982 00:00;9.2;31;-14.2;9.1;37.3;-16.5;70.2;8.4;;;;;;2.7;27.4;98.6;10.8;593.9;151;;;;114298;60;;94.7;3540.9;1740.9;-150
VIS;01.01.1983 00:00;8.4;36.1;-18.3;8.2;39.1;-19.9;71.6;8.1;;;;;;3.1;28.4;102.2;12.2;566.5;145;;;;101801;53;;110.7;3811.2;1971.2;-125.7
VIS;01.01.1984 00:00;8.4;32.6;-14.3;7.8;34.6;-17.5;68.6;7.7;;;;;;3.1;24.1;86.8;12.6;553.4;152;;;;112463;58;;53.5;3745.5;1865.5;-222.3
VIS;01.01.1985 00:00;8.2;33.4;-19.5;7.4;35;-23.2;70.3;7.9;;;;;;3.1;25.1;90.4;12.6;592.8;157;;;;121551;63;;81.1;3786.1;2058.1;-241.4
VIS;01.01.1986 00:00;8.8;32.9;-17.7;7.8;37.3;-20.8;70;8.2;;;;;;3.3;33;118.8;13.3;810.4;146;;;;111881;58;;106.8;3590;1878;72.9
VIS;01.01.1987 00:00;8.8;32.4;-15.9;7.9;39.5;-20.3;70.8;8.3;;;;;;3.1;23.5;84.6;12.2;631.4;142;;;;104155;54;;92.2;3595.1;1875.1;-80.5
VIS;01.01.1988 00:00;9.6;33.2;-12.5;8.6;35.9;-13.5;70.8;8.8;942.7;;;;;3.3;24.5;88.2;13.3;585.2;146;;;;103893;54;929.4;87.1;3288.5;1632.5;-90.7
VIS;01.01.1989 00:00;9.1;32.2;-14.2;7.8;34.3;-17.9;69.3;8.3;944.4;;;;;2.8;25.6;92.2;11.2;468.2;149;;;;116343;61;942.1;86.4;3463.6;1799.6;-296.3
