station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
VIT;01.01.1985 00:00;;;;;;;;;;;;;;;;;;1200.2;;;;;;;;;;;
VIT;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1251.9;;;;;;;;;;;
VIT;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1523.6;;;;;;;;;;;
VIT;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1662.7;;;;;;;;;;;
VIT;01.01.1989 00:00;;;;;;;;;;;;;;;;;;1017.3;;;;;;;;;;;
VIT;01.01.1990 00:00;;;;;;;;;;;;;;;;;;1554.1;;;;;;;;;;;
VIT;01.01.1991 00:00;;;;;;;;;;;;;;;;;;1263.9;;;;;;;;;;;
VIT;01.01.1992 00:00;;;;;;;;;;;;;;;;;;1439.3;;;;;;;;;;;
VIT;01.01.1993 00:00;;;;;;;;;;;;;;;;;;1359.6;;;;;;;;;;;
VIT;01.01.1994 00:00;;;;;;;;;;;;;;;;;;1455.4;;;;;;;;;;;
VIT;01.01.1995 00:00;;;;;;;;;;;;;;;;;;1734.8;;;;;;;;;;;
VIT;01.01.1996 00:00;;;;;;;;;;;;;;;;;;1307.7;;;;;;;;;;;
VIT;01.01.1997 00:00;;;;;;;;;;;;;;;;;;1446.3;;;;;;;;;;;
VIT;01.01.1998 00:00;;;;;;;;;;;;;;;;;;1228.8;;;;;;;;;;;
VIT;01.01.1999 00:00;;;;;;;;;;;;;;;;;;1727.1;;;;;;;;;;;
VIT;01.01.2000 00:00;;;;;;;;;;;;;;;;;;1503.7;;;;;;;;;;;
VIT;01.01.2001 00:00;;;;;;;;;;;;;;;;;;1869.1;;;;;;;;;;;
VIT;01.01.2002 00:00;;;;;;;;;;;;;;;;;;1625.7;;;;;;;;;;;
VIT;01.01.2003 00:00;;;;;;;;;;;;;;;;;;1100.9;;;;;;;;;;;
VIT;01.01.2004 00:00;;;;;;;;;;;;;;;;;;1341.2;;;;;;;;;;;
VIT;01.01.2005 00:00;;;;;;;;;;;;;;;;;;1090.9;;;;;;;;;;;
VIT;01.01.2006 00:00;;;;;;;;;;;;;;;;;;1652.8;;;;;;;;;;;
VIT;01.01.2007 00:00;;;;;;;;;;;;;;;;;;1663.5;;;;;;;;;;;
VIT;01.01.2008 00:00;;;;;;;;;;;;;;;;;;1455.2;;;;;;;;;;;
VIT;01.01.2009 00:00;;;;;;;;;;;;;;;;;;1245.4;;;;;;;;;;;
VIT;01.01.2010 00:00;;;;;;;;;;;;;;;;;;1171.7;;;;;;;;;;;
VIT;01.01.2011 00:00;;;;;;;;;;;;;;;;;;1055.8;;;;;;;;;;;
VIT;01.01.2012 00:00;;;;;;;;;;;;;;;;;;1606;;;;;;;;;;;
VIT;01.01.2013 00:00;;;;;;;;;;;;;;;;;;1584.2;;;;;;;;;;;
VIT;01.01.2014 00:00;;;;;;;;;;;;;;;;;;1288.4;;;;;;;;;;;
VIT;01.01.2015 00:00;8.8;33.9;-11.1;;;;80.4;9.4;;;;;;3.4;22.8;82.1;12.2;878.9;;;;;;;;149.6;3755.4;1779.4;
VIT;01.01.2016 00:00;8.1;29.1;-14.6;;;;;;;;;;;;24.4;87.8;;1371.7;;;;;;;;54.6;3942;1942;
VIT;01.01.2017 00:00;8.2;30.5;-12.4;;;;81.3;9.4;;;;;;3.4;25.5;91.8;12.2;1048.3;;;;;;;;92.1;3937.9;1961.9;
VIT;01.01.2018 00:00;9;29.7;-14.9;;;;81.1;9.7;;;;;;3.5;28.5;102.6;12.6;1022.4;;;;;;;;78.3;3487.9;1775.9;
VIT;01.01.2019 00:00;8.5;33.1;-12.7;;;;81.5;9.5;;;;;;3.5;23.6;85;12.6;1166.6;;;;;;;;98.4;3801.7;1849.7;
VIT;01.01.2020 00:00;9.1;31.8;-9.3;;;;77.7;9.3;;;;;;3.5;24.9;89.6;12.6;1155.1;;;;;;;;75.6;3498.6;1658.6;
VIT;01.01.2021 00:00;7.8;28.6;-13.6;;;;78.4;8.8;;;;;;3.5;26.3;94.7;12.6;1290;;;;;;;;34.5;3940.3;2004.3;
VIT;01.01.2022 00:00;9.7;32.1;-10.4;;;;77.3;9.7;;;;;;3.4;23.7;85.3;12.2;1061;;;;;;;;129.6;3322.5;1610.5;
VIT;01.01.2023 00:00;9.5;34;-15.6;;;;79.7;9.8;;;;;;3.7;27.2;97.9;13.3;1399.7;;;;;;;;;;;
VIT;01.01.2024 00:00;9.3;30.7;-12.8;;;;87.4;10.9;;;;;;3.4;27;97.2;12.2;1235.4;;;;;;;;93.5;3442.2;1594.2;
