station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
WAE;01.01.1961 00:00;;;;;;;;;;;;;;;;;;1289.7;;;;;;;;;;;
WAE;01.01.1962 00:00;;;;;;;;;;;;;;;;;;1223.5;;;;;;;;;;;
WAE;01.01.1963 00:00;;;;;;;;;;;;;;;;;;1235.2;;;;;;;;;;;
WAE;01.01.1964 00:00;;;;;;;;;;;;;;;;;;1081.6;;;;;;;;;;;
WAE;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1634.6;;;;;;;;;;;
WAE;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1504.1;;;;;;;;;;;
WAE;01.01.1967 00:00;;;;;;;;;;;;;;;;;;1219.4;;;;;;;;;;;
WAE;01.01.1968 00:00;;;;;;;;;;;;;;;;;;1372.9;;;;;;;;;;;
WAE;01.01.1969 00:00;;;;;;;;;;;;;;;;;;1127.2;;;;;;;;;;;
WAE;01.01.1970 00:00;;;;;;;;;;;;;;;;;;1586.6;;;;;;;;;;;
WAE;01.01.1971 00:00;;;;;;;;;;;;;;;;;;1083.2;;;;;;;;;;;
WAE;01.01.1972 00:00;;;;;;;;;;;;;;;;;;1212.7;;;;;;;;;;;
WAE;01.01.1973 00:00;;;;;;;;;;;;;;;;;;1193.2;;;;;;;;;;;
WAE;01.01.1974 00:00;;;;;;;;;;;;;;;;;;1531.3;;;;;;;;;;;
WAE;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1421;;;;;;;;;;;
WAE;01.01.1976 00:00;;;;;;;;;;;;;;;;;;1226.4;;;;;;;;;;;
WAE;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1376.1;;;;;;;;;;;
WAE;01.01.1978 00:00;;;;;;;;;;;;;;;;;;1425.1;;;;;;;;;;;
WAE;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1580.1;;;;;;;;;;;
WAE;01.01.1980 00:00;;;;;;;;;;;;;;;;;;1350.4;;;;;;;;;;;
WAE;01.01.1981 00:00;8.8;29.8;-11.6;9.1;36;-14.5;74;8.9;;;;;;1.9;25.4;91.4;6.8;1601;123;;;;80998;33;;72.5;3543.8;1791.8;1162.2
WAE;01.01.1982 00:00;9.5;29.9;-9.4;9.3;32.7;-14.6;73.2;9.1;;;;;;1.6;24;86.4;5.8;1445;125;;;;87353;36;;96.6;3413.9;1661.9;963.8
WAE;01.01.1983 00:00;9.5;35.5;-10.3;9.4;39.4;-13.7;71.9;8.9;;;;;;1.4;24.9;89.6;5;1310.1;129;;;;85509;35;;169.8;3462.6;1702.6;819.8
WAE;01.01.1984 00:00;8.5;34.8;-8.1;8.7;37.8;-12.8;71.1;8.1;;;;;;1.3;25;90;4.7;1254.8;126;;;;83080;34;;60.7;3744.2;1816.2;750
WAE;01.01.1985 00:00;8.4;31.8;-19.9;8.7;37.7;-23.2;74.4;8.9;;;;;;1.7;31.1;112;6.1;1138.7;132;;;;99027;41;;79.3;3741.9;1973.9;641.6
WAE;01.01.1986 00:00;8.7;32.8;-14.6;8.5;38.1;-18;75.6;9.1;;;;;;1.8;28.9;104;6.5;1479.8;125;;;;96083;39;;117.7;3603.3;1867.3;985.5
WAE;01.01.1987 00:00;8.7;30.5;-19;8.3;33.6;-21;74.2;8.9;;;;;;1.7;26.7;96.1;6.1;1467.4;115;;;;78061;32;;101.5;3750.2;1870.2;1026.5
WAE;01.01.1988 00:00;9.7;31.8;-8.8;9.1;34.4;-12.3;74.7;9.5;961.3;;;;;1.8;28.6;103;6.8;1547.6;123;;;;89746;37;691.7;77.1;3231.5;1527.5;1098.7
WAE;01.01.1989 00:00;9.6;29.7;-5.6;9.2;34.4;-9.8;76.9;9.6;963;;;;;1.6;25;90;6.1;1304.8;127;;;;99105;41;689.1;70.8;3305;1545;836.6
WAE;01.01.1990 00:00;9.8;32.7;-8.1;9.2;37;-11.9;75.2;9.5;962.8;;;;;1.8;30.1;108.4;6.5;1388.3;130;;;;105549;43;703.9;98.6;3170.6;1490.6;884.2
WAE;01.01.1991 00:00;9;32.1;-12.6;8.8;36.7;-14.4;75.8;9.4;962.6;1020.3;;;;1.7;27.2;97.9;6.5;1233.5;128;;;;97841;40;686.1;137.6;3695.9;1807.9;743.8
WAE;01.01.1992 00:00;9.6;31.9;-11;9.3;37.4;-15.2;76.7;9.8;962.5;1020.1;;;;1.7;31.3;112.7;6.1;1400.1;126;;;;90772;37;694;148.9;3405.5;1685.5;950.2
WAE;01.01.1993 00:00;9.3;30.7;-11;8.9;34.4;-14.2;76.5;9.5;962.2;1019.8;;;;1.8;26;93.6;6.8;1349.6;124;;;;89924;37;682.1;85.5;3365.5;1653.5;915.3
WAE;01.01.1994 00:00;10.6;32.8;-7.8;10.2;37.5;-12.1;77.5;10.4;960.7;1017.9;;;;1.8;26.7;96.1;6.5;1536.5;120;;;;86971;36;684.8;191.3;3081.5;1337.5;1123.6
WAE;01.01.1995 00:00;9.4;33.5;-11.4;9.2;36.2;-15.8;77.3;9.7;960.1;1017.6;;;;1.9;36.5;131.4;6.8;1654.5;125;;;;93522;38;665.9;122;3417.1;1633.1;1233.6
WAE;01.01.1996 00:00;8.5;30.6;-11;8.3;35.7;-14;77.3;9.1;958.5;1016.1;;;;1.8;28.6;103;6.5;1201.5;125;;;;92319;38;656.1;67.6;3787.7;1859.7;751.1
WAE;01.01.1997 00:00;9.6;29.1;-9.7;9.4;35;-9.3;76.5;9.7;960.9;1018.4;;;;1.7;24.9;89.6;6.5;1245.6;131;;;;100438;41;693.1;86.5;3273.2;1561.2;779.4
WAE;01.01.1998 00:00;9.6;33.5;-8;9.2;38.8;-11.8;74.1;9.4;961.2;1018.7;;;;1.8;24.8;89.3;6.8;1305;130;;;;98842;41;706.5;139.9;3357.3;1629.3;817.7
WAE;01.01.1999 00:00;9.4;30.7;-11.8;9.3;36.3;-15.8;77.8;9.9;959.9;1017.4;;;;1.7;36.4;131;6.1;1829.4;125;;;;91527;38;659.2;91.9;3342.8;1670.8;1426.7
WAE;01.01.2000 00:00;10.4;31.7;-10.4;10.2;36.1;-15.2;75.2;9.9;960.4;1017.6;;;;1.7;27.9;100.4;5.8;1337.7;128;;;;100027;41;705.6;111.4;3065.6;1369.6;852
WAE;01.01.2001 00:00;9.8;31.4;-12.3;10;37.8;-14.5;75.8;9.8;960.3;1017.7;;;;1.7;21.4;77;6.5;1625.8;124;;;;97909;40;684.7;132.8;3190.6;1526.6;1155.8
WAE;01.01.2002 00:00;10.4;33.5;-8.9;10.5;37;-12.3;75.6;10;960.1;1017.3;;;;1.7;22.8;82.1;6.1;1523.1;128;;;;98228;40;699;120.6;3096.6;1344.6;1037.7
WAE;01.01.2003 00:00;10.3;35.5;-9.8;10.6;39.9;-13.5;72.8;9.8;961.4;1018.7;;;;1.7;27.8;100.1;5.8;1096.1;143;;;;120700;49;791;358.6;3342.3;1718.3;462.1
WAE;01.01.2004 00:00;9.7;30.1;-8;9.9;35.8;-11.7;75.2;9.6;960.7;1018.2;;;;1.7;24.2;87.1;6.5;1319.6;130;;;;96374;39;697.3;114.5;3265;1609;838.9
WAE;01.01.2005 00:00;9.4;32.8;-13.4;9.3;37.6;-18.1;75.3;9.7;961.6;1019.2;;;;1.7;22.8;82.1;6.1;1247;136;;;;104917;42;690.2;147.9;3420.8;1708.8;755.4
WAE;01.01.2006 00:00;9.9;33.5;-9.7;9.9;39.5;-12.4;76.6;10.1;961.4;1018.8;;;1018.6;1.6;28.2;101.5;5.8;1221.4;130;;;;99798;40;698;210.2;3240.6;1648.6;742.2
WAE;01.01.2007 00:00;10.4;33.2;-8.7;10.3;37.9;-9.9;75.1;9.9;961.3;1018.7;;;1018.5;1.8;25.8;92.9;6.5;1565.7;130;;;;105383;43;;105.9;3013.8;1389.8;1084.9
WAE;01.01.2008 00:00;9.9;31.8;-7.2;9.9;39;-12;75.8;9.8;960;1017.5;;;1017.3;1.7;22.3;80.3;6.1;1309.1;133;;;;100951;41;703;120.8;3299.7;1547.7;858.7
WAE;01.01.2009 00:00;10.1;31.6;-12.1;10.3;37.4;-18.4;75.3;10;958.9;1016.3;;;1016.1;1.7;30.6;110.2;6.1;1327.2;141;;;;104367;42;744.7;148.3;3124.6;1572.6;832
WAE;01.01.2010 00:00;9.1;33.3;-9;9.2;;;75.7;9.5;957.3;1014.9;;;1014.5;1.7;30.7;110.5;6.1;1468.7;133;;;;94885;39;693.2;152.9;3548.6;1772.6;
WAE;01.01.2011 00:00;10.7;32.5;-8.5;10.7;37.1;-10.9;75;10.1;961.8;1019.3;;;1019.2;1.6;27.9;100.4;5.8;1263.4;151;;;;120117;49;771.3;118.6;2875.6;1331.6;711.5
WAE;01.01.2012 00:00;10;32.3;-15;10;36.9;-18.4;76.6;10.2;960.3;1017.8;;;1017.6;1.8;26.1;94;6.5;1475.8;139;;;;108320;44;725.3;154.4;3221.6;1557.6;993
WAE;01.01.2013 00:00;9.4;34.5;-9.9;9.4;38.4;-13.8;77.7;9.9;959.2;1016.8;;;1016.4;1.6;32.5;117;5.8;1226.4;132;;;;97320;40;685.7;169.5;3403.5;1723.5;771
WAE;01.01.2014 00:00;10.9;33.5;-9.8;10.8;;;76.8;10.4;958.7;1016;;;1016;1.6;29.6;106.6;5.8;1377.5;139;;;;106080;43;714.4;84.7;2694.1;1166.1;
WAE;01.01.2015 00:00;10.8;34.3;-6.3;10.6;38.8;-9;74;10;962.4;1019.9;;;1019.8;1.7;26.4;95;6.1;1178.6;142;;;;114753;47;762.3;270.4;2993.8;1385.8;595.2
WAE;01.01.2016 00:00;10.3;31.9;-9.6;10.2;37;-13.4;77.6;10.3;960.7;1018.2;;;1018;1.7;25.9;93.2;6.1;1436.8;134;;;;99179;40;709.2;174.7;3200;1472;984.4
WAE;01.01.2017 00:00;10.5;32.8;-11;10.4;37;-15.5;74.3;10;961.6;1019.2;;;1019;1.8;29.9;107.6;6.5;1390;144;;;;111897;45;776.4;231.6;3143.2;1487.2;
WAE;01.01.2018 00:00;11.4;34.2;-11.7;11.6;39.6;-13.3;73.2;10.4;959.2;1016.4;;;1016.5;1.9;41.9;150.8;6.8;1027.4;147;;;;113668;46;840.3;270;2805.5;1333.5;
WAE;01.01.2019 00:00;10.8;34.6;-6.6;10.7;40.6;-9.1;73.9;10.1;959.7;1017.1;;;1017;1.9;25.8;92.9;6.8;1418.8;144;;;;109716;45;773.5;219.7;3024.1;1352.1;878.4
WAE;01.01.2020 00:00;11.1;33.1;-4.9;11;37.1;-7;73.6;10.1;960.8;1018.2;;;1018.2;1.8;30.6;110.2;6.5;1252.5;150;;;;119035;48;797.3;174.4;2864.8;1272.8;656.7
