station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
WFJ;01.01.1959 00:00;-1.6;;;;;;74.1;4.4;734.3;;;;;5.3;;;19.1;936.1;;;;;122196;49;;;7878.6;;
WFJ;01.01.1960 00:00;-2.9;;;;;;80.4;4.4;731.5;;;;;5.7;;;20.5;1248.5;;;;;105504;42;;;8348.6;;
WFJ;01.01.1961 00:00;-1.4;;;;;;74.2;4.5;734.8;;;;;5.3;;;19.1;1193.6;;;;;128718;52;;;7798.6;;
WFJ;01.01.1962 00:00;-3.2;;;;;;75.4;4.2;732.6;;;;;5.3;;;19.1;1063.9;;;;;127032;50;;;8447.3;;
WFJ;01.01.1963 00:00;-2.6;;;;;;72.5;4.3;731.9;;;;;4.8;;;17.3;903.5;;;;;117564;48;;;8211.1;;
WFJ;01.01.1964 00:00;-1.8;;;;;;75.6;4.5;734.7;;;;;4.8;;;17.3;1151.9;;;;;118116;47;;;7950.6;;
WFJ;01.01.1965 00:00;-3.6;;;;;;76.8;4;731.6;;;;;5.7;;;20.5;1370.5;;;;;107520;42;;;8572.9;;
WFJ;01.01.1966 00:00;-2.7;;;;;;77.5;4.3;732.2;;;;;5.3;;;19.1;1295.7;;;;;108804;43;;;8262.3;;
WFJ;01.01.1967 00:00;-2.2;;;;;;73.4;4.3;734.4;;;;;5.7;;;20.5;1139.7;;;;;123786;49;;;8093.9;;
WFJ;01.01.1968 00:00;-2.8;;;;;;75.9;4.2;732.7;;;;;4.8;;;17.3;1302.4;;;;;117774;47;;;8303.9;;
WFJ;01.01.1969 00:00;-3;;;;;;76.7;4.2;732.1;;;;;3.9;;;14;881.3;;;;;118014;48;;;8361.6;;
WFJ;01.01.1970 00:00;-3.1;;;;;;74.8;4;732.6;;;;;4.8;;;17.3;1527;;;;;109806;44;;;8427.6;;
WFJ;01.01.1971 00:00;-2.2;19.1;-32.1;;;;72.8;4.2;734.3;;;;;2.9;;;10.4;803.8;;;;;133266;54;;;8051.9;;
