station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
WYN;01.01.1978 00:00;7.7;31;-10.2;;;;81;8.7;967.3;;;;;1.8;;;7.2;710.7;;;;;73842;28;;;3958.2;;
WYN;01.01.1979 00:00;8.3;31.8;-18.3;;;;79.8;9;967.1;;;;;1.7;;;6.8;1174.2;;;;;76110;29;;;3756.2;;
WYN;01.01.1980 00:00;7.6;30.9;-17.2;;;;80.3;8.7;968.1;;;;;1.8;;;6.8;1132.3;;;;;64020;25;;;3971;;
WYN;01.01.1981 00:00;8.2;30.9;-15.5;8.2;35.1;-22;74.8;8.5;968.4;;;;;1.7;20.2;72.7;6.1;1361.4;122;;;;71060;30;645.9;41.8;3716.8;1876.8;995.3
WYN;01.01.1982 00:00;8.9;31.1;-12.5;9.2;38.2;-14.9;77.7;9.2;969.5;;;;;1.7;21.7;78.1;6.8;1209.2;124;;;;75734;32;677.2;58;3568.3;1760.3;833.4
WYN;01.01.1983 00:00;8.9;36.3;-12.8;9;40.9;-16.7;79;9.3;970.3;;;;;1.8;22.3;80.3;6.8;1013.9;127;;;;77735;32;665.8;127.4;3711.9;1831.9;664
WYN;01.01.1984 00:00;8;32.8;-10.9;8;37.5;-15.4;79.3;8.8;968.1;;;;;1.8;23.7;85.3;7.2;1112.6;126;;;;82436;34;626;36.3;3898;1922;726.8
WYN;01.01.1985 00:00;7.8;32.4;-25.2;7.9;36.7;-20.4;77.9;8.8;968.5;;;;;2.1;23.7;85.3;7.9;860.7;131;;;;95950;40;686;50.6;3949.6;2109.6;450.8
WYN;01.01.1986 00:00;8.2;31.8;-15.9;8.3;39.1;-21.6;81.6;9.6;968.8;;;;;2;29.5;106.2;7.9;1246;122;;;;81067;34;641.1;76;3793;1977;927.8
WYN;01.01.1987 00:00;8.3;30.4;-22;8.3;37.1;-28.4;82.1;9.8;968.9;;;;;2;26.1;94;7.9;1129.5;117;;;;74888;31;618.4;67.5;3794.7;1914.7;844.1
WYN;01.01.1988 00:00;9.4;33.1;-11;9.6;40;-15.2;82;10.1;968.8;;;;;1.9;25.6;92.2;7.6;1286.1;124;;;;84093;35;667.4;57.5;3327.6;1591.6;955.6
WYN;01.01.1989 00:00;9.3;32.3;-7.9;9.3;37.8;-10;80.4;9.8;970.6;;;;;1.8;24.8;89.3;7.2;831.4;127;;;;95791;40;686.7;63.2;3442.7;1626.7;439.2
WYN;01.01.1990 00:00;9.6;33.8;-7.7;9.4;39.2;-13.2;78.3;9.8;970.5;;;;;1.9;34.3;123.5;7.6;1275.4;130;;;;98259;41;709.7;81.1;3232.4;1544.4;853.6
WYN;01.01.1991 00:00;8.4;31.6;-18.3;8.6;37.3;-21.8;80.2;9.5;970.3;1020.2;;;;1.8;23.1;83.2;7.6;885.6;128;;;;95562;40;670.4;87.7;3881.2;1937.2;499.8
WYN;01.01.1992 00:00;9.2;33.8;-13.1;9.3;39.9;-16.7;80.5;10;970.3;1020.1;;;;2;30.2;108.7;7.9;1097.8;123;;;;87192;36;681.6;120.8;3492.3;1748.3;734.8
WYN;01.01.1993 00:00;8.9;31.8;-13.1;9.2;;-17.1;79.9;9.6;970.1;1019.9;;;;1.9;25.9;93.2;7.6;1124.3;122;;;;84475;35;660.9;66.2;3540.6;1732.6;776.9
WYN;01.01.1994 00:00;10.5;33.8;-7.6;10.7;42.7;-12.5;80;10.7;969;1018.4;;;;1.8;23.6;85;6.8;1299.3;119;;;;82867;35;670.5;163.8;3117.4;1341.4;963.2
WYN;01.01.1995 00:00;9.3;33.8;-16.7;9.4;41.6;-20;79.6;9.9;968.4;1018.1;;;;1.8;32.2;115.9;7.2;1383.5;126;;;;89784;38;668.3;121.7;3463.4;1655.4;1018.1
WYN;01.01.1996 00:00;8.1;30.6;-12.8;8.5;35.9;-16.8;80;9.2;966.9;1016.6;;;;1.8;23.8;85.7;6.5;864.2;123;;;;89733;37;647.2;52.5;3881.3;1921.3;483.6
WYN;01.01.1997 00:00;9.1;31;-9.2;10.1;38.7;-11.4;80.2;9.8;969.4;1019.1;;;;1.7;26.6;95.8;7.2;852.6;131;;;;102444;43;678.8;63.4;3453.1;1685.1;461
WYN;01.01.1998 00:00;9;34.3;-13.6;9;37.7;-15.6;78.8;9.5;969.2;1019;;;;1.8;29.6;106.6;7.6;1157.9;130;;;;100003;42;687.4;104;3594;1770;747.2
WYN;01.01.1999 00:00;9;31.8;-16.1;9.7;36.8;-17;82;10.1;968.1;1017.8;;;;1.9;30.1;108.4;7.6;1332.2;123;;;;85761;36;652.9;64.5;3432.4;1760.4;1013.4
WYN;01.01.2000 00:00;9.8;31.3;-14.6;10.7;37.2;-20.2;80.4;10.1;968.6;1018.1;;;;1.6;22.3;80.3;6.8;1121.8;129;;;;98262;41;676.5;64.3;3188.8;1468.8;745.5
WYN;01.01.2001 00:00;9.3;31.1;-15.5;10.1;37.5;-20.6;80.5;10;968.5;1018.1;;;;1.9;26.3;94.7;7.6;1451.4;124;;;;92198;39;660.7;85.1;3374;1630;1083.4
WYN;01.01.2002 00:00;9.7;33.3;-10.6;10.2;39.2;-13;80.5;10.1;968.3;1017.8;;;;1.7;31;111.6;6.8;1289.6;125;;;;93415;39;661.6;80.2;3296;1464;916.3
