station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ALT;01.01.1864 00:00;8.5;;;;;;;;962.8;;;;;;;;;1166.7;;;;;;;;;3723.7;;
ALT;01.01.1865 00:00;9.9;;;;;;;;963.6;;;;;;;;;1035;;;;;;;;;3157.5;;
ALT;01.01.1866 00:00;10;;;;;;;;;;;;;;;;;1565.3;;;;;;;;;3164.2;;
ALT;01.01.1867 00:00;9.7;;;;;;;;965.2;;;;;;;;;1545.3;;;;;;;;;3347.7;;
ALT;01.01.1868 00:00;10.2;;;;;;;;965.9;;;;;;;;;1501.3;;;;;;;;;3189.7;;
ALT;01.01.1869 00:00;9.6;;;;;;;;964.5;;;;;;;;;1413.3;;;;;;;;;3212.6;;
ALT;01.01.1870 00:00;9;;;;;;;;963.3;;;;;;;;;1227.8;;;;;;;;;3615.3;;
ALT;01.01.1871 00:00;8.3;;;;;;;;965.5;;;;;;;;;1191.1;;;;;;;;;3822.6;;
ALT;01.01.1872 00:00;10.5;;;;;;;;964.1;;;;;;;;;1636.3;;;;;;;;;2857.7;;
ALT;01.01.1873 00:00;9.8;;;;;;;;964.7;;;;;;;;;1339.6;;;;;;;;;3339.9;;
ALT;01.01.1874 00:00;9.2;;;;;;;;965.1;;;;;;;;;1484.8;;;;;;;;;3549.2;;
ALT;01.01.1875 00:00;9.2;;;;;;;;;;;;;;;;;1374.9;;;;;;;;;;;
ALT;01.01.1876 00:00;9.7;;;;;;;;962.4;;;;;;;;;1553.4;;;;;;;;;3305.9;;
ALT;01.01.1877 00:00;9.8;;;;;;;;;;;;;;;;;1363;;;;;;;;;3382.8;;
ALT;01.01.1878 00:00;9.1;;;;;;;;963;;;;;;;;;1304.3;;;;;;;;;3415.2;;
ALT;01.01.1879 00:00;8.4;;;;;;;;962.7;;;;;;;;;1246.5;;;;;;;;;3791.1;;
ALT;01.01.1880 00:00;9.6;;;;;;;;964.6;;;;;;;;;1132.6;;;;;;;;;3254.9;;
ALT;01.01.1881 00:00;9.4;;;;;;;;963.6;;;;;;;;;1137.5;;;;;;;;;3512;;
ALT;01.01.1882 00:00;9.2;;;;;;;;963.2;;;;;;;;;1430.3;;;;;;;;;3358.4;;
ALT;01.01.1883 00:00;9.1;;;;;;;;962.2;;;;;;;;;1018.5;;;;;;;;;3426.1;;
ALT;01.01.1884 00:00;9.8;;;;;;;;961.8;;;;;;;;;875.6;;;;;;;;;3304.5;;
ALT;01.01.1885 00:00;9.6;;;;;;;;959.9;;;;;;;;;1134.7;;;;;;;;;3433.7;;
ALT;01.01.1886 00:00;9.6;;;;;;;;959.6;;;;;;;;;1245.3;;;;;;;;;3223.8;;
ALT;01.01.1887 00:00;8.3;;;;;;;;961;;;;;;;;;1020.4;;;;;;;;;3916.6;;
ALT;01.01.1888 00:00;8.8;;;;;;;;960.6;;;;;;;;;1182.7;;;;;;;;;3537.7;;
ALT;01.01.1889 00:00;8.4;;;;;;;;960.5;;;;;;;;;1191;;;;;;;;;3761.6;;
ALT;01.01.1890 00:00;8.6;;;;;;;;960.8;;;;;;;;;1119.4;;;;;;;;;3558.7;;
ALT;01.01.1891 00:00;8.5;;;;;;;;961.4;;;;;;;;;1315;;;;;;;;;3561.8;;
ALT;01.01.1892 00:00;9.6;;;;;;;;960;;;;;;;;;1173.6;;;;;;;;;3368.7;;
ALT;01.01.1893 00:00;10.2;;;;;;;;964.6;;;;;;;;;1019.2;;;;;;;;;3026.1;;
ALT;01.01.1894 00:00;9.9;;;;;;;;965;;;;;;;;;979.7;;;;;;;;;3100.4;;
ALT;01.01.1895 00:00;9.9;;;;;;;;962.2;;;;;;;;;978.3;;;;;;;;;3116;;
ALT;01.01.1896 00:00;9.3;;;;;;;;964.6;;;;;;;;;1426.8;;;;;;;;;3354.6;;
ALT;01.01.1897 00:00;10.4;;;;;;;;964.6;;;;;;;;;1244.1;;;;;;;;;3033.1;;
ALT;01.01.1898 00:00;10.3;;;;;;;;964.7;;;;;;;;;1300.8;;;;;;;;;2930.3;;
ALT;01.01.1899 00:00;10.5;;;;;;;;965.1;;;;;;;;;1016.3;;;;;;;;;2941.8;;
ALT;01.01.1900 00:00;10.6;;;;;;;;962.9;;;;;;;;;1196.5;;;;;;;;;2950.3;;
ALT;01.01.1901 00:00;9.1;;;;;;78.7;9.9;962.9;;;;;0.8;;;2.9;1263.1;;;;;;;;;3424.6;;
ALT;01.01.1902 00:00;8.9;;;;;;80.6;9.8;963.6;;;;;1.1;;;4;1027.1;;;;;;;;;3575.2;;
ALT;01.01.1903 00:00;9.1;;;;;;79.7;9.8;964.1;;;;;1.4;;;5;1007.2;;;;;;;;;3406.1;;
ALT;01.01.1904 00:00;9.6;;;;;;82.6;10.7;964.1;;;;;1.1;;;4;969.5;;;;;;;;;3402;;
ALT;01.01.1905 00:00;8.9;;;;;;79.2;9.9;964.3;;;;;1.1;;;4;1228.1;;;;;;;;;3593.3;;
