station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
AND;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1138.2;;;;;;;;;;;
AND;01.01.1902 00:00;;;;;;;;;;;;;;;;;;951.8;;;;;;;;;;;
AND;01.01.1903 00:00;;;;;;;;;;;;;;;;;;1066.1;;;;;;;;;;;
AND;01.01.1904 00:00;;;;;;;;;;;;;;;;;;835.8;;;;;;;;;;;
AND;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1004.4;;;;;;;;;;;
AND;01.01.1906 00:00;;;;;;;;;;;;;;;;;;807.3;;;;;;;;;;;
AND;01.01.1907 00:00;;;;;;;;;;;;;;;;;;915.5;;;;;;;;;;;
AND;01.01.1908 00:00;;;;;;;;;;;;;;;;;;990.5;;;;;;;;;;;
AND;01.01.1909 00:00;;;;;;;;;;;;;;;;;;958.1;;;;;;;;;;;
AND;01.01.1910 00:00;;;;;;;;;;;;;;;;;;1016.7;;;;;;;;;;;
AND;01.01.1912 00:00;;;;;;;;;;;;;;;;;;892;;;;;;;;;;;
AND;01.01.1914 00:00;;;;;;;;;;;;;;;;;;1082.4;;;;;;;;;;;
AND;01.01.1915 00:00;;;;;;;;;;;;;;;;;;886.4;;;;;;;;;;;
AND;01.01.1916 00:00;;;;;;;;;;;;;;;;;;1368.5;;;;;;;;;;;
AND;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1097.8;;;;;;;;;;;
AND;01.01.1918 00:00;;;;;;;;;;;;;;;;;;935.5;;;;;;;;;;;
AND;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1000.6;;;;;;;;;;;
AND;01.01.1920 00:00;;;;;;;;;;;;;;;;;;1008.3;;;;;;;;;;;
AND;01.01.1921 00:00;;;;;;;;;;;;;;;;;;600.7;;;;;;;;;;;
AND;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1350.8;;;;;;;;;;;
AND;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1096.8;;;;;;;;;;;
AND;01.01.1924 00:00;;;;;;;;;;;;;;;;;;1018.1;;;;;;;;;;;
AND;01.01.1925 00:00;;;;;;;;;;;;;;;;;;813.2;;;;;;;;;;;
AND;01.01.1926 00:00;;;;;;;;;;;;;;;;;;1245.6;;;;;;;;;;;
AND;01.01.1927 00:00;;;;;;;;;;;;;;;;;;1186;;;;;;;;;;;
AND;01.01.1928 00:00;;;;;;;;;;;;;;;;;;1321;;;;;;;;;;;
AND;01.01.1929 00:00;;;;;;;;;;;;;;;;;;872.3;;;;;;;;;;;
AND;01.01.1930 00:00;;;;;;;;;;;;;;;;;;898.5;;;;;;;;;;;
AND;01.01.1931 00:00;;;;;;;;;;;;;;;;;;1097.7;;;;;;;;;;;
AND;01.01.1932 00:00;;;;;;;;;;;;;;;;;;918.1;;;;;;;;;;;
AND;01.01.1933 00:00;;;;;;;;;;;;;;;;;;944.2;;;;;;;;;;;
AND;01.01.1934 00:00;;;;;;;;;;;;;;;;;;1097.3;;;;;;;;;;;
AND;01.01.1935 00:00;;;;;;;;;;;;;;;;;;1241;;;;;;;;;;;
AND;01.01.1936 00:00;;;;;;;;;;;;;;;;;;1036.1;;;;;;;;;;;
AND;01.01.1937 00:00;;;;;;;;;;;;;;;;;;939.7;;;;;;;;;;;
AND;01.01.1938 00:00;;;;;;;;;;;;;;;;;;842.3;;;;;;;;;;;
AND;01.01.1939 00:00;;;;;;;;;;;;;;;;;;1161.4;;;;;;;;;;;
AND;01.01.1940 00:00;;;;;;;;;;;;;;;;;;994;;;;;;;;;;;
AND;01.01.1941 00:00;;;;;;;;;;;;;;;;;;804.6;;;;;;;;;;;
AND;01.01.1942 00:00;;;;;;;;;;;;;;;;;;854.8;;;;;;;;;;;
AND;01.01.1943 00:00;;;;;;;;;;;;;;;;;;776.5;;;;;;;;;;;
AND;01.01.1944 00:00;;;;;;;;;;;;;;;;;;893.2;;;;;;;;;;;
AND;01.01.1945 00:00;;;;;;;;;;;;;;;;;;944.6;;;;;;;;;;;
AND;01.01.1946 00:00;;;;;;;;;;;;;;;;;;953.7;;;;;;;;;;;
AND;01.01.1947 00:00;;;;;;;;;;;;;;;;;;917.8;;;;;;;;;;;
AND;01.01.1948 00:00;;;;;;;;;;;;;;;;;;841.8;;;;;;;;;;;
AND;01.01.1949 00:00;;;;;;;;;;;;;;;;;;654.9;;;;;;;;;;;
AND;01.01.1950 00:00;;;;;;;;;;;;;;;;;;945.4;;;;;;;;;;;
AND;01.01.1951 00:00;;;;;;;;;;;;;;;;;;1288.7;;;;;;;;;;;
AND;01.01.1952 00:00;;;;;;;;;;;;;;;;;;954.5;;;;;;;;;;;
AND;01.01.1953 00:00;;;;;;;;;;;;;;;;;;739.3;;;;;;;;;;;
AND;01.01.1954 00:00;;;;;;;;;;;;;;;;;;1262.6;;;;;;;;;;;
AND;01.01.1955 00:00;;;;;;;;;;;;;;;;;;695.4;;;;;;;;;;;
AND;01.01.1956 00:00;;;;;;;;;;;;;;;;;;899.3;;;;;;;;;;;
AND;01.01.1957 00:00;;;;;;;;;;;;;;;;;;881.8;;;;;;;;;;;
AND;01.01.1958 00:00;;;;;;;;;;;;;;;;;;1131.9;;;;;;;;;;;
AND;01.01.1959 00:00;;;;;;;;;;;;;;;;;;664.2;;;;;;;;;;;
AND;01.01.1960 00:00;;;;;;;;;;;;;;;;;;1321.7;;;;;;;;;;;
AND;01.01.1961 00:00;;;;;;;;;;;;;;;;;;744.4;;;;;;;;;;;
AND;01.01.1962 00:00;;;;;;;;;;;;;;;;;;770.4;;;;;;;;;;;
AND;01.01.1963 00:00;;;;;;;;;;;;;;;;;;1193.7;;;;;;;;;;;
AND;01.01.1964 00:00;;;;;;;;;;;;;;;;;;746.5;;;;;;;;;;;
AND;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1016.5;;;;;;;;;;;
AND;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1215.5;;;;;;;;;;;
AND;01.01.1967 00:00;;;;;;;;;;;;;;;;;;1000.3;;;;;;;;;;;
AND;01.01.1968 00:00;;;;;;;;;;;;;;;;;;1054.5;;;;;;;;;;;
AND;01.01.1969 00:00;;;;;;;;;;;;;;;;;;882.9;;;;;;;;;;;
AND;01.01.1970 00:00;;;;;;;;;;;;;;;;;;920.6;;;;;;;;;;;
AND;01.01.1971 00:00;;;;;;;;;;;;;;;;;;691.7;;;;;;;;;;;
AND;01.01.1972 00:00;;;;;;;;;;;;;;;;;;665.6;;;;;;;;;;;
AND;01.01.1973 00:00;;;;;;;;;;;;;;;;;;930.5;;;;;;;;;;;
AND;01.01.1974 00:00;;;;;;;;;;;;;;;;;;918.4;;;;;;;;;;;
AND;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1021.8;;;;;;;;;;;
AND;01.01.1976 00:00;;;;;;;;;;;;;;;;;;1003.6;;;;;;;;;;;
AND;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1126.7;;;;;;;;;;;
AND;01.01.1978 00:00;;;;;;;;;;;;;;;;;;836.6;;;;;;;;;;;
AND;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1296.6;;;;;;;;;;;
AND;01.01.1980 00:00;;;;;;;;;;;;;;;;;;879.7;;;;;;;;;;;
AND;01.01.1981 00:00;;;;;;;;;;;;;;;;;;1267.5;;;;;;;;;;;
AND;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1123.9;;;;;;;;;;;
AND;01.01.1983 00:00;;;;;;;;;;;;;;;;;;1035.2;;;;;;;;;;;
AND;01.01.1984 00:00;;;;;;;;;;;;;;;;;;908.5;;;;;;;;;;;
AND;01.01.1985 00:00;;;;;;;;;;;;;;;;;;897.2;;;;;;;;;;;
AND;01.01.1986 00:00;;;;;;;;;;;;;;;;;;945.5;;;;;;;;;;;
AND;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1269.8;;;;;;;;;;;
AND;01.01.1988 00:00;;;;;;;;;;;;;;;;;;957.6;;;;;;;;;;;
AND;01.01.1989 00:00;;;;;;;;;;;;;;;;;;704.2;;;;;;;;;;;
AND;01.01.1990 00:00;;;;;;;;;;;;;;;;;;936.2;;;;;;;;;;;
AND;01.01.1991 00:00;;;;;;;;;;;;;;;;;;959.9;;;;;;;;;;;
AND;01.01.1992 00:00;;;;;;;;;;;;;;;;;;1016.4;;;;;;;;;;;
AND;01.01.1993 00:00;;;;;;;;;;;;;;;;;;1067.6;;;;;;;;;;;
AND;01.01.1994 00:00;;;;;;;;;;;;;;;;;;966.2;;;;;;;;;;;
AND;01.01.1995 00:00;;;;;;;;;;;;;;;;;;805.1;;;;;;;;;;;
