station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ARO;01.01.1890 00:00;;;;;;;;;;;;;;;;;;1405;;;;;;;;;;;
ARO;01.01.1891 00:00;;;;;;;;;;;;;;;;;;1404;;;;;;;;;;;
ARO;01.01.1892 00:00;;;;;;;;;;;;;;;;;;1251;;;;;;;;;;;
ARO;01.01.1893 00:00;;;;;;;;;;;;;;;;;;1053;;;;;;;;;;;
ARO;01.01.1894 00:00;;;;;;;;;;;;;;;;;;1201;;;;;;;;;;;
ARO;01.01.1895 00:00;;;;;;;;;;;;;;;;;;1069;;;;;;;;;;;
ARO;01.01.1896 00:00;;;;;;;;;;;;;;;;;;1464;;;;;;;;;;;
ARO;01.01.1897 00:00;;;;;;;;;;;;;;;;;;1208;;;;;;;;;;;
ARO;01.01.1898 00:00;;;;;;;;;;;;;;;;;;1265;;;;;;;;;;;
ARO;01.01.1899 00:00;;;;;;;;;;;;;;;;;;1133;;;;;;;;;;;
ARO;01.01.1900 00:00;;;;;;;;;;;;;;;;;;1251.2;;;;;;;;;;;
ARO;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1341.2;;;;;92820;;;;;;
ARO;01.01.1902 00:00;;;;;;;;;;;;;;;;;;1249.8;;;;;96486;;;;;;
ARO;01.01.1903 00:00;;;;;;;;;;;;;;;;;;1255.9;;;;;98640;;;;;;
ARO;01.01.1904 00:00;;;;;;;;;;;;;;;;;;1193.2;;;;;101082;;;;;;
ARO;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1468.4;;;;;96366;;;;;;
ARO;01.01.1906 00:00;;;;;;;;;;;;;;;;;;1269.6;;;;;101274;;;;;;
