station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ATT;01.01.1994 00:00;-0.2;17.9;-18.5;;;;;;;;;;;3.6;33.6;121;13;;;;;;;;;;;;
ATT;01.01.1995 00:00;-1.4;17;-20;;;;;;;;;;;3.5;39.6;142.6;12.6;;;;;;;;;;;4810.6;
ATT;01.01.1997 00:00;-0.5;14.4;-49.5;;;;;;;;;;;3.3;37.5;135;;;;;;;;;;;;4568;
ATT;01.01.1998 00:00;-1;18.3;-19.6;;;;;;;;;;;3.6;40.6;146.2;13;;;;;;;;;;;;
ATT;01.01.1999 00:00;-1;15.9;-24.4;;;;;;;;;;;3.9;51.8;186.5;14;;;;;;;;;;;4716.1;
ATT;01.01.2000 00:00;-0.8;15.9;-18.1;;;;;;;;;;;3.6;38.7;139.3;13;;;;;;;;;;;;
ATT;01.01.2001 00:00;-0.9;15.8;-21.1;;;;;;;;;;;3.8;42.8;154.1;13.7;;;;;;;;;;;4706.5;
ATT;01.01.2002 00:00;-0.6;17.1;-18;;;;;;;;;;;3.4;31.9;114.8;12.2;;;;;;;;;;;4600.3;
ATT;01.01.2003 00:00;-0.2;18.3;-21.3;;;;;;;;;;;3.3;38.4;138.2;11.9;;;;;;;;;;;4439.7;
ATT;01.01.2004 00:00;-1.2;15.4;-20.6;;;;;;;;;;;3.5;34;122.4;12.6;;;;;;;;;;;4818.7;
ATT;01.01.2005 00:00;-2.3;16.8;-24.3;;;;;;;;;;;;35.3;127.1;;;;;;;;;;;;;
ATT;01.01.2006 00:00;-0.9;15.3;-23;;;;68.5;4.4;;;;;;3.6;32.5;117;13;;;;;;;;;;;4694.5;
ATT;01.01.2007 00:00;;15.1;-20.5;;;;;;;;;;;;36.7;132.1;;;;;;;;;;;;;
ATT;01.01.2008 00:00;-1.3;14.8;-19.7;;;;71.2;4.3;;;;;;4;37.8;136.1;14.4;;;;;;;;;;;4863.1;
ATT;01.01.2009 00:00;-1.3;16.4;-23.3;;;;69.8;4.4;;;;;;4.1;40.5;145.8;14.8;;;;;;;;;;;4828.6;
ATT;01.01.2010 00:00;;17.2;-22.7;;;;;;;;;;;;34.1;122.8;;;;;;;;;;;;;
ATT;01.01.2011 00:00;;17.6;-19.9;;;;;;;;;;;;;;;;;;;;;;;;;;
ATT;01.01.2013 00:00;-1.7;17.3;-22;;;;72.9;4.4;727.6;;;3043.2;1016.6;3.5;35.1;126.4;12.6;;173;;;;;;586.6;0;7816.4;4960.4;
ATT;01.01.2014 00:00;-0.7;16;-17.6;;;;75.5;4.6;728.3;;;3051;1017.4;3.4;34.1;122.8;12.2;;162;;;;;;553.2;0;7550.1;4638.1;
ATT;01.01.2015 00:00;0.1;19.8;-17.9;;;;69.1;4.6;731.3;;;3084.9;1021.4;3.3;29.8;107.3;11.9;;179;;;;;;;0;7155.7;4339.7;
ATT;01.01.2016 00:00;-0.7;17;-19.8;;;;71.7;4.4;729.6;;;3064.6;1019.1;3.5;37;133.2;12.6;;175;;;;;;598.2;0;7530.2;4658.2;
ATT;01.01.2017 00:00;;17.7;-22.1;;;;;;;;;;;3.2;39.9;143.6;11.5;;;;;;;;;;;;
ATT;01.01.2018 00:00;-0.1;16.8;-24.8;;;;73.5;4.9;729.1;;;3062.3;1018.6;3.4;38.3;137.9;12.2;;178;;;;;;;0;7299.5;4387.5;
ATT;01.01.2019 00:00;;21.1;-17.8;;;;;;729.3;;;;1018.9;3.8;40.8;146.9;13.7;;;;;;;;;;;;
ATT;01.01.2020 00:00;0.4;18.5;-16.7;;;;68.6;4.6;730.5;;;3078.8;1020.5;3.3;38.5;138.6;11.9;;186;;;;;;;0;7024;4184;
ATT;01.01.2021 00:00;-0.9;17;-19.4;;;;70.1;4.4;729.4;;;3063.4;1018.9;3.4;34.6;124.6;12.2;;181;;;;;;633.2;0;7594.2;4690.2;
ATT;01.01.2022 00:00;1;19.8;-17.5;;;;64.8;4.7;731.6;;;3090.4;1021.9;3.4;31.3;112.7;12.2;;194;;;;;;768.4;0;6837.3;4005.3;
ATT;01.01.2023 00:00;0.6;21;-19.8;;;;67;4.6;730.2;;;3074.2;1020;3.7;39.1;140.8;13.3;;178;;;;118806;50;705.8;0;6969.1;4177.1;
ATT;01.01.2024 00:00;0.6;20.1;-17.3;;;;70.5;4.8;730.4;;;3076.2;1020.3;3.7;41.5;149.4;13.3;;170;;;;107638;45;644.7;0;7042.8;4178.8;
