station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BAS;01.01.1864 00:00;8.7;;;;;;74.9;9.2;982.8;;;;;;;;;743.8;;;;;;;;;3694.1;;
BAS;01.01.1865 00:00;10.3;;;;;;73.9;9.9;982.8;;;;;;;;;814.7;;;;;;;;;3037;;
BAS;01.01.1866 00:00;10.5;;-4.9;;;;76.3;10.2;982.3;;;;;;;;;1079.4;;;;;;;;;2955.9;;
BAS;01.01.1867 00:00;9.7;;-12.5;;;;77.7;10.1;983;;;;;;;;;1154.1;;;;;;;;;3361.5;;
BAS;01.01.1868 00:00;10.8;;;;;;75.5;10.5;983.5;;;;;;;;;890.2;;;;;;;;;3050.1;;
BAS;01.01.1869 00:00;9.6;;-13.5;;;;75.8;9.7;983.1;;;;;;;;;901;;;;;;;;;3163.1;;
BAS;01.01.1870 00:00;9;;-15.8;;;;73.3;9.1;982.5;;;;;;;;;798.9;;;;;;;;;3696;;
BAS;01.01.1871 00:00;8.4;;;;;;75.9;9.3;983.1;;;;;;;;;712.8;;;;;;;;;3855;;
BAS;01.01.1872 00:00;10.5;;;;;;77.7;10.4;980.6;;;;;;;;;1257.1;;;;;;;;;3053.8;;
BAS;01.01.1873 00:00;10;;;;;;77.4;10.2;983.2;;;;;;;;;846.8;;;;;;;;;3289.8;;
BAS;01.01.1874 00:00;9.6;;;;;;75.6;9.7;985.3;;;;;;;;;754.3;;;;;;;;;3431;;
BAS;01.01.1875 00:00;9.5;;;;;;79.7;10.3;984.8;;;;;;;;;625.2;;;;;;;;;3395.8;;
BAS;01.01.1876 00:00;10.1;;;;;;;;982.3;;;;;;;;;805.6;;;;;;;;;3314.5;;
BAS;01.01.1877 00:00;10.2;35;-10.5;;;;;;982.8;;;;;;;;;733.5;;;;;;;;;3321.6;;
BAS;01.01.1878 00:00;9.5;31;-18;;;;;;982.7;;;;;;;;;841.8;;;;;;;;;3275.9;;
BAS;01.01.1879 00:00;8.1;33;-24;;;;;;982.7;;;;;1.7;;;6.1;682.6;;;;;;;;;4005.7;;
BAS;01.01.1880 00:00;10.2;32;-20;;;;;;984.3;;;;;;;;;900.8;;;;;;;;;3149.8;;
BAS;01.01.1881 00:00;9.7;35;-19;;;;;;983.4;;;;;2;;;7.2;792.2;;;;;;;;;3477.1;;
BAS;01.01.1882 00:00;10;30;-8;;;;;;984.4;;;;;2.7;;;9.7;841;;;;;;;;;3158.2;;
BAS;01.01.1883 00:00;9.5;;-12;;;;;;984;;;;;2.7;;;9.7;594.5;;;;;;;;;3309.8;;
BAS;01.01.1884 00:00;10;;-9;;;;;;984.8;;;;;2.7;;;9.7;492.5;;;;;;;;;3261.2;;
BAS;01.01.1885 00:00;9.3;;;;;;;;982.5;;;;;2.7;;;9.7;551.6;;;;;;;;;3561.5;;
BAS;01.01.1886 00:00;9.6;;;;;;;;982.5;;;;;2.4;;;8.6;743.6;;;;;106020;;;;3330.2;;
BAS;01.01.1887 00:00;8.2;;;;;;;;984.2;;;;;;;;;531;;;;;107358;;;;4072.7;;
BAS;01.01.1888 00:00;8.4;;;;;;;;983.7;;;;;;;;;675;;;;;94854;;;;3732;;
BAS;01.01.1889 00:00;8.6;;;;;;;;983.6;;;;;;;;;747.5;;;;;84762;;;;3765.8;;
