station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BEH;01.01.1909 00:00;;;;;;;;;;;;;;;;;;1670.9;;;;;;;;;;;
BEH;01.01.1912 00:00;;;;;;;;;;;;;;;;;;1329;;;;;;;;;;;
BEH;01.01.1913 00:00;;;;;;;;;;;;;;;;;;1422;;;;;;;;;;;
BEH;01.01.1914 00:00;;;;;;;;;;;;;;;;;;1631.4;;;;;;;;;;;
BEH;01.01.1915 00:00;;;;;;;;;;;;;;;;;;1513.4;;;;;;;;;;;
BEH;01.01.1916 00:00;;;;;;;;;;;;;;;;;;1709.6;;;;;;;;;;;
BEH;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1522.5;;;;;;;;;;;
BEH;01.01.1918 00:00;;;;;;;;;;;;;;;;;;1117.4;;;;;;;;;;;
BEH;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1207.5;;;;;;;;;;;
BEH;01.01.1920 00:00;;;;;;;;;;;;;;;;;;1396.7;;;;;;;;;;;
BEH;01.01.1921 00:00;;;;;;;;;;;;;;;;;;721.6;;;;;;;;;;;
BEH;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1748.4;;;;;;;;;;;
BEH;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1435.8;;;;;;;;;;;
BEH;01.01.1924 00:00;;;;;;;;;;;;;;;;;;1427.8;;;;;;;;;;;
BEH;01.01.1925 00:00;;;;;;;;;;;;;;;;;;1320.5;;;;;;;;;;;
BEH;01.01.1926 00:00;;;;;;;;;;;;;;;;;;2205.4;;;;;;;;;;;
BEH;01.01.1927 00:00;;;;;;;;;;;;;;;;;;1784.5;;;;;;;;;;;
BEH;01.01.1928 00:00;;;;;;;;;;;;;;;;;;1825.6;;;;;;;;;;;
BEH;01.01.1929 00:00;;;;;;;;;;;;;;;;;;1203.8;;;;;;;;;;;
BEH;01.01.1930 00:00;;;;;;;;;;;;;;;;;;1382.9;;;;;;;;;;;
BEH;01.01.1931 00:00;;;;;;;;;;;;;;;;;;1549.5;;;;;;;;;;;
BEH;01.01.1932 00:00;;;;;;;;;;;;;;;;;;1173.8;;;;;;;;;;;
BEH;01.01.1933 00:00;;;;;;;;;;;;;;;;;;1251.4;;;;;;;;;;;
BEH;01.01.1934 00:00;;;;;;;;;;;;;;;;;;1288.4;;;;;;;;;;;
BEH;01.01.1935 00:00;;;;;;;;;;;;;;;;;;2388.6;;;;;;;;;;;
BEH;01.01.1936 00:00;;;;;;;;;;;;;;;;;;1805.7;;;;;;;;;;;
BEH;01.01.1937 00:00;;;;;;;;;;;;;;;;;;2220.3;;;;;;;;;;;
BEH;01.01.1938 00:00;;;;;;;;;;;;;;;;;;1233.8;;;;;;;;;;;
BEH;01.01.1939 00:00;;;;;;;;;;;;;;;;;;1943;;;;;;;;;;;
BEH;01.01.1940 00:00;;;;;;;;;;;;;;;;;;1492.5;;;;;;;;;;;
BEH;01.01.1941 00:00;;;;;;;;;;;;;;;;;;1470.8;;;;;;;;;;;
BEH;01.01.1942 00:00;;;;;;;;;;;;;;;;;;1579.9;;;;;;;;;;;
BEH;01.01.1943 00:00;;;;;;;;;;;;;;;;;;1268;;;;;;;;;;;
BEH;01.01.1944 00:00;;;;;;;;;;;;;;;;;;1431.3;;;;;;;;;;;
BEH;01.01.1945 00:00;;;;;;;;;;;;;;;;;;1076.1;;;;;;;;;;;
BEH;01.01.1946 00:00;;;;;;;;;;;;;;;;;;1498.5;;;;;;;;;;;
BEH;01.01.1947 00:00;;;;;;;;;;;;;;;;;;1523.2;;;;;;;;;;;
BEH;01.01.1948 00:00;;;;;;;;;;;;;;;;;;1078.6;;;;;;;;;;;
BEH;01.01.1949 00:00;;;;;;;;;;;;;;;;;;1115.9;;;;;;;;;;;
BEH;01.01.1950 00:00;;;;;;;;;;;;;;;;;;1504.8;;;;;;;;;;;
BEH;01.01.1951 00:00;;;;;;;;;;;;;;;;;;1912.6;;;;;;;;;;;
BEH;01.01.1952 00:00;;;;;;;;;;;;;;;;;;1765.7;;;;;;;;;;;
BEH;01.01.1953 00:00;;;;;;;;;;;;;;;;;;1198.1;;;;;;;;;;;
BEH;01.01.1954 00:00;;;;;;;;;;;;;;;;;;1854.1;;;;;;;;;;;
BEH;01.01.1955 00:00;;;;;;;;;;;;;;;;;;1275.2;;;;;;;;;;;
BEH;01.01.1956 00:00;;;;;;;;;;;;;;;;;;1497.4;;;;;;;;;;;
BEH;01.01.1957 00:00;;;;;;;;;;;;;;;;;;1659.8;;;;;;;;;;;
BEH;01.01.1958 00:00;;;;;;;;;;;;;;;;;;1871.9;;;;;;;;;;;
BEH;01.01.1959 00:00;;;;;;;;;;;;;;;;;;1438.7;;;;;;;;;;;
BEH;01.01.1960 00:00;;;;;;;;;;;;;;;;;;2434.6;;;;;;;;;;;
BEH;01.01.1961 00:00;;;;;;;;;;;;;;;;;;1410.3;;;;;;;;;;;
BEH;01.01.1962 00:00;;;;;;;;;;;;;;;;;;1329.2;;;;;;;;;;;
BEH;01.01.1963 00:00;;;;;;;;;;;;;;;;;;2060.3;;;;;;;;;;;
BEH;01.01.1964 00:00;;;;;;;;;;;;;;;;;;1454.4;;;;;;;;;;;
BEH;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1893.3;;;;;;;;;;;
BEH;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1998.2;;;;;;;;;;;
BEH;01.01.1967 00:00;;;;;;;;;;;;;;;;;;2027.8;;;;;;;;;;;
BEH;01.01.1968 00:00;;;;;;;;;;;;;;;;;;2259.7;;;;;;;;;;;
BEH;01.01.1969 00:00;;;;;;;;;;;;;;;;;;1711.6;;;;;;;;;;;
BEH;01.01.1970 00:00;;;;;;;;;;;;;;;;;;1889.3;;;;;;;;;;;
BEH;01.01.1971 00:00;;;;;;;;;;;;;;;;;;1619.5;;;;;;;;;;;
BEH;01.01.1972 00:00;-0.5;22;-19.5;;;;76.9;5;;;;;;3.2;;;11.5;1617;;;;;;;;;7410.1;;
BEH;01.01.1973 00:00;0;21.5;-23.8;;;;72.3;5.1;;;;;;3.6;;;13;1712.6;;;;;;;;;7106.1;;
BEH;01.01.1974 00:00;-0.3;25.2;-18;;;;74;4.8;;;;;;3.1;;;11.2;1358.9;;;;;;;;;7318.1;;
BEH;01.01.1975 00:00;0;22.6;-17.4;;;;70.8;4.8;;;;;;5.3;;;19.1;1685.2;;;;;;;;;7202.9;;
BEH;01.01.1976 00:00;-0.5;22;-22.4;;;;70.2;4.6;;;;;;5.6;;;20.2;1740.9;;;;;;;;;7455.3;;
BEH;01.01.1977 00:00;-0.3;20;-20;;;;74.7;5;;;;;;4.9;;;17.6;2551.6;;;;;;;;;7347.6;;
BEH;01.01.1978 00:00;-0.5;20;-21.8;;;;68.2;4.4;;;;;;5.1;;;18.4;1814.3;;;;;;;;;7454.1;;
BEH;01.01.1979 00:00;-0.6;20;-25.8;;;;68.9;4.5;;;;;;5.4;;;19.4;2266.1;;;;;;;;;7495.8;;
BEH;01.01.1980 00:00;-0.8;22.5;-22;;;;66.8;4.4;;;;;;5.5;;;19.8;1289.4;;;;;;;;;7544.9;;
BEH;01.01.1981 00:00;-0.1;21.4;-19.9;;;;66.3;4.6;;;;;;5.2;;;18.7;1964.5;;;;;;;;0;7238.7;4414.7;
BEH;01.01.1982 00:00;0.5;21.9;-20;;;;75.7;5.5;;;;;;4.4;;;15.8;1725.5;;;;;;;;0;6965.2;4197.2;
BEH;01.01.1983 00:00;1;25.5;-18.5;;;;69.4;5.1;;;;;;5.5;;;19.8;1719.5;;;;;;;;0.4;6812.3;4044.3;
BEH;01.01.1984 00:00;-0.8;22;-20.3;;;;72;4.6;;;;;;4.6;;;16.6;1594.5;;;;;;;;0;7510.3;4694.3;
BEH;01.01.1985 00:00;0.4;23;-29;;;;69.7;5;;;;;;4.5;;;16.2;2027.4;;;;;;;;0;7013.7;4285.7;
BEH;01.01.1986 00:00;0.3;21.2;-27;;;;70.2;5;;;;;;3.4;;;12.2;1952.6;;;;;;;;0;6993.9;4289.9;
BEH;01.01.1987 00:00;0.6;22.6;-27;;;;66;4.7;;;;;;3.2;;;11.5;2017.9;;;;;;;;0;6864.3;4208.3;
BEH;01.01.1988 00:00;1.1;21.6;-19.2;;;;64.9;4.8;;;;;;4.3;;;15.5;1679.2;;;;;;;;0;6749.5;4013.5;
BEH;01.01.1989 00:00;1.5;21.2;-15.5;;;;66.4;5;;;;;;4.6;;;16.6;1327.7;;;;;;;;0;6656.2;3824.2;
BEH;01.01.1990 00:00;1.3;22.5;-18.3;;;;67.7;5.1;;;;;;4.7;;;16.9;1422.7;;;;;;;;0;6665.9;3929.9;
BEH;01.01.1991 00:00;0.8;24.3;-25.8;;;;68;5;;;;;;4.7;;;16.9;1479.9;;;;;;;;0;6781.4;4141.4;
BEH;01.01.1992 00:00;1.7;23.8;-19.6;;;;68;5.3;;;;;;4.7;;;16.9;1822.4;;;;;;;;0;6491.1;3859.1;
BEH;01.01.1993 00:00;1;22.3;-22.8;;;;66.8;5;;;;;;4.9;;;17.6;1664;;;;;;;;0;6741;4029;
BEH;01.01.1994 00:00;2.3;24.5;-19.6;;;;65.3;5.2;;;;;;5;;;18;1633.9;;;;;;;;0;6195.6;3603.6;
BEH;01.01.1995 00:00;0.9;23.4;-22.4;;;;71.8;5.3;;;;;;5.1;;;18.4;1315;;;;;;;;0;6729.2;4089.2;
BEH;01.01.1996 00:00;0.6;22.5;-22;;;;70.1;5;;;;;;4.8;;;17.3;1726.6;;;;;;;;0;6963.7;4195.7;
BEH;01.01.1997 00:00;1.7;22.2;-17;;;;64.2;4.9;;;;;;5;;;18;1968.1;;;;;;;;0;6534.4;3774.4;
BEH;01.01.1998 00:00;1.2;25.6;-19.6;;;;61.6;4.7;;;;;;5.1;48.3;173.9;18.4;1572.7;;;;;;;;0;6640.9;4008.9;
BEH;01.01.1999 00:00;1.2;22.5;-22.3;;;;63.7;4.8;;;;;;5;32.4;116.6;18;2004.3;;;;;;;;0;6715.5;3963.5;
BEH;01.01.2000 00:00;1.8;22.7;-21.2;;;;65.5;5;;;;;;5.1;64.3;231.5;18.4;2847;;;;;;;;0;6470.3;3790.3;
BEH;01.01.2001 00:00;1;22.8;-22;;;;66.9;4.9;;;;;;5.1;29.3;105.5;18.4;3067.1;;;;;;;;0;6763.7;4051.7;
BEH;01.01.2002 00:00;2;24;-18.5;;;;68.8;5.1;773.9;;;;;4.7;30.4;109.4;16.9;2046.1;;;;;;;;0;6444.4;3676.4;
BEH;01.01.2003 00:00;1.9;26.5;-21.7;;;;68.9;5.5;775;;;;;5;32.9;118.4;18;1399.5;;;;;;;;0;6202.5;3810.5;
BEH;01.01.2004 00:00;0.2;;;;;;;5;768.3;;;;;;;;;1275.1;;;;;;;;;;;
BEH;01.01.2005 00:00;-0.4;;;;;;;4.7;768.4;;;;;;;;;876.6;;;;;;;;;;;
BEH;01.01.2006 00:00;0.7;;;;;;;4.8;769.6;;;;;;;;;1314.1;;;;;;;;;;;
BEH;01.01.2007 00:00;1.1;;;;;;;4.8;769.1;;;;;;;;;1124;;;;;;;;;;;
BEH;01.01.2008 00:00;0.5;;;;;;;5.2;768.3;;;;;;;;;2367.9;;;;;;;;;;;
