station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BER;01.01.1864 00:00;6.8;30.8;-16.8;;;;82;;;;;;;;;;;658.9;;;;;;;;;4383.4;;
BER;01.01.1865 00:00;8.4;33.7;;;;;79.5;;;;;;;;;;;752.4;;;;;;;;;3592.9;;
BER;01.01.1866 00:00;8.9;31.7;-9;;;;81.9;;950.2;;;;;;;;;1035.6;;;;;;;;;3522.2;;
BER;01.01.1867 00:00;8.1;32.7;-16.5;;;;;;950.3;;;;;;;;;1200.8;;;;;;;;;3969.5;;
BER;01.01.1868 00:00;9.1;31.9;-14.9;;;;77.2;9.7;950.4;;;;;;;;;1033.4;;;;;;;;;3570.4;;
BER;01.01.1869 00:00;8.1;30.6;-18.8;;;;76.8;9.1;950;;;;;;;;;995.2;;;;;;;;;3780.8;;
BER;01.01.1870 00:00;7.5;33.5;-16.3;;;;;;;;;;;;;;;1105.1;;;;;;;;;4220;;
BER;01.01.1871 00:00;7;;;;;;77.2;8.7;949.7;;;;;;;;;713.1;;;;;;;;;4391.3;;
BER;01.01.1872 00:00;9;32.1;-12.1;;;;80;9.8;947.6;;;;;;;;;1040.7;;;;;;;;;3581.7;;
BER;01.01.1873 00:00;8.6;32.8;-14.6;;;;74.1;9;949.9;;;;;;;;;823.4;;;;;;;;;3810.4;;
BER;01.01.1874 00:00;8.1;31.8;;;;;69.8;8.3;950.7;;;;;;;;;990.2;;;;;;;;;3919.2;;
BER;01.01.1875 00:00;8.3;31.8;-12.9;;;;74.1;9;950.5;;;;;;;;;1206.2;;;;;;;;;3776.7;;
BER;01.01.1876 00:00;8.8;28.4;-11.4;;;;77.3;9.4;948.3;;;;;;;;;1477;;;;;;;;;3666.4;;
BER;01.01.1877 00:00;9.2;29.2;-10.7;;;;77.3;9.6;949.1;;;;;;;;;1465.1;;;;;;;;;3674.6;;
BER;01.01.1878 00:00;8;27.5;-16.6;;;;80.2;9.5;948.6;;;;;;;;;1020.1;;;;;;;;;3812.2;;
BER;01.01.1879 00:00;6.7;29;-19.6;;;;80.7;8.9;949.1;;;;;;;;;945;;;;;;;;;4501.5;;
BER;01.01.1880 00:00;8.6;29.4;-17.4;;;;79.8;9.6;950.4;;;;;;;;;853.7;;;;;;;;;3682.4;;
BER;01.01.1881 00:00;8.2;31;-18.5;;;;77.7;9;949.1;;;;;;;;;855.8;;;;;;;;;3960.9;;
BER;01.01.1882 00:00;8.3;27.4;-10.7;;;;79.2;9.2;950;;;;;;;;;1038.5;;;;;;;;;3714;;
BER;01.01.1883 00:00;8.1;29.1;-13.9;;;;79.1;9.1;948.5;;;;;;;;;897.1;;;;;;;;;3763.4;;
BER;01.01.1884 00:00;8.7;28.9;-9.8;;;;78.8;9.4;950.7;;;;;;;;;706.7;;;;;;;;;3699;;
BER;01.01.1885 00:00;8.4;27.3;-16.2;;;;78.7;9.1;948.6;;;;;1.4;;;5;846.5;;;;;;;;;3863.7;;
BER;01.01.1886 00:00;8.4;30;-14.1;;;;78.6;9.5;948.8;;;;;1.4;;;5;901.3;;;;;;;;;3700.4;;
BER;01.01.1887 00:00;7;28.5;-16.5;;;;77.9;8.6;950.6;;;;;1.4;;;5;732;;;;;114222;41;;;4450.9;;
BER;01.01.1888 00:00;7.2;29.3;-19.5;;;;81.9;9.1;950;;;;;1.1;;;4;1109.8;;;;;97362;36;;;4110.6;;
BER;01.01.1889 00:00;7.2;30;-13.9;;;;81;9.2;949.6;;;;;1.1;;;4;902.5;;;;;88842;32;;;4205.9;;
BER;01.01.1890 00:00;7.2;28.8;-14;;;;80;8.9;949.8;;;;;1.1;;;4;833.8;;;;;108546;40;;;4109.5;;
BER;01.01.1891 00:00;7.3;30.2;-19.8;;;;79.5;9;950.5;;;;;1.1;;;4;885.1;;;;;106782;41;;;4108.1;;
BER;01.01.1892 00:00;8.3;29.7;-12.6;;;;78.6;9.3;948.9;;;;;1.1;;;4;673.2;;;;;103692;36;;;3838.1;;
BER;01.01.1893 00:00;8.8;28.9;-17.2;;;;74;8.9;950.5;;;;;1.1;;;4;626.1;;;;;127926;46;;;3530.8;;
BER;01.01.1894 00:00;8.4;28.3;-17;;;;76.9;9.1;950.4;;;;;0.8;;;2.9;688.7;;;;;106506;39;;;3781.1;;
BER;01.01.1895 00:00;8;28.2;-18.9;;;;77.1;9.2;948.1;;;;;0.8;;;2.9;865.7;;;;;117858;42;;;3769;;
BER;01.01.1896 00:00;7.8;27.3;-12.5;;;;80.7;9.1;950.5;;;;;0.8;;;2.9;1006.5;;;;;91698;33;;;3962.2;;
BER;01.01.1897 00:00;8.8;29;-10.2;;;;79.6;9.7;950.5;;;;;0.6;;;2.2;813.5;;;;;101100;36;;;3645.2;;
BER;01.01.1898 00:00;8.5;30.9;-13.5;;;;79.3;9.3;950.5;;;;;0.4;;;1.4;750.6;;;;;102354;37;;;3724.7;;
BER;01.01.1899 00:00;8.4;30.5;-15.6;;;;73.6;8.6;950.8;;;;;0.6;;;2.2;720.2;;;;;122172;45;;;3823.5;;
BER;01.01.1900 00:00;8.5;32;-13.2;;;;77.1;9;949;;;;;0.8;;;2.9;869;;;;;107748;39;;;3691.5;;
