station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BLA;01.01.2002 00:00;4.2;28.5;-19.5;;;;77.7;6.8;;;;;;2.7;;;12.2;1392.4;;;;;;;;2.3;5459;2955;
BLA;01.01.2003 00:00;4.1;28.6;-23;;;;75.4;6.8;;;;;;;;;;708.6;;;;;;;;4.2;5342.9;3126.9;
BLA;01.01.2004 00:00;3.5;26.5;-21;;;;76.2;6.5;;;;;;;;;;882.4;;;;;;;;0;5710.2;3230.2;
BLA;01.01.2005 00:00;2.8;27;-23;;;;75.6;6.3;;;;;;3.5;;;;860.9;;;;;;;;0.4;5982.6;3486.6;
BLA;01.01.2006 00:00;3.8;27.5;-22;;;;74.4;6.5;;;;;;;;;;929.3;;;;;;;;0.3;5555.8;3187.8;
BLA;01.01.2007 00:00;4.2;26;-18;;;;74.5;6.5;;;;;;;;;;1352.8;;;;;;;;0;5431.9;2967.9;
BLA;01.01.2008 00:00;3.8;26.5;-17.5;;;;73.7;6.4;;;;;;;;;;1113.8;;;;;;;;0;5613.5;3133.5;
BLA;01.01.2009 00:00;3.9;27.1;-20.5;;;;72.2;6.3;;;;;;;;;;1002.1;;;;;;;;0;5444.4;3108.4;
BLA;01.01.2010 00:00;3.1;30;-22;;;;72.4;6.1;;;;;;;;;;872.2;;;;;;;;2.6;5845.5;3397.5;
BLA;01.01.2011 00:00;4.7;29;-18.5;;;;69.8;6.2;;;;;;;;;;988.3;;;;;;;;0.2;5221.9;2797.9;
BLA;01.01.2012 00:00;4;30.5;-25.5;;;;70.7;6.2;;;;;;;;;;1197.1;;;;;;;;1.4;5393.1;3081.1;
BLA;01.01.2013 00:00;3.7;27.4;-22.5;;;;72.6;6.3;;;;;;;;;;1031;;;;;;;;1.8;5614.7;3190.7;
BLA;01.01.2014 00:00;5;26.1;-16.7;4.8;39.4;-23;74.5;6.8;844.6;;1487.1;;1016.8;1.3;29.9;107.6;4.7;1046.4;144;;;;82433;49;652.6;0;5218;2634;691
BLA;01.01.2015 00:00;5.1;29.7;-14.7;4.8;39.3;-20.5;71.1;6.7;847.7;;1517.2;;1020.5;1.4;26;93.6;5;1002;151;;;;95018;56;718.1;12.7;5101.5;2733.5;527.4
BLA;01.01.2016 00:00;4.4;27.1;-18.7;4.2;34.5;-21.8;74;6.6;846.1;;1501.7;;1018.6;1.3;17.8;64.1;4.7;1039;149;;;;87790;52;676.1;0.2;5306;2938;598.3
BLA;01.01.2017 00:00;4.6;26.6;-19.5;4.3;37;-22;73.1;6.6;846.9;;1509.6;;1019.5;1.4;39.8;143.3;5;1020.7;149;;;;92399;55;701.8;3.8;5233.5;2953.5;589.5
BLA;01.01.2018 00:00;5;26.8;-22.2;4.6;34;-24.7;74.1;6.9;845.1;;1492.3;;1017.4;1.4;41;147.6;5;1205.6;151;;;;94480;56;713.9;1;4920.6;2744.6;705.9
BLA;01.01.2019 00:00;4.8;30.4;-18.1;4.5;37.7;-22.4;71.3;6.6;845.5;;1495.7;;1017.8;1.4;29.4;105.8;5;958.1;149;;;;91499;54;700;16.1;5102.9;2846.9;466.4
BLA;01.01.2020 00:00;5.2;26.8;-14.5;4.9;36.3;-18;72.7;6.8;846.6;;1506.4;;1019.2;1.4;32;115.2;5;990.3;152;;;;97063;57;713.5;0.3;4984.9;2656.9;550.7
BLA;01.01.2021 00:00;4.1;26.4;-17.4;3.8;32.6;-22.2;74.3;6.5;845.8;;1499.3;;1018.3;1.5;21.7;78.1;5.4;1151.9;151;;;;93138;55;671.3;0;5447.1;3015.1;738.7
BLA;01.01.2022 00:00;5.8;28.8;-17.4;5.3;36.8;-20.9;70.1;6.9;847.6;;1515.9;;1020.3;1.3;27.4;98.6;4.7;858.8;159;;;;104795;62;755.5;6.3;4660.3;2572.3;310.7
BLA;01.01.2023 00:00;5.4;30.4;-19.1;4.9;36.2;-23.1;74.3;7.1;846.1;;1501.7;;1018.6;1.3;21.9;78.8;4.7;1234.5;143;;;;87030;51;685;9.1;4817.9;2649.9;780
BLA;01.01.2024 00:00;5.5;27.8;-14.9;5.1;35.7;-18.6;76.2;7.4;846.4;;1503.7;;1018.9;1.3;21.2;76.3;4.7;1228.7;137;;;;77413;46;651.7;0.9;4897;2609;868.8
