station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BOL;01.01.1995 00:00;;;;;;;;;;;;;;;28.1;101.2;;;;;;;;;;;;;
BOL;01.01.1996 00:00;;;;;;;;;;;;;;2;22.5;180;7.2;;;;;;;;;;;;
BOL;01.01.1997 00:00;;;;;;;;;;;;;;1.9;29.2;105.1;6.8;;;;;;;;;;;;
BOL;01.01.1998 00:00;;;;;;;;;;;;;;2.1;30.5;109.8;7.6;;;;;;;;;;;;
BOL;01.01.1999 00:00;;;;;;;;;;;;;;2;42.6;153.4;7.2;;;;;;;;;;;;
BOL;01.01.2000 00:00;;;;;;;;;;;;;;1.9;25.1;90.4;6.8;;;;;;;;;;;;
BOL;01.01.2001 00:00;;;;;;;;;;;;;;2;29;104.4;7.2;;;;;;;;;;;;
BOL;01.01.2002 00:00;;;;;;;;;;;;;;2;25.8;92.9;7.2;;;;;;;;;;;;
BOL;01.01.2003 00:00;;;;;;;;;;;;;;1.9;30.7;110.5;6.8;;;;;;;;;;;;
BOL;01.01.2004 00:00;;;;;;;;;;;;;;2;29.2;105.1;7.2;;;;;;;;;;;;
BOL;01.01.2005 00:00;;;;;;;;;;;;;;1.9;24.6;88.6;6.8;;;;;;;;;;;;
BOL;01.01.2006 00:00;;;;;;;;;;;;;;1.9;20.7;74.5;6.8;;;;;;;;;;;;
BOL;01.01.2007 00:00;;;;;;;;;;;;;;2.1;35.6;128.2;7.6;;;;;;;;;;;;
BOL;01.01.2008 00:00;;;;;;;;;;;;;;2;30.5;109.8;7.2;;;;;;;;;;;;
BOL;01.01.2009 00:00;;;;;;;;;;;;;;1.9;27.7;99.7;6.8;;;;;;;;;;;;
BOL;01.01.2010 00:00;;;;;;;;;;;;;;2;20.8;74.9;7.2;;;;;;;;;;;;
BOL;01.01.2011 00:00;;;;;;;;;;;;;;1.9;31.8;114.5;6.8;;;;;;;;;;;;
BOL;01.01.2013 00:00;7.1;32.4;-16.5;;;;83.3;9.1;921.5;;1480.4;;1016.5;2.1;22.8;82.1;7.6;1161.9;140;;;;;;662.9;42.8;4221.6;2229.6;
BOL;01.01.2014 00:00;;31.8;-14.4;;;;;;921.4;;1482.2;;1016.4;1.9;25;90;6.8;1228.3;139;;;;;;;;;;
BOL;01.01.2015 00:00;8.5;35.2;-13.3;;;;80.1;9.4;924.9;;1513.3;;1020.2;2.1;29.7;106.9;7.6;1080.2;147;;;;;;754.8;130.4;3835.1;1867.1;
BOL;01.01.2016 00:00;7.8;31.4;-15.1;;;;82.7;9.4;923.2;;1496.6;;1018.4;2;23.6;85;7.2;1222.6;140;;;;;;682;36.1;3999.9;1991.9;
BOL;01.01.2017 00:00;7.8;31.3;-18.1;;;;80.9;9.2;924.2;;1505.5;;1019.5;2.1;21.8;78.5;7.6;1087.6;147;;;;;;735.4;63.9;4060.8;2092.8;
BOL;01.01.2018 00:00;8.8;30.4;-14.7;;;;81.3;9.8;921.8;;1488;;1016.9;;;;;1131.5;148;;;;;;;49.6;3538.8;1762.8;
BOL;01.01.2019 00:00;8.4;34.1;-12;;;;78.4;9.2;922.4;;1491.4;;1017.5;2.1;28.3;101.9;7.6;1151.2;149;;;;;;;90.8;3851.6;1883.6;
BOL;01.01.2020 00:00;8.7;31.6;-11.4;;;;79.8;9.4;923.5;;1501.7;;1018.7;2.1;33.9;122;7.6;1090.3;150;;;;;55;763.6;37.8;3658.4;1730.4;
BOL;01.01.2021 00:00;7.5;30.5;-17.1;;;;81.7;9;923.1;;1495.3;;1018.3;2.1;23.8;85.7;7.6;1302.4;147;;;;95698;51;698;25.9;4047.3;2103.3;940.5
BOL;01.01.2022 00:00;9.2;33.1;-14;;;;80.4;9.8;924.3;;1509.6;;1019.6;2.1;32.2;115.9;7.6;999.4;157;;;;112900;60;804.4;89.5;3518.4;1718.4;501.6
BOL;01.01.2023 00:00;9.2;34.4;-17.5;;;;79.1;9.7;922.5;;1494.6;;1017.7;2.3;25.3;91.1;8.3;1384;144;;;;96144;51;778.2;95;3494.8;1718.8;933.2
BOL;01.01.2024 00:00;9;31.2;-12;;;;82.6;10;922.7;;1494.6;;1017.8;2;26.2;94.3;7.2;1349.3;133;;;;83272;44;693.4;60.6;3580.8;1676.8;1033.7
