station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BOU;01.01.1994 00:00;;;;;;;;;;;;;;2.4;26.3;94.7;8.6;;;;;;;;;;;;
BOU;01.01.1995 00:00;;;;;;;;;;;;;;2.5;33;118.8;9;1367.5;;;;;;;;;;;
BOU;01.01.1996 00:00;;;;;;;;;;;;;;2.5;25.2;90.7;9;918.1;;;;;;;;;;;
BOU;01.01.1997 00:00;;;;;;;;;;;;;;2.2;35.1;126.4;7.9;836.2;;;;;;;;;;;
BOU;01.01.1998 00:00;;;;;;;;;;;;;;2.3;31.1;112;8.3;;;;;;;;;;;;
BOU;01.01.1999 00:00;;;;;;;;;;;;;;2.5;37.5;135;9;;;;;;;;;;;;
BOU;01.01.2000 00:00;;;;;;;;;;;;;;2.4;30.5;109.8;8.6;;;;;;;;;;;;
BOU;01.01.2001 00:00;;;;;;;;;;;;;;2.4;31.8;114.5;8.6;1245.7;;;;;;;;;;;
BOU;01.01.2002 00:00;;;;;;;;;;;;;;2.2;25.8;92.9;7.9;746.1;;;;;;;;;;;
BOU;01.01.2003 00:00;;;;;;;;;;;;;;2.3;32.2;115.9;8.3;;;;;;;;;;;;
BOU;01.01.2004 00:00;;;;;;;;;;;;;;2.5;27.6;99.4;9;581.2;;;;;;;;;;;
BOU;01.01.2005 00:00;;;;;;;;;;;;;;2.4;44.6;160.6;8.6;;;;;;;;;;;;
BOU;01.01.2006 00:00;;;;;;;;;;;;;;2.3;27;97.2;8.3;;;;;;;;;;;;
BOU;01.01.2007 00:00;;;;;;;;;;;;;;2.3;28;100.8;8.3;;;;;;;;;;;;
BOU;01.01.2008 00:00;;;;;;;;;;;;;;2.3;;;8.3;;;;;;;;;;;;
BOU;01.01.2009 00:00;;;;;;;;;;;;;;2.4;32.2;115.9;8.6;;;;;;;;;;;;
BOU;01.01.2010 00:00;;;;;;;;;;;;;;2.5;30.2;108.7;9;;;;;;;;;;;;
BOU;01.01.2011 00:00;;;;;;;;;;;;;;2.1;29.6;106.6;7.6;;;;;;;;;;;;
BOU;01.01.2013 00:00;10.5;32.8;-5.4;;;;78.6;10.8;972.3;1016.8;;;1016.6;2.4;28.6;103;8.6;;;;;;;;;178.1;3007.2;1415.2;
BOU;01.01.2014 00:00;11.9;29.1;-5.2;;;;76.4;11.1;971.8;1016.1;;;1016.1;2.3;28.9;104;8.3;;;;;;;;;92.2;2389.8;901.8;
BOU;01.01.2015 00:00;11.8;33.5;-3.7;;;;75.2;10.9;975.5;1020;;;1020;2.3;25.2;90.7;8.3;;;;;;;;;272;2673.3;1105.3;
BOU;01.01.2016 00:00;;29.8;-5;;;;;;973.8;;;;1018.2;2.4;30.6;110.2;8.6;;;;;;;;;;;;
BOU;01.01.2017 00:00;11.4;31;-8.6;;;;75.8;11;974.9;1019.5;;;1019.4;2.4;36;129.6;8.6;;;;;;;;;277.1;2840.2;1240.2;
BOU;01.01.2018 00:00;12.3;31.9;-8.4;;;;74.7;11.3;972.2;1016.5;;;1016.6;2.5;34.9;125.6;9;;;;;;;;;281.5;2502.9;1062.9;
BOU;01.01.2019 00:00;11.8;31.9;-2;;;;74.3;10.9;973;1017.3;;;1017.3;2.4;30.8;110.9;8.6;;;;;;;;;240.2;2643.6;1083.6;
BOU;01.01.2020 00:00;12.3;31.4;-1;;;;74.3;11.1;974.1;1018.4;;;1018.5;2.4;29.2;105.1;8.6;;;;;;;;;237.9;2441.1;961.1;
BOU;01.01.2021 00:00;11;28.8;-4.2;;;;78.7;11;973.9;1018.4;;;1018.3;2.5;30.6;110.2;9;;;;;;;;;135.4;2939.8;1235.8;
BOU;01.01.2022 00:00;12.8;33;-3.4;;;;77;12;974.6;1018.9;;;1019.1;2.5;27.4;98.6;9;;;;;;;;;375.2;2373.4;981.4;
BOU;01.01.2023 00:00;12.7;32.8;-5.7;;;;73.3;11.4;973;1017.2;;;1017.4;2.5;29.8;107.3;9;;;;;;;;;352.1;2441.3;1009.3;
BOU;01.01.2024 00:00;12.3;31.1;-2.7;;;;77.5;11.7;973.1;1017.4;;;1017.5;2.4;29.5;106.2;8.6;;;;;;;;;255.7;2430.7;934.7;
